,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,is_svi,label,pattern_membership_0,pattern_membership_1,pattern_membership_2,pattern_membership_3,pattern_membership_4,pattern_correlation_0,pattern_correlation_1,pattern_correlation_2,pattern_correlation_3,pattern_correlation_4
SEMA3F_PLXNA3,388,7.5572395,2.1467776,49.08136482939632,5758.6167,8.658627,388,1,3,0.0,0.0,0.0,1.0,0.0,-0.30631444848695283,-0.3845053279235778,-0.048086579097412034,0.096156969348159,0.007783465713008414
SEMA3F_PLXNA1,238,3.2588782,1.4490058,68.76640419947506,2483.2651,7.8177323,238,1,4,0.0,0.0,0.0,0.0,1.0,-0.2038535841895901,-0.2477668667654566,0.11791128212945376,-0.05884638898909575,0.12717809532528002
SEMA3F_NRP2,122,1.491619,0.9129327,83.98950131233596,1136.6136,7.036688,122,1,4,0.0,0.0,0.0,0.0,1.0,-0.005331033157306878,-0.024366367787285785,-0.011914612362224304,-0.0706004959355622,0.24105864160004134
DCN_MET,101,0.79243064,0.5835726,86.74540682414698,603.83215,6.404951,101,1,4,0.0,0.0,0.0,0.0,1.0,0.021590238103737034,0.07769355995038371,-0.052828735526210556,0.03023702252128919,-0.03935517649114197
GRN_TNFRSF1A,362,31.49347,3.481039,52.493438320209975,23998.023,10.085769,362,1,0,1.0,0.0,0.0,0.0,0.0,0.67914625584293,0.47211871925774396,0.2688145726032465,-0.43629639105697526,-0.0009312242796698683
GRN_SORT1,180,7.259563,2.1113718,76.37795275590551,5531.787,8.618447,180,1,0,1.0,0.0,0.0,0.0,0.0,0.6596263896570884,0.5374772590540764,0.22603303343977305,-0.30952264833070625,-0.14237044846506208
GRN_TNFRSF1B,179,8.132447,2.2118337,76.50918635170603,6196.925,8.73197,179,1,0,1.0,0.0,0.0,0.0,0.0,0.4194436821935555,0.2488729911216111,0.1901229696158245,-0.31860414695544875,0.051105627387900705
ICAM3_ITGB2,115,2.646932,1.2938862,84.90813648293964,2016.962,7.6098433,115,1,4,0.0,0.0,0.0,0.0,1.0,-0.2121389982681738,-0.2421718623902701,-0.05726316193829047,-0.005594143660713496,0.2111084988141569
EFNB1_EPHB6,241,5.7244477,1.9057498,68.37270341207349,4362.0293,8.380922,241,1,4,0.0,0.0,0.0,0.0,1.0,0.20181392927700698,0.09215784864357932,0.02812107914062254,-0.04066840859292944,-0.07895791664148177
EFNB1_EPHB4,216,4.5420356,1.7123618,71.65354330708662,3461.0312,8.1496105,216,0,-1,0.0,0.0,0.0,0.0,0.0,0.3096783892326044,0.3271992191500386,0.01436524939389765,-0.00041456951877058123,-0.12177200290824279
EFNB1_ERBB2,340,8.310596,2.2311532,55.38057742782152,6332.6743,8.753635,340,1,0,1.0,0.0,0.0,0.0,0.0,0.34029119971831717,0.30910727935463533,0.009849335714495892,-0.027482583617999573,-0.1689258772973639
EFNB1_EPHB3,145,2.3840363,1.2190691,80.97112860892388,1816.6357,7.505292,145,1,4,0.0,0.0,0.0,0.0,1.0,0.415045939590088,0.32747397509237164,0.08777177605691723,-0.1567927122419802,-0.08321738176370096
SEMA4G_PLXNB2,464,28.177168,3.3733864,39.107611548556434,21471.002,9.974505,464,1,3,0.0,0.0,0.0,1.0,0.0,0.1529846990018496,0.5254152350794947,-0.42357521665901376,0.4408627915420925,-0.30081885360761335
VCL_ITGB5,287,14.401236,2.7344477,62.33595800524934,10973.741,9.303351,287,1,1,0.0,1.0,0.0,0.0,0.0,0.41151376325494426,0.5816079756476612,-0.148118639028738,0.09988351652428887,-0.380617860497674
EFNA2_EPHA2,298,7.673725,2.1602983,60.892388451443566,5847.3784,8.67392,298,1,4,0.0,0.0,0.0,0.0,1.0,-0.10224886704297721,-0.1418447689199754,-0.09745418560250371,0.014207008093094926,0.2102110734329899
LGALS1_ITGB1,192,7.5000153,2.140068,74.80314960629921,5715.0117,8.651027,192,1,0,1.0,0.0,0.0,0.0,0.0,0.6188439627330606,0.3662255878183611,0.2589001503241349,-0.42785996057138437,0.27809726739556695
TIMP1_CD63,378,38.29131,3.6710033,50.39370078740157,29177.979,10.281204,378,1,0,1.0,0.0,0.0,0.0,0.0,0.8917310790405902,0.6489385726426594,0.40664917494932357,-0.5197007992526085,-0.15307682999996924
MMP2_PECAM1,167,6.9047236,2.0674605,78.08398950131233,5261.3994,8.568342,167,1,0,1.0,0.0,0.0,0.0,0.0,0.7752087688632958,0.4180166436876908,0.36097091691674366,-0.5182584421329243,-0.07906728255730133
MMP2_FGFR1,180,7.5474243,2.14563,76.37795275590551,5751.137,8.657327,180,1,0,1.0,0.0,0.0,0.0,0.0,0.7109986677995038,0.36708294037605493,0.4149328733333825,-0.4918085544862715,-0.062478219713266066
PLAT_LRP1,388,12.579255,2.6085434,49.08136482939632,9585.393,9.1681,388,1,3,0.0,0.0,0.0,1.0,0.0,-0.3514403291453206,-0.22774523674992497,-0.20769136137699032,0.2500465528808616,0.05669681562961124
PLAT_ITGB2,141,4.384814,1.6835828,81.49606299212599,3341.2283,8.114393,141,1,4,0.0,0.0,0.0,0.0,1.0,-0.22311240387379394,-0.2684473839216442,-0.03671894846915379,-0.014191749073450992,0.2773550084640914
TGFB1_ENG,286,10.840739,2.4715462,62.467191601049876,8260.644,9.019379,286,1,0,1.0,0.0,0.0,0.0,0.0,0.7443871646147026,0.570528987780305,0.18622267750340485,-0.3239529748723096,-0.16468546601301975
TGFB1_SMAD3,196,5.136415,1.8142407,74.2782152230971,3913.9482,8.272557,196,1,0,1.0,0.0,0.0,0.0,0.0,0.6693309702008637,0.5994876821296573,0.20887153494840385,-0.2439767012317939,-0.25381227202383927
TGFB1_ACVRL1,232,6.9794965,2.0768752,69.5538057742782,5318.3765,8.579111,232,1,0,1.0,0.0,0.0,0.0,0.0,0.6901887449152353,0.5567699550859528,0.17513641062807211,-0.2717924808261555,-0.21681151256310296
TGFB1_ITGB6,168,3.912619,1.5918072,77.95275590551181,2981.4158,8.000489,168,1,0,1.0,0.0,0.0,0.0,0.0,0.5947785643771486,0.5582941234362945,0.1531641993424912,-0.19852770891048754,-0.2225515013178253
TGFB1_ITGAV,212,5.7105,1.9036734,72.17847769028872,4351.401,8.378483,212,1,0,1.0,0.0,0.0,0.0,0.0,0.7597986630788421,0.5488956961979131,0.28678150225883253,-0.36877258516177563,-0.23385647332049214
TGFB1_ITGB1,185,5.3424907,1.8472716,75.7217847769029,4070.9778,8.311884,185,1,0,1.0,0.0,0.0,0.0,0.0,0.712825616213929,0.548125909655311,0.18833613799616997,-0.3176472486099546,-0.10553221074692362
TGFB1_CXCR4,119,3.4989924,1.5038534,84.38320209973753,2666.2322,7.888797,119,1,0,1.0,0.0,0.0,0.0,0.0,0.6522197357013287,0.45231719255730657,0.18528229855122957,-0.3460200497892506,-0.13313025640565038
TGFB1_ITGB5,241,8.9042225,2.2929611,68.37270341207349,6785.0176,8.822619,241,1,0,1.0,0.0,0.0,0.0,0.0,0.7421416287776077,0.6327777104566741,0.19546861708743837,-0.28168235358596966,-0.2632707762470412
COMP_ITGB1,188,3.1928275,1.4333754,75.32808398950131,2432.9346,7.7972646,188,1,3,0.0,0.0,0.0,1.0,0.0,-0.05335034447794869,0.1422353598058263,-0.17448819400374693,0.3124082901686621,0.18434513533266594
LAMB1_ITGA7,180,7.0384564,2.084237,76.37795275590551,5363.3037,8.587522,180,1,4,0.0,0.0,0.0,0.0,1.0,0.030918931163428847,-0.15445385341196124,0.3120433439834906,-0.28142453274832546,0.12985171103342932
LAMB1_ITGAV,291,10.258965,2.4211648,61.811023622047244,7817.331,8.964227,291,1,2,0.0,0.0,1.0,0.0,0.0,0.03600419377713922,-0.17814045686404256,0.4143892276468497,-0.2953230935537425,0.24470407082192872
LAMB1_ITGB1,221,7.4889073,2.1387603,70.99737532808399,5706.5474,8.649545,221,1,4,0.0,0.0,0.0,0.0,1.0,0.29896353793221064,0.1344923717713285,0.1382655146871758,-0.19139737789161576,0.4540269531253884
LAMB1_ITGA6,136,2.6489496,1.2944393,82.1522309711286,2018.4996,7.6106052,136,0,-1,0.0,0.0,0.0,0.0,0.0,0.08719727119837146,0.05740500777699003,-0.005822942339895974,-0.019317767218762487,0.1599133019110491
LAMB1_ITGA1,238,8.348907,2.2352595,68.76640419947506,6361.867,8.758234,238,0,-1,0.0,0.0,0.0,0.0,0.0,-0.07356027228087449,-0.1999632990293629,-0.011668281730390565,-0.0944193780486638,0.21494190619515816
LAMB1_ITGA2,242,7.725776,2.1662815,68.24146981627297,5887.0415,8.680678,242,1,4,0.0,0.0,0.0,0.0,1.0,0.04044371734404873,-0.028004354838026938,-6.829287457297406e-05,-0.0630365892386392,0.46819785034292866
PDAP1_PDGFRB,272,9.637964,2.3644292,64.30446194225722,7344.1284,8.901793,272,1,0,1.0,0.0,0.0,0.0,0.0,0.6648001309739341,0.33777345590040214,0.28492057493436146,-0.4433783087960846,0.04146194526271373
SERPINE1_PLAUR,508,15.766298,2.8193707,33.333333333333336,12013.919,9.393905,508,1,4,0.0,0.0,0.0,0.0,1.0,-0.4335484421484407,-0.537035008825437,0.11824037406061776,-0.052626936557700024,0.10664812760562595
SERPINE1_ITGAV,257,5.913917,1.9335363,66.2729658792651,4506.405,8.413477,257,1,2,0.0,0.0,1.0,0.0,0.0,-0.11729781936878175,-0.24309028386013057,0.3207862487747006,-0.17448261603044485,0.2165634078695307
SERPINE1_LRP1,422,10.85968,2.4731445,44.61942257217848,8275.076,9.021124,422,1,4,0.0,0.0,0.0,0.0,1.0,-0.2661258313608536,-0.3887009784685538,0.09557215574271741,-0.07362967225380208,0.24840375558788455
SERPINE1_ITGB5,331,9.66303,2.3667827,56.56167979002624,7363.2285,8.904389,331,1,3,0.0,0.0,0.0,1.0,0.0,-0.2285370686530054,-0.30100249101894055,0.02149137991535505,0.03851353230266675,-0.048977391336317
