,cell,x,y,celltype
228,CC20x32,20,32,TCancer_region
229,CC20x33,20,33,TCancer_region
230,CC20x34,20,34,TCancer_region
231,CC21x14,21,14,TPancreatic_tissue
232,CC21x15,21,15,TPancreatic_tissue
233,CC21x16,21,16,TPancreatic_tissue
234,CC21x17,21,17,TPancreatic_tissue
235,CC21x18,21,18,TPancreatic_tissue
236,CC21x19,21,19,TDuct_epithelium
237,CC21x20,21,20,TStroma
238,CC21x21,21,21,TStroma
239,CC21x22,21,22,TStroma
240,CC21x23,21,23,TStroma
241,CC21x24,21,24,TStroma
242,CC21x25,21,25,TStroma
243,CC21x26,21,26,TStroma
244,CC21x27,21,27,TDuct_epithelium
245,CC21x28,21,28,TCancer_region
246,CC21x29,21,29,TCancer_region
247,CC21x30,21,30,TCancer_region
248,CC21x31,21,31,TCancer_region
249,CC21x32,21,32,TCancer_region
250,CC21x33,21,33,TCancer_region
251,CC22x14,22,14,TPancreatic_tissue
252,CC22x15,22,15,TPancreatic_tissue
253,CC22x16,22,16,TPancreatic_tissue
254,CC22x17,22,17,TPancreatic_tissue
255,CC22x18,22,18,TStroma
256,CC22x19,22,19,TDuct_epithelium
257,CC22x20,22,20,TStroma
258,CC22x21,22,21,TStroma
259,CC22x23,22,23,TStroma
260,CC22x24,22,24,TStroma
261,CC22x25,22,25,TStroma
262,CC22x26,22,26,TStroma
263,CC22x27,22,27,TStroma
264,CC22x28,22,28,TCancer_region
265,CC22x29,22,29,TCancer_region
266,CC22x30,22,30,TCancer_region
267,CC22x31,22,31,TCancer_region
268,CC22x32,22,32,TCancer_region
269,CC22x33,22,33,TCancer_region
270,CC23x15,23,15,TPancreatic_tissue
271,CC23x16,23,16,TPancreatic_tissue
272,CC23x17,23,17,TStroma
273,CC23x18,23,18,TStroma
274,CC23x19,23,19,TStroma
275,CC23x20,23,20,TStroma
276,CC23x21,23,21,TStroma
277,CC23x22,23,22,TStroma
278,CC23x23,23,23,TStroma
279,CC23x24,23,24,TStroma
280,CC23x25,23,25,TStroma
281,CC23x26,23,26,TDuct_epithelium
282,CC23x27,23,27,TCancer_region
283,CC23x28,23,28,TCancer_region
284,CC23x29,23,29,TCancer_region
285,CC23x30,23,30,TCancer_region
286,CC23x31,23,31,TCancer_region
287,CC23x32,23,32,TCancer_region
288,CC24x16,24,16,TPancreatic_tissue
289,CC24x17,24,17,TPancreatic_tissue
290,CC24x18,24,18,TStroma
291,CC24x19,24,19,TStroma
292,CC24x20,24,20,TStroma
293,CC24x21,24,21,TStroma
294,CC24x22,24,22,TStroma
295,CC24x23,24,23,TStroma
296,CC24x24,24,24,TStroma
297,CC24x25,24,25,TStroma
298,CC24x26,24,26,TCancer_region
299,CC24x27,24,27,TCancer_region
300,CC24x28,24,28,TCancer_region
301,CC24x29,24,29,TCancer_region
302,CC24x30,24,30,TCancer_region
303,CC24x31,24,31,TCancer_region
304,CC24x32,24,32,TCancer_region
305,CC25x17,25,17,TStroma
306,CC25x18,25,18,TStroma
307,CC25x19,25,19,TStroma
308,CC25x20,25,20,TStroma
309,CC25x21,25,21,TStroma
310,CC25x22,25,22,TCancer_region
311,CC25x23,25,23,TCancer_region
312,CC25x24,25,24,TStroma
313,CC25x25,25,25,TStroma
314,CC25x26,25,26,TCancer_region
315,CC25x27,25,27,TCancer_region
316,CC25x28,25,28,TCancer_region
317,CC25x29,25,29,TCancer_region
318,CC25x30,25,30,TCancer_region
319,CC25x31,25,31,TCancer_region
320,CC25x32,25,32,TCancer_region
321,CC26x17,26,17,TPancreatic_tissue
322,CC26x18,26,18,TPancreatic_tissue
323,CC26x19,26,19,TStroma
324,CC26x20,26,20,TStroma
325,CC26x21,26,21,TStroma
326,CC26x22,26,22,TCancer_region
327,CC26x23,26,23,TCancer_region
328,CC26x24,26,24,TCancer_region
329,CC26x25,26,25,TCancer_region
330,CC26x26,26,26,TCancer_region
331,CC26x27,26,27,TCancer_region
332,CC26x28,26,28,TCancer_region
333,CC26x29,26,29,TCancer_region
334,CC26x30,26,30,TCancer_region
335,CC26x31,26,31,TCancer_region
336,CC27x18,27,18,TStroma
337,CC27x19,27,19,TStroma
338,CC27x20,27,20,TDuct_epithelium
339,CC27x21,27,21,TCancer_region
340,CC27x22,27,22,TCancer_region
341,CC27x23,27,23,TCancer_region
342,CC27x25,27,25,TCancer_region
343,CC27x26,27,26,TCancer_region
344,CC27x27,27,27,TCancer_region
345,CC27x28,27,28,TCancer_region
346,CC28x18,28,18,TStroma
347,CC28x19,28,19,TCancer_region
348,CC28x20,28,20,TStroma
349,CC28x21,28,21,TCancer_region
350,CC28x22,28,22,TCancer_region
351,CC28x23,28,23,TCancer_region
352,CC28x25,28,25,TCancer_region
353,CC28x26,28,26,TCancer_region
354,CC29x19,29,19,TCancer_region
355,CC29x20,29,20,TCancer_region
356,CC29x21,29,21,TCancer_region
357,CC29x22,29,22,TCancer_region
358,CC29x23,29,23,TCancer_region
