,row,col
C16x21_C17x21,16.5,21.0
C16x22_C16x23,16.0,22.5
C16x22_C17x22,16.5,22.0
C16x23_C16x24,16.0,23.5
C16x23_C17x23,16.5,23.0
C16x24_C16x25,16.0,24.5
C16x24_C17x24,16.5,24.0
C16x25_C16x26,16.0,25.5
C16x25_C17x25,16.5,25.0
C16x26_C16x27,16.0,26.5
C16x26_C17x26,16.5,26.0
C16x27_C16x28,16.0,27.5
C16x28_C17x28,16.5,28.0
C16x30_C16x31,16.0,30.5
C16x30_C17x30,16.5,30.0
C16x31_C16x32,16.0,31.5
C16x31_C17x31,16.5,31.0
C16x32_C16x33,16.0,32.5
C16x32_C17x32,16.5,32.0
C16x33_C16x34,16.0,33.5
C16x33_C17x33,16.5,33.0
C16x34_C17x34,16.5,34.0
C17x13_C17x14,17.0,13.5
C17x13_C18x13,17.5,13.0
C17x14_C17x15,17.0,14.5
C17x14_C18x14,17.5,14.0
C17x15_C17x16,17.0,15.5
C17x15_C18x15,17.5,15.0
C17x16_C17x17,17.0,16.5
C17x16_C18x16,17.5,16.0
C17x17_C17x18,17.0,17.5
C17x17_C18x17,17.5,17.0
C17x18_C17x19,17.0,18.5
C17x18_C18x18,17.5,18.0
C17x19_C17x20,17.0,19.5
C17x19_C18x19,17.5,19.0
C17x20_C17x21,17.0,20.5
C17x20_C18x20,17.5,20.0
C17x21_C17x22,17.0,21.5
C17x21_C18x21,17.5,21.0
C17x22_C17x23,17.0,22.5
C17x22_C18x22,17.5,22.0
C17x23_C17x24,17.0,23.5
C17x23_C18x23,17.5,23.0
C17x24_C17x25,17.0,24.5
C17x24_C18x24,17.5,24.0
C17x25_C17x26,17.0,25.5
C17x25_C18x25,17.5,25.0
C17x26_C18x26,17.5,26.0
C17x28_C17x29,17.0,28.5
C17x28_C18x28,17.5,28.0
C17x29_C17x30,17.0,29.5
C17x29_C18x29,17.5,29.0
C17x30_C17x31,17.0,30.5
C17x30_C18x30,17.5,30.0
C17x31_C17x32,17.0,31.5
C17x31_C18x31,17.5,31.0
C17x32_C17x33,17.0,32.5
C17x32_C18x32,17.5,32.0
C17x33_C17x34,17.0,33.5
C17x33_C18x33,17.5,33.0
C17x34_C18x34,17.5,34.0
C18x13_C18x14,18.0,13.5
C18x13_C19x13,18.5,13.0
C18x14_C18x15,18.0,14.5
C18x14_C19x14,18.5,14.0
C18x15_C18x16,18.0,15.5
C18x15_C19x15,18.5,15.0
C18x16_C18x17,18.0,16.5
C18x17_C18x18,18.0,17.5
C18x17_C19x17,18.5,17.0
C18x18_C18x19,18.0,18.5
C18x18_C19x18,18.5,18.0
C18x19_C18x20,18.0,19.5
C18x19_C19x19,18.5,19.0
C18x20_C18x21,18.0,20.5
C18x20_C19x20,18.5,20.0
C18x21_C18x22,18.0,21.5
C18x21_C19x21,18.5,21.0
C18x22_C18x23,18.0,22.5
