gene,time,kappa,nu,U_tilde,e_tilde,I_tilde,pval,padj
SEMA3F_PLXNA3,0.869574785232544,40.6646840037158,16.788721965618592,3727.2117672928002,682.7080735581225,55524.21615605322,2.524869202602531e-12,8.543050589627742e-12
SEMA3F_PLXNA1,0.026236772537231445,20.651345482774214,16.78872196561787,484.53600302558476,346.7096975262148,14320.043491684022,0.12735536569731853,0.130526038702231
SEMA3F_NRP2,0.029436826705932617,12.046528744156594,16.788721965616816,564.9170064025551,202.24582173645618,4872.72020986758,0.00011215432895661515,0.00016247577274066828
DCN_MET,0.029229164123535156,8.55606877860341,16.788721965620386,384.79417549278406,143.64545984269787,2458.0808682964744,0.00021881112193755659,0.0003079563938380426
GRN_TNFRSF1A,0.027074098587036133,150.32736342892082,16.78872196561191,8964.79014987642,2523.8043084316473,758793.6949941608,1.0451313655623906e-06,1.817939769675426e-06
GRN_SORT1,0.025635957717895508,15.561471989377692,16.78872196561612,644.9973713965489,261.2572266053852,8131.094027684404,0.0007226521231541438,0.0009494418852078379
GRN_TNFRSF1B,0.0250852108001709,17.25140338139028,16.78872196561663,1648.203522115383,289.62901488686,9993.013933535824,4.887201754399939e-13,1.8016997512489328e-12
ICAM3_ITGB2,0.026544809341430664,13.729634500710441,16.788721965617675,575.6228429748323,230.50301632197966,6329.444330824148,0.0006162940601704969,0.0008140354698508703
EFNB1_EPHB6,0.027658462524414062,16.729779386670184,16.788721965621043,672.7049550521665,280.87161466898385,9397.840298779875,0.0010879604623917905,0.0013923639078278357
EFNB1_EPHB4,0.02772378921508789,23.761213792273807,16.788721965621335,702.8614176150058,398.92041192417184,18957.66638766436,0.027356045716645072,0.02983197921417807
EFNB1_ERBB2,0.023507356643676758,67.09243096773109,16.788721965620052,2005.8779672116043,1126.396169514794,151145.3144909761,0.02507160400784636,0.027584348284802006
EFNB1_EPHB3,0.025553464889526367,11.18427798715465,16.788721965619782,189.27029767431358,187.76973351254105,4200.137794356415,0.444971019131598,0.4458735972637108
SEMA4G_PLXNB2,0.024952173233032227,165.67458048384557,16.78872196561216,5639.448010580426,2781.464468512718,921635.9179031341,0.007587907141858308,0.00873759004213987
VCL_ITGB5,0.029150962829589844,19.23328959926798,16.78872196562151,2170.7580115736823,322.90235156639005,12420.948879922045,3.3306690738754696e-16,1.8281672472160913e-15
EFNA2_EPHA2,0.026754379272460938,22.061833059133395,16.78872196561968,1089.336240391769,370.38998128170726,16342.963867625138,4.654701844641895e-05,7.031873734718949e-05
LGALS1_ITGB1,0.02500319480895996,12.638630142342949,16.788721965617146,709.3224681733291,212.18644748606403,5363.492061988076,3.935051625769681e-06,6.479718343767409e-06
TIMP1_CD63,0.031209468841552734,166.93751182411222,16.788721965618716,27940.038606578317,2802.667471647207,935740.6683743206,0.0,0.0
MMP2_PECAM1,0.026596784591674805,23.641619069838352,16.788721965618798,1006.6457721307374,396.91256938058746,18767.31153865327,0.0004948582093693421,0.0006589217127451616
MMP2_FGFR1,0.023740053176879883,31.213273751255855,16.788721965619217,2242.0232139938544,524.0309746465948,32713.44453156316,8.85428230734675e-09,2.006429110013438e-08
PLAT_LRP1,0.023332834243774414,22.232195659061702,16.788721965620063,3947.117557891015,373.25015160525226,16596.340800524824,0.0,0.0
PLAT_ITGB2,0.024433135986328125,8.268276458529419,16.788721965618844,642.8457749246365,138.81379459712204,2295.5016599730448,8.095191184054329e-10,2.0299616471689537e-09
TGFB1_ENG,0.02294158935546875,58.520852774754196,16.788721965617782,3785.3974117609228,982.4903264262001,114992.34349081569,1.4917777702017077e-07,2.9595912388740704e-07
TGFB1_SMAD3,0.023558855056762695,21.94539858528701,16.788721965619334,979.4772261823634,368.4351952730795,16170.914426231564,0.00024605163540647457,0.00034143120194044506
TGFB1_ACVRL1,0.0259702205657959,31.86095837693467,16.78872196561994,874.2972509041451,534.9047717485457,34085.15733660831,0.04839823328897963,0.05130628164110717
TGFB1_ITGB6,0.023529767990112305,20.052519214879688,16.788721965619434,621.5766890711689,336.6561698088564,13501.608627799786,0.018433124088107156,0.020555221895090146
TGFB1_ITGAV,0.023183107376098633,22.919258223441915,16.788721965618514,881.6351908339474,384.785053971582,17637.976024991443,0.0019154574347366449,0.002395534108252918
TGFB1_ITGB1,0.02574944496154785,16.163858374718323,16.78872196561725,983.6559156728205,271.3705241447598,8772.789438697953,6.556603636687086e-07,1.1881406662964275e-06
TGFB1_CXCR4,0.02686619758605957,6.921957376158668,16.788721965617412,202.9653669750889,116.2108178461825,1608.8126555596284,0.029355474263230708,0.031871657771507626
TGFB1_ITGB5,0.022236347198486328,30.876062196695113,16.788721965619878,1416.7224440510195,518.3696236135007,32010.425479135767,0.0001596148944561504,0.0002272327315888712
COMP_ITGB1,0.027855396270751953,19.503559065509396,16.78872196561577,1331.3729950028883,327.4398304908022,12772.48414875549,3.6596627839280416e-08,7.759113370216535e-08
LAMB1_ITGA7,0.024681806564331055,10.189991258907547,16.78872196561889,589.5979333972126,171.07693007788563,3486.5448441887843,2.048701866708136e-06,3.442376605965371e-06
LAMB1_ITGAV,0.026273488998413086,30.15734032175374,16.788721965614748,1017.1613894703704,506.30320188434644,30537.51593043965,0.008327764730519105,0.009522953187213978
LAMB1_ITGB1,0.025994539260864258,22.17742775515579,16.788721965613792,1416.3393612052269,372.330668493797,16514.673003100088,2.0530575850497002e-07,4.012667129946851e-07
LAMB1_ITGA6,0.022064685821533203,15.046603042748242,16.788721965612567,1207.2871358601456,252.61323501164028,7601.942141129247,2.9253066635703817e-10,7.811359415155506e-10
LAMB1_ITGA1,0.02654242515563965,22.165223295661026,16.788721965617235,525.4996882631937,372.12577121667505,16496.50162617534,0.12044406152427356,0.12421579622753891
LAMB1_ITGA2,0.02543473243713379,26.116041887105567,16.7887219656149,1425.5868928373498,438.45496608496813,22901.416519768958,6.972715460462631e-06,1.1183511160612142e-05
