"","gene_name","sigma.sq","tau.sq","phi","loglik","runtime","mean","var","spcov","prop_sv","loglik_lm","LR_stat","rank","pval","padj"
"SEMA3F_PLXNA3","SEMA3F_PLXNA3",7.14502635114351,7.14502635114351e-08,14.6373593084624,-1476.39057179835,1.262,2.91613890734655,6.65376088447099,0.916629246739361,0.99999999,-1802.79526788256,652.809392168406,324,0,0
"SEMA3F_PLXNA1","SEMA3F_PLXNA1",5.51668777717678,8.27679861976188e-07,14.862185714583,-1382.72128665686,0.455,1.76872456023979,5.44130558842601,1.32794166151925,0.999999849967993,-1726.15208433984,686.861595365963,278,0,0
"SEMA3F_NRP2","SEMA3F_NRP2",3.74463024456806,3.74463024456806e-08,11.7484361480823,-1158.06920891176,0.239000000000001,1.04818430725148,3.57013933261022,1.84614928704633,0.99999999,-1565.5931955879,815.047973352276,138,0,0
"DCN_MET","DCN_MET",5.1344297593187,5.1344297593187e-08,8.98458711459691,-1186.4003919215,0.257,1.01393669997126,4.17665087302093,2.23478251935474,0.99999999,-1625.37402918606,877.947274529118,87,0,0
"GRN_TNFRSF1A","GRN_TNFRSF1A",3.35423631222964,0.85157311128913,13.6786626643092,-1402.30542385166,0.372,4.55132077398204,4.17092092270972,0.40240130709332,0.797524560545431,-1624.85097614384,445.091104584369,484,0,0
"GRN_SORT1","GRN_SORT1",4.63425890479111,4.63425890479111e-08,12.0630858618549,-1248.12674287461,0.229000000000001,1.25166533499941,3.97429006418668,1.71989495268349,0.99999999,-1606.45221020389,716.650934658563,242,0,0
"GRN_TNFRSF1B","GRN_TNFRSF1B",5.74158214905892,5.74158214905892e-08,8.0118609059146,-1188.70219976788,0.262,1.40051786231052,4.36732786785276,1.71090989983402,0.99999999,-1642.38249835498,907.360597174194,71,0,0
"ICAM3_ITGB2","ICAM3_ITGB2",4.91631716686332,4.91631716686332e-08,11.9030207852048,-1266.17202959004,0.251000000000001,1.23926379647036,4.21205899569281,1.78918885347999,0.99999999,-1628.59039381579,724.836728451491,233,0,0
"EFNB1_EPHB6","EFNB1_EPHB6",7.30407718565036,7.30407718565036e-08,20.0317195317828,-1580.81991847461,0.292,1.96640515341481,7.16854087304112,1.3743890084198,0.99999999,-1831.18734524896,500.734853548699,472,0,0
"EFNB1_EPHB4","EFNB1_EPHB4",9.29007785217074,9.29007785217074e-08,14.7176474595116,-1578.1651642286,0.283000000000001,2.6284465845387,8.48138862183318,1.15960617954431,0.99999999,-1895.26089992917,634.191471401137,349,0,0
"EFNB1_ERBB2","EFNB1_ERBB2",8.51174900540422,8.51174900540422e-08,17.0026846566126,-1590.10060853797,0.297999999999998,4.40366956996152,7.7806845406974,0.662513420472811,0.99999999,-1862.40732044342,544.613423810901,440,0,0
"EFNB1_EPHB3","EFNB1_EPHB3",5.39997621950027,5.39997621950027e-08,14.5210094818503,-1367.14410692125,0.254000000000001,1.24688594168005,4.78959253976333,1.86367077636539,0.99999999,-1677.54650962776,620.804805413024,362,0,0
"SEMA4G_PLXNB2","SEMA4G_PLXNB2",3.59048672184358,0.75516288508879,21.6712203221568,-1481.97186470135,0.323,4.77561928310334,4.14943348175924,0.396777434809924,0.826225546605478,-1622.88309525696,281.822461111218,492,0,0
"VCL_ITGB5","VCL_ITGB5",11.2145083866937,0.628122346299842,2.90017527558856,-1308.9829043877,0.222999999999999,2.32401269618507,8.36554539801913,1.4409589994796,0.946960910927511,-1890.02113774291,1162.07646671041,18,0,0
"EFNA2_EPHA2","EFNA2_EPHA2",6.65006884805412,6.65006884805412e-08,19.6193911732178,-1539.01927951209,0.350999999999999,2.1157313558136,6.69793416793308,1.21885641747009,0.99999999,-1805.31630844546,532.594057866749,455,0,0
"LGALS1_ITGB1","LGALS1_ITGB1",4.1814599031926,4.1814599031926e-08,14.1445123809567,-1261.25379997028,0.263000000000002,1.11676980300186,3.83380053449192,1.83105043166204,0.99999999,-1592.74020532678,662.972810713004,309,0,0
"TIMP1_CD63","TIMP1_CD63",6.53540428163942,6.53540428163942e-08,4.22290942597049,-1005.77820939387,0.205000000000002,5.9445002576181,4.81766511669786,0.430051908111514,0.99999999,-1679.77309345328,1347.98976811881,9,0,0
"MMP2_PECAM1","MMP2_PECAM1",6.67847327834287,6.67847327834287e-08,13.2598149924375,-1418.63967757074,0.231000000000002,2.07999254249473,6.24529245991883,1.24244398660907,0.99999999,-1778.65729184667,720.035228551853,238,0,0
"MMP2_FGFR1","MMP2_FGFR1",7.20966704959171,7.20966704959171e-08,16.9657391975734,-1526.17666576529,0.294,2.59388596093323,7.00437522724035,1.03515819798486,0.99999999,-1822.36066369829,592.367995865997,393,0,0
"PLAT_LRP1","PLAT_LRP1",6.6315519505243,0.129963317534755,7.67313975663337,-1272.58002177229,0.291,2.1761206505517,6.96749428735937,1.18338107009372,0.98077896560425,-1820.34924057179,1095.538437599,27,0,0
"PLAT_ITGB2","PLAT_ITGB2",3.99713249996024,3.99713249996024e-08,10.9404938688413,-1158.87769329894,0.308,0.878931429587132,3.43269102237199,2.27467459822854,0.99999999,-1550.63509155605,783.514796514225,157,0,0
"TGFB1_ENG","TGFB1_ENG",7.04889401681285,7.04889401681285e-08,13.1848147274441,-1437.34713416243,0.244,3.53196057197431,6.65440484940963,0.75170016157186,0.99999999,-1802.83214007767,730.970011830481,227,0,0
"TGFB1_SMAD3","TGFB1_SMAD3",6.58480446234312,6.58480446234312e-08,15.3579213253785,-1460.57608834178,0.247,2.02672870844389,6.30471002639173,1.26612277869886,0.99999999,-1782.26498228318,643.377787882791,334,0,0
"TGFB1_ACVRL1","TGFB1_ACVRL1",8.78095426308455,8.78095426308455e-08,12.5966831576016,-1506.01924748132,0.265000000000001,2.77517425645099,7.53992572640149,1.06777709213707,0.99999999,-1850.43173217937,688.824969396105,276,0,0
"TGFB1_ITGB6","TGFB1_ITGB6",6.67423311895047,6.67423311895047e-08,13.2955517069515,-1419.27920563507,0.234000000000002,1.89752778266078,6.1238627519035,1.36148400184146,0.99999999,-1771.17639208914,703.794372908136,250,0,0
"TGFB1_ITGAV","TGFB1_ITGAV",6.53442257571738,6.53442257571738e-08,13.2683563158359,-1410.54275496131,0.236000000000001,1.95907352450797,5.91080419521931,1.30482681389841,0.99999999,-1757.68473623121,694.2839625398,268,0,0
"TGFB1_ITGB1","TGFB1_ITGB1",5.42368115003825,5.42368115003825e-08,11.8226406428284,-1301.32261430225,0.227,1.36667123704469,4.46332281006277,1.70405269585802,0.99999999,-1650.66626250428,698.687296404054,257,0,0
"TGFB1_CXCR4","TGFB1_CXCR4",2.67003994455083,2.67003994455083e-08,16.8250615310566,-1145.15506570863,0.196999999999999,0.658495808492286,2.5029647417371,2.48145191746396,0.99999999,-1430.28916171719,570.268192017117,416,0,0
"TGFB1_ITGB5","TGFB1_ITGB5",8.09245227499365,8.09245227499365e-08,14.7679615732937,-1526.67231406339,0.244999999999997,2.72232273116687,7.57867484963956,1.04496191888676,0.99999999,-1852.38475001414,651.424871901495,327,0,0
"COMP_ITGB1","COMP_ITGB1",6.05186293665148,6.05186293665148e-08,8.20526153635488,-1217.18178540461,0.238999999999997,1.48699795497306,4.45083508615769,1.65437580704199,0.99999999,-1649.59878625456,864.834001699912,93,0,0
"LAMB1_ITGA7","LAMB1_ITGA7",4.35777082742792,4.35777082742792e-08,11.4620257369732,-1207.54444892503,0.240000000000002,0.97574621101736,3.62466029492284,2.13941639736255,0.99999999,-1571.36761192742,727.646326004777,232,0,0
"LAMB1_ITGAV","LAMB1_ITGAV",4.98678479317523,4.98678479317523e-08,17.8908027685408,-1401.91468345392,0.228999999999999,1.9677809681865,4.9810361688365,1.13483718380509,0.99999999,-1692.47888732767,581.128407747493,406,0,0
"LAMB1_ITGB1","LAMB1_ITGB1",5.02301048932588,5.02301048932588e-08,10.6477583971897,-1236.68684901292,0.216000000000001,1.50361716945822,4.18471230974558,1.49054388220853,0.99999999,-1626.10869607628,778.843694126734,163,0,0
"LAMB1_ITGA6","LAMB1_ITGA6",3.53347632987122,3.53347632987122e-08,11.0085910153909,-1114.00857019579,0.248999999999995,1.01494337933774,3.04516323973934,1.85207802254496,0.99999999,-1504.99510179669,781.973063201808,159,0,0
"LAMB1_ITGA1","LAMB1_ITGA1",5.61556227191569,5.61556227191569e-08,13.1692182544054,-1350.34649913255,0.247999999999998,1.73857346130177,5.16309518209064,1.36302423499855,0.99999999,-1706.15614180914,711.619285353197,245,0,0
"LAMB1_ITGA2","LAMB1_ITGA2",4.98841579702801,4.98841579702802e-08,12.7360479148739,-1294.2155208894,0.295999999999999,1.78258174312903,4.81282826372874,1.25294459987898,0.99999999,-1679.39038385297,770.349725927148,175,0,0
"PDAP1_PDGFRB","PDAP1_PDGFRB",6.12281692088971,0.499980351253918,10.311715612162,-1422.33998415191,0.274000000000001,2.75076171553283,6.6187643379423,0.899544526990484,0.924506167000324,-1800.78604734538,756.892126386929,195,0,0
"SERPINE1_PLAUR","SERPINE1_PLAUR",5.5786437322795,1.03568469543173,12.0201412244927,-1523.1069071175,0.359999999999999,2.95017038161808,6.51253374639782,0.800603003311036,0.84341801185852,-1794.62142628425,543.029038333502,441,0,0
"SERPINE1_ITGAV","SERPINE1_ITGAV",4.6801059199511,0.524912973224247,11.5054936416018,-1380.01157518611,0.286000000000001,1.79685181241699,5.4349348219123,1.20396976030386,0.899152532584945,-1725.70574217973,691.388333987236,273,0,0
"SERPINE1_LRP1","SERPINE1_LRP1",6.52312635890708,0.582855752484823,8.01681026557608,-1396.27420717074,0.274999999999999,2.82250058337108,6.77790799674236,0.904885971312171,0.91797674925885,-1809.83853215886,827.128649976256,122,0,0
