,C,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
LAMB3_ITGB4,0.08865487495602631,0.0,0.0004248094182808732,1.1273057470892285e-149,0.000999000999000999,0.0012390025207351316,0.0,3.275817876835758e-148,0.000999000999000999
LAMB3_CD151,0.0951571469192409,0.0,0.0004248094182808732,5.42387963505155e-151,0.000999000999000999,0.0012107679317038414,0.0,1.9138546712253327e-149,0.000999000999000999
LAMB3_ITGA3,0.09867673451860176,0.0,0.0004248094182808732,2.060319572389463e-154,0.000999000999000999,0.0011774186747865304,0.0,1.2722473359504934e-152,0.000999000999000999
A2M_LRP1,0.10432790055161857,0.0,0.0004248094182808732,1.602212179011752e-156,0.000999000999000999,0.0011265203952858787,0.0,3.957464082159027e-154,0.000999000999000999
COL1A2_ITGA11,0.11242740489245835,0.0,0.0004248094182808732,2.5305930937226086e-153,0.000999000999000999,0.0011408143437759315,0.0,1.2501129882989686e-151,0.000999000999000999
HSPA8_LDLR,0.12027914827600587,0.0,0.0004248094182808732,3.414370798125117e-155,0.000999000999000999,0.0011159042404135212,0.0,3.3733983485476155e-153,0.000999000999000999
ARPC5_LDLR,0.1219738071821703,0.0,0.0004248094182808732,5.871172915511347e-153,0.000999000999000999,0.0011329418956162387,0.0,2.636690382056914e-151,0.000999000999000999
COL14A1_CD44,0.12644049976935395,0.0,0.0004248094182808732,1.0625453481289236e-144,0.000999000999000999,0.0012346967645761858,0.0,2.0188361614449548e-143,0.000999000999000999
LTF_LRP1,0.12712501398129586,0.0,0.0004248094182808732,8.997120423338585e-156,0.000999000999000999,0.0010823643093656392,0.0,1.4815258297097537e-153,0.000999000999000999
VCL_ITGB5,0.13565637208605832,0.0,0.0004248094182808732,6.499735481053727e-143,0.000999000999000999,0.0011450088410038578,0.0,9.443733316589826e-142,0.000999000999000999
PLAT_LRP1,0.13869161905403077,0.0,0.0004248094182808732,3.3953513545121258e-149,0.000999000999000999,0.0010941026887735506,0.0,9.318353161827724e-148,0.000999000999000999
AGTRAP_RACK1,0.14211630294747724,0.0,0.0004248094182808732,1.9986658203489009e-153,0.000999000999000999,0.0010487804901722594,0.0,1.097045461391508e-151,0.000999000999000999
LTBP3_ITGB5,0.14351429763096404,0.0,0.0004248094182808732,9.165125821637659e-149,0.000999000999000999,0.0010756965630091394,0.0,2.2637860779445018e-147,0.000999000999000999
SPP1_CD44,0.14540332890596458,0.0,0.0004248094182808732,7.3160733249811195e-146,0.000999000999000999,0.0012089991297203851,0.0,1.505891759391947e-144,0.000999000999000999
MMP7_SDC1,0.1550015466284216,0.0,0.0004248094182808732,2.295541989049977e-142,0.000999000999000999,0.001111889609995328,0.0,3.064858763758618e-141,0.000999000999000999
CSF1_CSF1R,0.15753325547021127,0.0,0.0004248094182808732,7.562032802865409e-155,0.000999000999000999,0.0010078393834608602,0.0,5.336634578022159e-153,0.000999000999000999
COL6A1_ITGA2,0.1605990136774728,0.0,0.0004248094182808732,2.3260018592783415e-155,0.000999000999000999,0.0010280882951645203,0.0,2.8726122962087516e-153,0.000999000999000999
SERPINE1_LRP1,0.1607143137910989,0.0,0.0004248094182808732,4.81924768982569e-155,0.000999000999000999,0.0009968865299079567,0.0,3.967847264623151e-153,0.000999000999000999
TLN1_ITGB5,0.16369227197589034,0.0,0.0004248094182808732,1.880712792108072e-143,0.000999000999000999,0.0010609676615677258,0.0,2.903350372816836e-142,0.000999000999000999
SPP1_ITGAV,0.16661966524823285,0.0,0.0004248094182808732,4.9754649986682665e-145,0.000999000999000999,0.0010486381366942965,0.0,9.831518837368495e-144,0.000999000999000999
