,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
466,0.8499164121300069,4,CD99_CD81,5.18771278254663,0.1309310325353291,-82.23449561515004,-31.88209830953817,86.57609078951843,SE,64,0.0006101645918882505,0.035197129831156505,0.0012996196746826172,181.10452356373875,-135.20679604109,52.97230042593996,3.382849556032852e-13,9.225953334635052e-12
465,0.9228738343800014,4,GPC3_CD81,5.18771278254663,0.06196479437748632,-62.159463199337395,8.609567308219289,8.840668175524979,SE,64,0.0002532912370570128,0.04201354635944665,0.001499176025390625,140.95445873211347,-109.69790436238938,47.538441163051985,5.393574475931473e-12,7.3548742853611e-11
444,0.8358582737673792,4,HSPA8_LDLR,5.18771278254663,0.14560354736624628,-94.18154851479727,-15.349185723789288,22.96417025216238,SE,64,0.0012199217988969602,0.06195263718478964,0.0012831687927246094,204.99862936303322,-136.57043787630045,42.388889361503175,7.481382180429819e-11,6.801256527663472e-10
437,0.7730446613880666,4,AGTRAP_RACK1,5.18771278254663,0.21768145058599578,-85.61159336661679,-29.273532395085155,70.35730637965273,SE,64,0.001353025345602243,0.04511245908899159,0.0011096000671386719,187.85871906667225,-123.70828058276722,38.09668721615043,6.73243349957886e-10,4.590295567894679e-09
286,0.8772392015038787,4,LTF_LRP1,3.2370446538154347,0.12379940258288216,-88.23882142670894,10.03004280491629,17.218050365378794,SE,64,0.0005061448504323953,0.039425518175643645,0.0015153884887695312,193.11317518685655,-125.45686949376326,37.218048067054326,1.0563162566867845e-09,5.761725036473371e-09
469,0.8898714002961726,4,LAMB3_COL17A1,5.18771278254663,0.0917610708540954,-88.95253871931607,9.803969342745459,12.425675816269248,SE,64,0.0007696149063169154,0.0710318721439552,0.0017230510711669922,194.5406097720708,-125.069305929081,36.11676720976493,1.8584089822581973e-09,8.44731355571908e-09
463,0.838755912956519,4,SCGB3A1_NOTCH3,5.18771278254663,0.14253903293221665,-66.56064132845935,-50.527054142219704,211.0160447911223,SE,64,0.0009435307369439773,0.049129444393376326,0.001291036605834961,149.75681499035738,-102.2423678372734,35.68172650881405,2.323331305120746e-09,9.05194014982109e-09
343,0.8574379228686185,4,LAMB3_CD151,3.2370446538154347,0.14708832486985168,-91.13870065280312,11.461650587060893,21.64053664592039,SE,64,0.0007486584003505829,0.046551060142368934,0.0013058185577392578,198.91293363904492,-126.32006412908295,35.18136347627983,3.00384450646618e-09,1.0240378999316525e-08
434,0.804563064659535,4,COL1A2_ITGA11,5.18771278254663,0.18010764911339538,-97.92456927132702,15.636926609743863,23.26935761495978,SE,64,0.0012241832291653833,0.049141239923393074,0.0013227462768554688,212.4846708760927,-131.73489226443814,33.81032299311113,6.075562164475912e-09,1.8410794437805796e-08
403,0.8290546364613304,4,SEMA4D_PLXNB1,3.2370446538154347,0.18241101038377766,-82.54264246899945,-19.806602643649946,58.85559519855367,SE,64,0.0008630802720648343,0.04142931832572689,0.0013337135314941406,181.72081727143757,-116.07464489904174,33.5320024300423,7.010103164617476e-09,1.9118463176229484e-08
387,0.8393192444628079,4,COL6A2_ITGA2,3.2370446538154347,0.16936105850087194,-83.33184907855757,22.774003961623105,77.77253082258964,SE,64,0.0005971780022171185,0.031248704931121182,0.0015437602996826172,183.2992304905538,-116.41488433824993,33.083035259692366,8.830585040975336e-09,2.1466573107831323e-08
478,0.7138426831364707,4,COL5A1_ITGB1,8.313868603102732,0.20857119761374934,-84.87896541991724,36.70204655845473,68.19071847910452,SE,64,0.0046766071542293,0.12115541667236306,0.0011208057403564453,186.39346317327315,-117.69556829394759,32.81660287403035,1.0127614191723922e-08,2.1466573107831323e-08
412,0.77255890838253,4,PLAT_LRP1,5.18771278254663,0.21828451667939122,-92.02469094627935,28.13183666021107,65.57989866667207,SE,64,0.0015810192810291664,0.05258073216649924,0.0011146068572998047,200.68491422599737,-124.75379664791664,32.729105701637295,1.0593896426769334e-08,2.1466573107831323e-08
319,0.8168174860402013,4,ARPC5_LDLR,3.2370446538154347,0.198397348526574,-96.76332430988913,16.47440829027713,41.695953842887775,SE,64,0.0008892862422626691,0.03886860396449237,0.0013277530670166016,210.16218095321693,-129.41586858115494,32.65254427126581,1.1019507528686745e-08,2.1466573107831323e-08
374,0.8637697357124543,4,CXCL1_ADRA2A,3.2370446538154347,0.13952514770634716,-92.44872448056279,39.60205115574632,235.23325935274806,SE,64,0.0011938796479921332,0.0794081463713867,0.001329183578491211,201.53298129456425,-124.81221921329507,32.36349473273228,1.2786613434734306e-08,2.1740547864641992e-08
352,0.8116780621070059,4,LAMB3_ITGB4,3.2370446538154347,0.20525511170458388,-96.08044055656626,13.529783385859469,28.697930941536846,SE,64,0.000935858836975556,0.03943063361810067,0.0013208389282226562,208.7964134465712,-128.3520953323461,32.27165477577984,1.3405471066540997e-08,2.1740547864641992e-08
290,0.8332386134685094,4,INHBA_ENG,3.2370446538154347,0.1770528757190038,-84.37356325076063,-5.181088602854597,5.535766787509587,SE,64,0.000711585792109944,0.03534814085192465,0.0014977455139160156,185.38265883495993,-116.6241510956504,32.25058784488978,1.3551608168960172e-08,2.1740547864641992e-08
373,0.9143829873191912,4,GNAI2_ADRA2A,3.2370446538154347,0.08283403336132067,-95.68511239363737,41.59734999232445,266.7183125615495,SE,64,0.0008320822061104637,0.11573120762438964,0.0013005733489990234,208.0057571207134,-126.78015419928464,31.09504180564727,2.4569819401243365e-08,3.7226999092792985e-08
419,0.772969971203663,4,LAMA5_SDC1,5.18771278254663,0.21777412971187296,-75.1716494255134,-33.26886933741802,89.68249117388625,SE,64,0.0016959930012317257,0.056525584755630506,0.0014307498931884766,166.97883118446546,-105.63287341338105,30.461223987867655,3.406069404299217e-08,4.88909483870701e-08
300,0.7974973400256972,4,MMP7_SDC1,3.2370446538154347,0.22463548641068007,-88.02180737281287,6.098969181148718,6.9385058657767456,SE,64,0.0012590108231072489,0.048290734302048,0.0012845993041992188,192.67914707906442,-117.70304261141575,29.68123523860288,5.092540045215088e-08,6.944372788929667e-08
323,0.8261364697264356,4,COL6A2_ITGB1,3.2370446538154347,0.18618023510436071,-90.1325673666569,24.999543235989606,93.14190970412702,SE,64,0.0009133172366802968,0.04283516024055928,0.0013179779052734375,196.90066706675248,-119.63114643043008,29.498579063773178,5.595771257471682e-08,7.267235399313875e-08
447,0.7501345912579831,4,LAMA5_ITGA3,5.18771278254663,0.24697474697001284,-74.35041426472273,-28.770001597651135,66.66303661216527,SE,64,0.0021592256498910328,0.06446654300221297,0.001312255859375,165.33636086288413,-103.08232598624147,28.731911721518742,8.312267052446032e-08,9.91608072333625e-08
338,0.8335309305859975,4,COL16A1_ITGB1,3.2370446538154347,0.17668053544423423,-93.67200950507417,37.612421875795164,209.41885078016927,SE,64,0.0010538649337637485,0.05247877698337606,0.0013089179992675781,203.97955134358702,-122.39223878538569,28.720229280311514,8.362561410013569e-08,9.91608072333625e-08
351,0.8170067738630356,4,LAMB3_ITGA3,3.2370446538154347,0.19814642067536417,-99.03134118204511,30.13593211159935,134.49633727786002,SE,64,0.0010192398242014403,0.04461009248655838,0.0013012886047363281,214.6982146975289,-127.52782782032914,28.496486638284026,9.386866828275942e-08,1.0666894123040844e-07
456,0.7499689638120333,4,LAMA5_ITGB4,5.18771278254663,0.24719303776679238,-75.09147862280605,-45.75130652657242,166.56488172531226,SE,64,0.001795999027065168,0.053582578385718525,0.0013074874877929688,166.81848957905078,-103.19734620574377,28.10586758293772,1.148571056042158e-07,1.2529866065914452e-07
411,0.771233192474704,4,CXCL17_GPR35,3.2370446538154347,0.2624122918174241,-100.40278545412018,-15.481053772888744,36.30932215475471,SE,64,0.001407436001531156,0.046487124556648225,0.0013055801391601562,217.44110324167903,-128.24261686294682,27.83983140882664,1.3178486824028113e-07,1.382358757765187e-07
410,0.7838779032756124,4,SEMA4D_PLXNB2,3.2370446538154347,0.24390888738696168,-89.03163335322789,-21.532022711315417,68.05102536854551,SE,64,0.0014063871213729259,0.0497388952052213,0.00130462646484375,194.69879903989445,-115.98156084741291,26.94992749418502,2.0879498163761667e-07,2.109040218561785e-07
383,0.8043825036324987,4,LTBP3_ITGB5,3.2370446538154347,0.21514039213884262,-101.8969413038439,39.3112354243485,226.08943486364916,SE,64,0.0013220707332238586,0.053007316445608285,0.0013382434844970703,220.42941494112648,-128.70273819246898,26.805796888625082,2.2496150575701535e-07,2.1911834976332668e-07
