,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,is_svi,label,pattern_membership_0,pattern_membership_1,pattern_membership_2,pattern_membership_3,pattern_membership_4,pattern_correlation_0,pattern_correlation_1,pattern_correlation_2,pattern_correlation_3,pattern_correlation_4
SEMA3F_PLXNA3,449,20.021103,3.0455267,41.0761154855643,15256.081,9.632799,449,1,0,1.0,0.0,0.0,0.0,0.0,0.2514837577932017,-0.03566096048232673,0.1868188821389957,-0.042631368273255615,-0.16110907949417946
SEMA3F_PLXNA1,287,10.207184,2.416555,62.33595800524934,7777.874,8.959167,287,0,-1,0.0,0.0,0.0,0.0,0.0,-0.10200267323310717,-0.16824702540212327,0.05884162285846111,0.18196185773791865,0.07080909542429809
SEMA3F_NRP2,187,5.5564213,1.8804449,75.45931758530185,4233.993,8.351137,187,1,4,0.0,0.0,0.0,0.0,1.0,-0.2611536017439405,-0.2586921636742885,-0.11145923424257831,0.303521299189993,0.25310760039521396
DCN_MET,160,8.569279,2.2585578,79.00262467191601,6529.79,8.784284,160,1,4,0.0,0.0,0.0,0.0,1.0,-0.12270190066070204,-0.038026398520481286,0.10708948671170247,0.04971364913790523,0.1446182301338555
GRN_TNFRSF1A,654,35.073296,3.585553,14.173228346456689,26725.852,10.193424,654,0,-1,0.0,0.0,0.0,0.0,0.0,-0.3185805925294712,-0.13218521939358055,0.04034682741353898,0.04613290115228752,0.26981504342392226
GRN_SORT1,225,6.1554036,1.9678679,70.4724409448819,4690.4175,8.45349,225,1,4,0.0,0.0,0.0,0.0,1.0,-0.22466009265801962,-0.265242403026502,-0.06712149758906269,0.20404772942662006,0.2781297226493745
GRN_TNFRSF1B,246,7.615682,2.153584,67.71653543307087,5803.15,8.666328,246,1,4,0.0,0.0,0.0,0.0,1.0,-0.3338433178974014,-0.16231236294889262,-0.07674731474065806,0.12597082045728225,0.3293541264955664
ICAM3_ITGB2,212,6.5231447,2.0179842,72.17847769028872,4970.636,8.511504,212,1,4,0.0,0.0,0.0,0.0,1.0,0.03515785028014768,-0.04271438496268126,0.4186911378052201,-0.10963208367296781,0.10706200067443687
EFNB1_EPHB6,277,14.394073,2.7339826,63.6482939632546,10968.283,9.302855,277,1,4,0.0,0.0,0.0,0.0,1.0,0.1785728163615666,0.03438301710144832,0.06336428212175708,-0.1347309471343241,-0.18294529847292293
EFNB1_EPHB4,357,25.037714,3.259546,53.14960629921259,19078.738,9.856382,357,0,-1,0.0,0.0,0.0,0.0,0.0,0.10936162712083738,0.2787700173335494,-0.08351853370719307,-0.10595888307518371,-0.17146098001067764
EFNB1_ERBB2,557,45.550285,3.8405333,26.902887139107612,34709.316,10.454792,557,0,-1,0.0,0.0,0.0,0.0,0.0,0.2325773388343234,0.16960586851381296,-0.17906711785190196,-0.17787720443786895,-0.29435381485096196
EFNB1_EPHB3,193,8.930079,2.2955685,74.67191601049869,6804.7207,8.825519,193,0,-1,0.0,0.0,0.0,0.0,0.0,-0.039392314182495884,-0.045194703046019136,0.015500081540696684,0.0968562218454346,0.06425071507086225
SEMA4G_PLXNB2,656,39.46362,3.7004032,13.910761154855644,30071.28,10.311359,656,0,-1,0.0,0.0,0.0,0.0,0.0,-0.08428521127962701,-0.14630236860925763,-0.05147135507010342,0.23567737431897068,0.02785716797823069
VCL_ITGB5,313,28.620455,3.3884652,58.9238845144357,21808.787,9.990114,313,1,4,0.0,0.0,0.0,0.0,1.0,-0.3767307367313939,-0.5095227797368962,-0.09505691043146679,0.4762213198529508,0.3979377773548118
EFNA2_EPHA2,317,15.1236315,2.780286,58.3989501312336,11524.207,9.352292,317,1,4,0.0,0.0,0.0,0.0,1.0,-0.05127183331072728,-0.15500419442568422,-0.04304171314679515,0.07822866190521405,0.005104801161971514
LGALS1_ITGB1,196,6.847491,2.0601938,74.2782152230971,5217.788,8.56002,196,1,4,0.0,0.0,0.0,0.0,1.0,-0.17351314504542922,-0.3297947506685844,-0.10008943352846918,0.3342885706048538,0.255782959825823
TIMP1_CD63,682,77.10611,4.3580685,10.498687664041995,58754.855,10.981146,682,1,0,1.0,0.0,0.0,0.0,0.0,0.567808274933055,0.4632773381125991,-0.07850814084323747,-0.4638104235566502,-0.5976973557030617
MMP2_PECAM1,323,12.912714,2.6328032,57.61154855643045,9839.488,9.194261,323,1,4,0.0,0.0,0.0,0.0,1.0,0.017742254218618497,0.11888086886068562,-0.009464600009299594,-0.022964679320532914,-0.06409168017357414
