,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
LAMB3_ITGB4,0.9177404049904108,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001149283030163259,0.0,0.0,0.000999000999000999
LAMB3_CD151,0.9108776337728253,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011032992359004427,0.0,0.0,0.000999000999000999
LAMB3_ITGA3,0.9086914781643557,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011298315636126262,0.0,0.0,0.000999000999000999
COL14A1_CD44,0.9007802500925313,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0012276179919219303,0.0,0.0,0.000999000999000999
A2M_LRP1,0.895694400429493,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011293052766584808,0.0,0.0,0.000999000999000999
SPP1_CD44,0.8952440980314497,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0012152127429281782,0.0,0.0,0.000999000999000999
COL1A2_ITGA11,0.89314836722766,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0012408111096021347,0.0,0.0,0.000999000999000999
HSPA8_LDLR,0.8873259485495635,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001177702283215557,0.0,0.0,0.000999000999000999
ARPC5_LDLR,0.8870375240770654,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0012141563171827571,0.0,0.0,0.000999000999000999
LTF_LRP1,0.8754002014949519,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010510638920093285,0.0,0.0,0.000999000999000999
PLAT_LRP1,0.8610141566286585,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010476419990592732,0.0,0.0,0.000999000999000999
VCL_ITGB5,0.8599995460578992,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010251701453051613,0.0,0.0,0.000999000999000999
AGTRAP_RACK1,0.8560384830534715,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001143876949364915,0.0,0.0,0.000999000999000999
COL6A1_ITGA2,0.8509460190113118,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011213930349425606,0.0,0.0,0.000999000999000999
LTBP3_ITGB5,0.850657217531057,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0009893375052759336,0.0,0.0,0.000999000999000999
MMP7_SDC1,0.8486021484398325,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0011389954955837813,0.0,0.0,0.000999000999000999
CSF1_CSF1R,0.8424674239349282,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0009958903628709066,0.0,0.0,0.000999000999000999
SERPINE1_LRP1,0.8385799738494396,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010424290032813373,0.0,0.0,0.000999000999000999
LAMB3_ITGA2,0.8356007327891521,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010396297790493817,0.0,0.0,0.000999000999000999
SPP1_ITGAV,0.8324921763383321,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.001015995313346301,0.0,0.0,0.000999000999000999
LAMB3_COL17A1,0.8324243265919318,0.0,0.0004248094182808732,0.0,0.000999000999000999,0.0010589370625996802,0.0,0.0,0.000999000999000999
