,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
481,0.6804428207936476,4,TFF2_MUC6,8.313868603102732,0.24434808223758264,-48.70719688188028,-17.522351428306866,15.511326808986263,SE,64,0.004531357036550734,0.10604337656855992,0.0011749267578125,114.04992609719925,-77.7810226237838,29.07382574190352,6.967195098628309e-08,6.333813726025737e-07
351,0.7838152964166356,4,VCAM1_ITGB1,3.2370446538154347,0.24399903134721143,-77.13878159885664,23.031278804940584,77.15232821199967,SE,64,0.0012484211502375344,0.04413656059799308,0.001283884048461914,170.91309553115195,-101.76733732533816,24.628555726481522,6.951398769938777e-07,2.6737982671377516e-06
400,0.782963122144889,4,CD99_CD81,3.2370446538154347,0.24522746088792458,-82.50560458331245,-29.406244741875994,125.24875131619764,SE,64,0.0021277023376448335,0.07486187617364568,0.0017316341400146484,181.64674150006357,-106.4127654595384,23.90716087622596,1.0109501561439416e-06,2.6737982671377516e-06
332,0.8149524864138114,4,INHBA_ENG,3.2370446538154347,0.20087590209056874,-73.23350010427586,7.954158903797937,10.251081624484065,SE,64,0.0011197588675286956,0.04828636849316997,0.0015006065368652344,163.1025325419904,-96.84882024099971,23.615320136723852,1.1764712375406106e-06,2.6737982671377516e-06
411,0.7545321646523312,4,HSPG2_ITGA2,3.2370446538154347,0.28780193539857774,-74.94619115909774,36.399695902852365,188.62179593742334,SE,64,0.001902339127464069,0.05793338436422507,0.0012862682342529297,166.52791465163415,-98.01872009131935,23.072528932221616,1.5600376300772822e-06,2.7458115523717264e-06
293,0.9879479719543827,4,PGF_NRP2,2.019860877041703,0.011679288477131613,-86.75577511509415,-3.301815107017102,4.834815077265263,SE,64,0.02156506656899126,113.00537621197876,0.0014979839324951172,190.14708256362698,-109.54025235917133,22.78447724407718,1.8122356245653393e-06,2.7458115523717264e-06
95,0.9433944830350429,4,TGFB3_ENG,2.019860877041703,0.05744546575042004,-72.87302773772093,19.013831372496355,108.46378182800026,SE,64,0.004526807212098099,1.286579772211238,0.0022377967834472656,162.38158780888054,-95.16097178763107,22.287944049910138,2.3467534481236285e-06,2.798310055643602e-06
348,0.7946017904956438,4,LAMC2_COL17A1,3.2370446538154347,0.22867779152309725,-88.35906818716325,-21.815872949703927,70.151322164925,SE,64,0.0015824829323807749,0.05961779920761805,0.0012884140014648438,193.35366870776517,-110.55456036388748,22.19549217672423,2.4625128489663695e-06,2.798310055643602e-06
64,0.9797255372721851,4,SEMA3F_NRP2,2.019860877041703,0.01981231625789198,-86.1176346837307,-2.1736319318855437,2.885784014771527,SE,64,0.013392082897940435,25.648177706858057,0.0031638145446777344,188.87080170090007,-107.76741088903218,21.649776205301478,3.272481886473777e-06,3.0039661271450764e-06
310,0.9842548142705063,4,CXCL17_GPR35,2.019860877041703,0.015315478367549564,-91.33230939239355,8.061270522395338,21.430898269354337,SE,64,0.010262436027940565,31.98999816345845,0.0013463497161865234,199.30015111822578,-112.72944849349236,21.3971391010988,3.733278342799018e-06,3.0039661271450764e-06
77,0.9111167046620552,4,TGFB1_ENG,2.019860877041703,0.09339776086260193,-72.8786722940339,18.67358407832489,103.1090563299373,SE,64,0.0032812365955085967,0.4287964361618103,0.0024042129516601562,162.39287692150648,-94.06727098051081,21.188598686476908,4.1623323643324994e-06,3.0039661271450764e-06
302,0.9100435269953101,4,BMP2_ENG,2.019860877041703,0.09463691627504135,-73.27937217522826,15.224618000280643,68.78180671786698,SE,64,0.0032876996874984994,0.4211809781083277,0.002550840377807617,163.1942766838952,-94.3732181419808,21.09384596675254,4.3733036430015915e-06,3.0039661271450764e-06
476,0.628636142080351,4,LAMB2_ITGB1,5.18771278254663,0.4380118839130352,-79.89430280066476,28.689147543824813,62.981870426887,SE,64,0.004120192335146575,0.08601821157049584,0.0011157989501953125,176.4241379347682,-100.91418711129683,21.019884310632065,4.545413970880041e-06,3.0039661271450764e-06
420,0.7976743149507219,4,LAMB3_COL17A1,3.2370446538154347,0.2243893738602355,-88.7283679158685,6.31374219364462,7.359658851515573,SE,64,0.0023021954168386603,0.08840130582131753,0.0012984275817871094,194.09226816517568,-109.71453785078884,20.98616993492034,4.626107835803417e-06,3.0039661271450764e-06
292,0.9899766540227571,4,VEGFA_NRP2,2.019860877041703,0.009693443743908363,-87.08329391843048,-6.557474052709976,14.615177862714257,SE,64,0.049386819167897826,371.0416724269303,0.0013132095336914062,190.80212017029964,-107.90261102103453,20.819317102604046,5.0471327259771215e-06,3.0588683187740133e-06
188,0.9757056370651178,4,LAMB3_ITGA6,2.019860877041703,0.023838395842872527,-76.3965217912421,39.455499653494904,470.99591473627174,SE,64,0.00854125862230257,11.580541723232821,0.0018467903137207031,169.42857591592286,-96.98580264833927,20.58928085709718,5.69138925821111e-06,3.098437933889409e-06
