,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,is_svi,label,pattern_membership_0,pattern_membership_1,pattern_membership_2,pattern_membership_3,pattern_membership_4,pattern_correlation_0,pattern_correlation_1,pattern_correlation_2,pattern_correlation_3,pattern_correlation_4
SEMA3F_PLXNA3,459,22.910303,3.1743095,39.76377952755905,17457.65,9.7675905,459,1,4,0.0,0.0,0.0,0.0,1.0,0.002602904757256004,-0.23604284470927447,-0.21193002010494869,-0.18718197781037976,0.03076313391190761
SEMA3F_PLXNA1,304,14.691883,2.7531435,60.10498687664042,11195.215,9.323331,304,1,4,0.0,0.0,0.0,0.0,1.0,-0.06675221555145974,-0.12667036977734505,-0.20836543024529514,-0.07652484760842146,0.20335611034749781
SEMA3F_NRP2,194,7.6033287,2.1521492,74.54068241469815,5793.7363,8.664705,194,1,4,0.0,0.0,0.0,0.0,1.0,0.17286610860618348,0.016902845052410104,-0.05804966758909064,0.17006050649390583,0.006562714853497665
DCN_MET,135,5.4982424,1.8715317,82.28346456692913,4189.6606,8.340613,135,1,4,0.0,0.0,0.0,0.0,1.0,0.09924098840934026,0.0709599627007405,0.3058480548067585,0.06611428295015559,0.0358196952828857
GRN_TNFRSF1A,682,54.264492,4.0121307,10.498687664041995,41349.543,10.629841,682,0,-1,0.0,0.0,0.0,0.0,0.0,-0.05138429694486237,-0.09285776439410535,-0.08349738894032711,-0.23705182275546646,0.022390957578349496
GRN_SORT1,228,8.240665,2.223614,70.07874015748031,6279.3867,8.745187,228,0,-1,0.0,0.0,0.0,0.0,0.0,0.001659843150272623,0.12029618406158442,0.031364657454689394,0.09156089131750016,-0.11914663661502854
GRN_TNFRSF1B,244,10.849963,2.4723248,67.97900262467192,8267.672,9.020229,244,1,4,0.0,0.0,0.0,0.0,1.0,0.19762912588107526,-0.00462225836338565,-0.05119036557013795,-0.005616406223483169,-0.05431206097650727
ICAM3_ITGB2,209,8.625105,2.2643747,72.57217847769029,6572.3296,8.790776,209,1,4,0.0,0.0,0.0,0.0,1.0,0.024850477171917025,0.014774229747310163,0.005621141257021805,-0.05373919799894093,0.2048890999557515
EFNB1_EPHB6,329,16.210596,2.8455253,56.8241469816273,12352.475,9.421693,329,1,0,1.0,0.0,0.0,0.0,0.0,0.43000583231351597,-0.15494985230881306,-0.22024019290191138,-0.07116702063789346,-0.07999960077942601
EFNB1_EPHB4,387,20.582417,3.071879,49.21259842519685,15683.802,9.660447,387,0,-1,0.0,0.0,0.0,0.0,0.0,-0.0678170989435385,-0.14164471015110647,-0.1348636987391931,-0.03392566106092885,0.15181332082503454
EFNB1_ERBB2,598,39.26812,3.69556,21.52230971128609,29922.307,10.306393,598,1,4,0.0,0.0,0.0,0.0,1.0,-0.04518860364595091,-0.16868012827040865,-0.1834454687401292,-0.09477506108689118,-0.07720741916533212
EFNB1_EPHB3,222,7.8062625,2.1754632,70.86614173228347,5948.372,8.691041,222,0,-1,0.0,0.0,0.0,0.0,0.0,0.12648329824830565,0.07861510618629419,-0.00994607823920385,0.194542786630842,-0.03734064630790334
SEMA4G_PLXNB2,688,53.88585,4.0052557,9.711286089238847,41061.016,10.622839,688,1,4,0.0,0.0,0.0,0.0,1.0,-0.09085434724693862,-0.18853584396531645,-0.06322870299476153,-0.24077379976101337,0.13229939752373157
VCL_ITGB5,424,23.948318,3.2168064,44.356955380577425,18248.62,9.811899,424,1,4,0.0,0.0,0.0,0.0,1.0,-0.16570845964595254,0.021790448980745968,0.03124037886507612,0.016024194807314474,0.20816950631235456
EFNA2_EPHA2,340,19.565466,3.0236132,55.38057742782152,14908.886,9.609779,340,1,4,0.0,0.0,0.0,0.0,1.0,0.13745006032293527,0.05485526667134855,0.03660750563290418,0.08241391317823099,-0.041539011686353856
LGALS1_ITGB1,197,7.5819163,2.1496572,74.14698162729658,5777.4204,8.661885,197,1,1,0.0,1.0,0.0,0.0,0.0,0.25347686299657557,0.4766446050944581,0.18835085811167632,0.6024434325617954,-0.46789605926945677
TIMP1_CD63,716,86.63648,4.4731975,6.036745406824151,66017.0,11.097683,716,0,-1,0.0,0.0,0.0,0.0,0.0,-0.0587165930222624,-0.09098735947477835,-0.03905009866345478,-0.0885325219525507,-0.06151924247371412
MMP2_PECAM1,349,18.394472,2.964988,54.199475065616795,14016.588,9.548068,349,1,1,0.0,1.0,0.0,0.0,0.0,0.12386416018374234,0.26122531613812633,0.15701735568393915,0.11322555397761284,-0.10873030637251227
MMP2_FGFR1,412,22.007471,3.135819,45.93175853018373,16769.693,9.727388,412,1,4,0.0,0.0,0.0,0.0,1.0,-0.258308651133741,-0.008477362102746414,-0.004583157823587638,-0.11181112107952881,0.16077790220219354
PLAT_LRP1,497,28.182264,3.3735611,34.7769028871391,21474.885,9.974686,497,1,1,0.0,1.0,0.0,0.0,0.0,0.019676884915134602,0.6586683773834358,0.507257984788352,0.24360143365558412,-0.5172859632444831
