cell,0,1,2,3,4
C10x10,1.5261699688595642,-0.11305199974096808,-0.296462217654075,-0.29829934823178533,-0.010882580741454867
C10x13,-0.18588063468095212,1.3055112075359478,-0.3003370337448189,-0.2990751374186439,-0.15278732241299176
C10x14,-0.2046897616864252,1.3993183174879316,-0.3023533962065047,-0.29999451809016786,-0.23099249087791313
C10x15,-0.1887515277939878,1.2402482170829978,-0.3007365483056627,-0.29921072042970354,-0.22398932858090256
C10x16,-0.1967321519499813,1.1685237488867268,-0.3023815660119492,-0.3004923656178588,-0.14406721957064822
C10x17,-0.19871664686738136,0.9040996332547259,-0.3022445294603041,-0.3004032324759382,-0.21069296109750113
C10x19,-0.1981468137017047,1.1454542470216935,-0.30268981514950716,-0.3007378549130157,-0.2320210213072666
C10x20,-0.19691823696258334,1.4182516390877842,-0.29889923584841394,-0.2974871479252331,-0.22080853760384253
C10x24,-0.19678759169155663,1.1478543222687276,-0.2988891819052765,-0.2953789409922701,-0.2235086994135311
C10x25,-0.19815571238387616,1.2301877345495855,-0.301691640746519,-0.30272606315807155,-0.22578234633747865
C10x26,-0.19840442359109517,0.9613350851689807,-0.30338277728495316,-0.30245493264913254,-0.22694840811191697
C10x27,-0.19874101262644114,0.6627834209754837,-0.2985541289240795,-0.3001913340674261,-0.2261439555163472
C10x28,-0.19731750813557286,0.21544484579158624,-0.31064000971810096,-0.3018341080033483,-0.2253479847750246
C10x29,-0.19731376628010933,-0.002386904944325879,-0.2909657328319057,-0.31621698291280054,-0.22647249516394924
C10x30,-0.20335328432709243,-0.013386853307447932,-0.3371664482449897,-0.3425127420933795,-0.22665058313467543
C10x31,-0.20040043533833982,-0.0934216186885973,-0.30052759973437737,-0.31635205054031745,-0.2240944041271417
C10x32,-0.17767330938401177,-0.18972824201850125,-0.3408905225063082,-0.3123959781886078,-0.22253861102957348
C10x33,-0.2176171684871805,-0.22339090497284483,-0.24124992141695725,-0.27647692071683233,-0.22480563141464857
C11x11,0.9809429631655103,-0.20656671869257015,-0.3002723876560169,-0.29815833025592775,-0.2221533177590563
C11x13,-0.21147125511369555,-0.19128044407579434,-0.30155344296717923,-0.2996914266408967,-0.1478125131985922
C11x14,-0.20355410826820347,-0.1980602262012279,-0.30137726680980076,-0.2996236500363828,-0.22925778334158334
C11x15,-0.20371752642040117,-0.05674628187699993,-0.30098274674051845,-0.29939640586533056,-0.19782076681002125
C11x16,-0.2065242529167979,0.21707617571139692,-0.3015385261914525,-0.2996409661785024,-0.1646755942962348
C11x17,-0.19470219611944412,0.028548044697424915,-0.2997510584760992,-0.29813729339247547,-0.2420751439033843
C11x19,-0.19799178039945395,1.511403840237397,-0.3010628900427481,-0.2994064662851509,-0.22121051037073758
C11x21,-0.1984199671323021,1.9834140758048346,-0.30249718797712544,-0.29985420556688924,-0.2251305867893392
C11x22,-0.19692811951869124,1.2058891275710597,-0.2993113337560008,-0.2995787169951741,-0.22746553995892627
C11x23,-0.19818143936634852,0.5523496675606148,-0.3014116928313104,-0.29705074356177047,-0.22224271439881332
C11x24,-0.19857979811513038,0.4203741571711447,-0.3042327487588929,-0.306530590031807,-0.22948391614491462
C11x25,-0.19799319731146264,0.5404499530384854,-0.29878699033378897,-0.29747614960076313,-0.22371268830468674
C11x26,-0.1971340755812766,0.31515958660927507,-0.3035979168844577,-0.28601670288114145,-0.2253522573511145
C11x27,-0.19741714802522728,0.30489062176634646,-0.30022058165132953,-0.3148701863589622,-0.2244944119023613
C11x28,-0.19868876695523258,0.15764629341065173,-0.30136316501087346,-0.28584769987160047,-0.22563391825679294
C11x29,-0.19689040238797653,-0.19174939645013261,-0.28622970392950015,-0.26868574916628896,-0.22470920383750542
C11x30,-0.19568296675111715,-0.18403998324709891,-0.30056808846879035,-0.2305016684460528,-0.22477827426478555
C11x31,-0.19626006199544574,-0.1251834365529173,-0.20766694642460895,-0.2564845525926093,-0.2271105037565717
C11x32,-0.2109033031985369,-0.20916914281139676,-0.3547532009583595,-0.31713837928218763,-0.2256305710337092
C11x33,-0.18284595404338508,-0.1894376534446855,-0.05029796723061117,-0.29525643113744543,-0.22788820657664688
C11x34,-0.1955958190252166,-0.2013653593553458,2.1228030274767935,0.25981814628952815,-0.22359346156932913
