,g,pattern,membership
49,FN1_ITGA6,2,0.9999999999959999
50,ADAM15_ITGB1,1,0.9999999999959996
51,CALM1_PTPRA,4,0.9999999999960001
52,TGM2_ITGB1,1,0.9999999999959996
53,THBS2_ITGA6,2,0.9999999999959999
54,SPTAN1_PTPRA,2,0.9999999999959999
55,LAMB3_CD151,3,0.9999999999959999
56,LAMB3_ITGA6,3,0.9999999999959999
57,PLAU_ITGA3,3,0.9999999999959999
58,LAMA4_ITGA3,2,0.9999999999959999
59,LGALS8_ITGA3,3,0.9999999999959999
60,CALR_ITGA3,3,0.9999999999959999
61,LAMB2_ITGA3,3,0.9999999999959999
62,LAMB3_ITGA3,3,0.9999999999959999
63,LTB_TNFRSF1A,1,0.9999999999959996
64,LAMB3_ITGB4,3,0.9999999999959999
65,LAMC2_ITGB4,3,0.9999999999959999
66,HBEGF_CD82,3,0.9999999999959999
67,APOE_LRP1,0,0.9999999999959996
68,APP_LRP1,0,0.9999999999959996
69,PSAP_LRP1,0,0.9999999999959996
70,GSTP1_TRAF2,2,0.9999999999959999
71,APP_NOTCH2,4,0.9999999999960001
72,B2M_HLA-F,1,0.9999999999959996
73,ADAM15_ITGAV,0,0.9999999999959996
74,CALM1_KCNN4,3,0.9999999999959999
75,THBS2_NOTCH3,2,0.9999999999959999
76,S100A4_ERBB2,3,0.9999999999959999
77,HSP90AA1_ERBB2,3,0.9999999999959999
78,PLAU_ST14,3,0.9999999999959999
79,SPINT1_ST14,3,0.9999999999959999
80,COL6A1_ITGA1,0,0.9999999999959996
81,COL5A1_ITGA1,0,0.9999999999959996
82,COL5A2_ITGA1,0,0.9999999999959996
83,COL1A2_ITGA1,0,0.9999999999959996
84,COL4A1_ITGA1,0,0.9999999999959996
85,PLAU_ITGA5,2,0.9999999999959999
86,WNT7B_LRP5,3,0.9999999999959999
87,PLAU_ITGB5,2,0.9999999999959999
88,COL4A2_ITGB5,2,0.9999999999959999
89,ADAM9_ITGB5,4,0.9999999999960001
90,COL18A1_ITGB5,2,0.9999999999959999
91,LTBP1_ITGB5,2,0.9999999999959999
92,COL6A1_ITGA2,2,0.9999999999930742
93,HSPG2_ITGA2,3,0.9999999999959999
