,ligand,receptor,perm_pval,fdr,selected
363,TGFB3,ITGB1,0.0020000000000000018,0.003860465116279073,True
367,TGFB3,ACVRL1,0.0,0.0,True
368,TGFB3,ITGB6,1.0,1.0,False
369,TGFB3,ITGB5,0.0,0.0,True
385,TNFSF10,RIPK1,1.0,1.0,False
386,TNFSF10,TNFRSF10B,1.0,1.0,False
392,INHBA,ENG,1.0,1.0,False
393,INHBA,SMAD3,1.0,1.0,False
435,C3,CD46,1.0,1.0,False
440,C3,ITGAX,1.0,1.0,False
442,C3,ADRA2A,0.0,0.0,True
445,C3,ITGB2,0.0,0.0,True
446,C3,CD81,0.0,0.0,True
455,LIF,IL6ST,1.0,1.0,False
478,APOE,LDLR,1.0,1.0,False
479,APOE,LRP5,1.0,1.0,False
482,APOE,LSR,1.0,1.0,False
485,APOE,SCARB1,0.0050000000000000044,0.009576923076923085,True
487,APOE,LRP8,1.0,1.0,False
499,LAMA5,SDC1,1.0,1.0,False
500,LAMA5,ITGA6,1.0,1.0,False
501,LAMA5,BCAM,0.0,0.0,True
502,LAMA5,ITGB1,1.0,1.0,False
503,LAMA5,ITGA2,1.0,1.0,False
505,JAG1,CD46,0.0,0.0,True
506,JAG1,NOTCH4,0.0,0.0,True
507,JAG1,NOTCH1,1.0,1.0,False
508,JAG1,NOTCH2,0.0,0.0,True
509,JAG1,NOTCH3,0.0,0.0,True
539,LAMC1,ITGA6,0.0,0.0,True
540,LAMC1,ITGA1,0.0,0.0,True
541,LAMC1,ITGA7,1.0,1.0,False
542,LAMC1,ITGAV,1.0,1.0,False
543,LAMC1,ITGB1,0.0,0.0,True
544,LAMC1,ITGA2,0.0,0.0,True
547,IL1RN,IL1R1,1.0,1.0,False
559,CCL21,ADRA2A,0.0,0.0,True
570,MMP7,CD44,0.0,0.0,True
571,MMP7,SDC1,1.0,1.0,False
572,MMP7,CD151,1.0,1.0,False
575,THBS1,CD47,0.0,0.0,True
576,THBS1,SDC1,1.0,1.0,False
577,THBS1,ITGB1,0.0,0.0,True
578,THBS1,LRP5,1.0,1.0,False
581,THBS1,SDC4,1.0,1.0,False
582,THBS1,SCARB1,0.0,0.0,True
583,THBS1,ITGA6,1.0,1.0,False
586,ADAM10,GPNMB,0.10699999999999998,0.19882835820895517,False
588,ADAM10,TSPAN15,0.0,0.0,True
589,ADAM10,CD44,0.0,0.0,True
591,ADAM10,CADM1,0.0,0.0,True
592,ADAM10,TSPAN14,0.0,0.0,True
593,ADAM10,NOTCH1,1.0,1.0,False
595,ADAM10,MET,0.0,0.0,True
596,ADAM10,TSPAN17,1.0,1.0,False
599,ADAM10,AXL,0.0,0.0,True
610,VWF,SIRPA,1.0,1.0,False
614,CDH1,LRP5,1.0,1.0,False
615,CDH1,IGF1R,1.0,1.0,False
617,CDH1,ERBB3,0.0,0.0,True
621,CDH1,PTPRM,1.0,1.0,False
622,CDH1,PTPRF,0.0,0.0,True
624,SEMA7A,ITGB1,1.0,1.0,False
625,SEMA7A,ITGA1,0.0,0.0,True
629,TIMP2,CD44,1.0,1.0,False
630,TIMP2,ITGB1,1.0,1.0,False
631,LGALS3BP,ITGB1,1.0,1.0,False
651,LAMC2,ITGA6,0.0,0.0,True
652,LAMC2,CD151,0.0,0.0,True
653,LAMC2,ITGB1,1.0,1.0,False
654,LAMC2,ITGA2,0.0,0.0,True
655,LAMC2,COL17A1,0.0,0.0,True
656,NID1,ITGB1,0.0,0.0,True
659,NID1,PTPRF,0.0,0.0,True
705,ICAM1,ITGAX,0.0,0.0,True
706,ICAM1,MUC1,1.0,1.0,False
710,ICAM1,ITGB2,0.998,1.0,False
728,VCAN,CD44,1.0,1.0,False
730,VCAN,ITGB1,1.0,1.0,False
786,TIMP3,CD44,1.0,1.0,False
787,TIMP3,MET,1.0,1.0,False
790,LUM,ITGB1,0.0,0.0,True
817,CGN,F11R,0.372,0.676116788321168,False
832,CALM2,INSR,0.0,0.0,True
841,CALM2,AQP1,0.0,0.0,True
918,APP,LRP10,0.991,1.0,False
919,APP,PLD1,0.0,0.0,True
920,APP,TSPAN15,0.0,0.0,True
924,APP,TNFRSF21,1.0,1.0,False
925,APP,NCSTN,0.0,0.0,True
965,CALM3,INSR,1.0,1.0,False
974,CALM3,AQP1,1.0,1.0,False
976,TFF2,MUC6,0.0,0.0,True
977,TFF1,MUC5AC,1.0,1.0,False
1004,TNFSF12,TNFRSF25,0.0,0.0,True
1005,TNFSF12,TNFRSF12A,1.0,1.0,False
1012,FGF19,FGFR1,0.406,0.7352290909090909,False
1013,FGF19,FGFR3,0.0,0.0,True
1016,VCAM1,ITGB1,1.0,1.0,False
1017,VCAM1,ITGB2,0.0,0.0,True
1018,VCAM1,EZR,1.0,1.0,False
1019,VCAM1,MSN,0.0,0.0,True
1022,ARPC5,LDLR,0.0,0.0,True
1032,COL6A3,ITGB1,0.0,0.0,True
1033,COL6A3,ITGA2,0.0,0.0,True
1065,LIPH,LPAR4,1.0,1.0,False
1066,LIPH,LPAR2,0.0,0.0,True
1067,MELTF,TFRC,1.0,1.0,False
1091,COL1A2,CD44,1.0,1.0,False
1092,COL1A2,ITGB1,0.992,1.0,False
1093,COL1A2,ITGA11,0.0,0.0,True
1097,COL14A1,CD44,0.0,0.0,True
1109,COL6A2,ITGB1,1.0,1.0,False
1135,IL16,KCNJ15,0.0,0.0,True
1150,CD14,ITGB1,0.0,0.0,True
1153,CD14,ITGB2,0.0,0.0,True
1157,COL3A1,ITGB1,0.20099999999999996,0.3666593406593405,False
1159,COL3A1,DDR1,1.0,1.0,False
1177,FGB,ITGB1,0.0,0.0,True
1179,FGB,ITGB2,0.0,0.0,True
1182,FGA,ITGAX,0.7969999999999999,1.0,False
1183,FGA,ITGB1,0.0,0.0,True
1184,FGA,PLAUR,1.0,1.0,False
1187,FGA,ITGB2,0.0,0.0,True
1196,SEMA4C,PLXNB2,1.0,1.0,False
1204,HAS2,CD44,0.0,0.0,True
1236,EFEMP2,AQP1,1.0,1.0,False
1253,GNAI2,EDNRA,0.0,0.0,True
1254,GNAI2,ADORA1,1.0,1.0,False
1263,GNAI2,PTPRU,0.0,0.0,True
1277,AGTRAP,RACK1,0.0,0.0,True
1278,PKM,CD44,1.0,1.0,False
1298,MMP1,CD44,0.0,0.0,True
1309,FBN1,ITGB1,0.0,0.0,True
1310,PSEN1,NOTCH4,0.0,0.0,True
1311,PSEN1,CD44,0.0,0.0,True
1317,CSF1,SIRPA,0.0,0.0,True
1321,JAG2,NOTCH4,0.0,0.0,True
1322,EFNA5,EPHB6,1.0,1.0,False
1330,EFNA5,EPHA2,0.0,0.0,True
1345,FBLN1,ITGB1,0.0,0.0,True
1358,COL7A1,ITGB1,1.0,1.0,False
1372,HSP90AA1,FGFR3,1.0,1.0,False
1373,FGG,ITGB1,0.0,0.0,True
1375,FGG,ITGB2,0.0,0.0,True
