"","combinedPval","adjustedPval"
"SEMA3F_PLXNA3",1.20015108961979e-13,2.45130634313836e-12
"SEMA3F_PLXNA1",0.000148203505713207,0.00111308705362879
"SEMA3F_NRP2",1.68032254777017e-12,2.94689594497893e-11
"DCN_MET",3.37673533579164e-07,3.09044807047953e-06
"GRN_TNFRSF1A",0.0109888673373245,0.075121173514391
"GRN_SORT1",1.98109528781742e-10,2.69758893269948e-09
"GRN_TNFRSF1B",6.18162092624885e-07,5.56627864192755e-06
"ICAM3_ITGB2",0.000834947989799883,0.00591294440980189
"EFNB1_EPHB6",3.22734837965299e-06,2.72308284931919e-05
"EFNB1_EPHB4",7.35494085635224e-08,7.31062988084642e-07
"EFNB1_ERBB2",1.84306320427652e-07,1.74008235450832e-06
"EFNB1_EPHB3",0.000327533374375966,0.00237990788241279
"SEMA4G_PLXNB2",1.3844023483145e-08,1.46287958221753e-07
"VCL_ITGB5",6.85246665187433e-05,0.000527670951855503
"EFNA2_EPHA2",4.9960036108132e-14,1.05252187948272e-12
"LGALS1_ITGB1",5.04737696486724e-19,1.87857589437519e-17
"TIMP1_CD63",4.58566518091175e-12,7.45659636452487e-11
"MMP2_PECAM1",1.5020895638429e-10,2.06210851575851e-09
"MMP2_FGFR1",2.26187457563753e-06,1.93280466549005e-05
"PLAT_LRP1",4.77815661341681e-47,5.33512548953256e-44
"PLAT_ITGB2",2.56983224256047e-07,2.37794451260879e-06
"TGFB1_ENG",1.77635683940025e-15,4.40759779654988e-14
"TGFB1_SMAD3",1.60944657601192e-09,1.89829515174119e-08
"TGFB1_ACVRL1",2.21384715004547e-08,2.3030176923501e-07
"TGFB1_ITGB6",6.29753138525757e-10,7.90068219286836e-09
"TGFB1_ITGAV",1.69762634183446e-06,1.47319526438062e-05
"TGFB1_ITGB1",5.63130422548411e-23,3.6986592927455e-21
"TGFB1_CXCR4",3.35149758406548e-27,3.20757174824281e-25
"TGFB1_ITGB5",9.6457078360368e-05,0.000739363793681561
"COMP_ITGB1",4.65183447317941e-13,8.65679754728624e-12
"LAMB1_ITGA7",1.77635683940025e-15,4.40759779654988e-14
"LAMB1_ITGAV",7.42998352920576e-06,6.11503511258546e-05
"LAMB1_ITGB1",2.90212298637016e-13,5.61920948852777e-12
"LAMB1_ITGA6",5.59020457702175e-08,5.65724804451038e-07
"LAMB1_ITGA1",4.84501327946418e-13,8.91721210803364e-12
"LAMB1_ITGA2",6.80874800984554e-09,7.47778432962988e-08
"PDAP1_PDGFRB",2.07201935013512e-16,5.59728776250754e-15
"SERPINE1_PLAUR",1.76107967064798e-06,1.52038225265436e-05
"SERPINE1_ITGAV",7.68629604408488e-12,1.23190249515102e-10
"SERPINE1_LRP1",1.11663728596945e-07,1.08417289051525e-06
"SERPINE1_ITGB5",2.98150393263086e-12,5.06961143450407e-11
"COL1A1_ITGA5",5.37458966221038e-13,9.83783956956361e-12
"COL1A1_CD93",1.17683640610267e-14,2.64566797267738e-13
"COL1A1_ITGA1",8.70665304297802e-08,8.52767509950699e-07
"COL1A1_CD44",5.08252614439542e-08,5.17474837313564e-07
"COL1A1_ITGAV",2.11299115909246e-26,1.91294053178011e-24
"COL1A1_ITGB1",3.03235142405796e-21,1.45106545873645e-19
"COL1A1_ITGA11",3.0696875610181e-32,6.85501530263888e-30
"COL1A1_ITGA2",9.41691169487058e-13,1.68683422757198e-11
"COL1A1_DDR1",6.91597357913277e-17,1.98003550120083e-15
"LAMA4_ITGA6",1.31541203152175e-07,1.25533664509572e-06
"LAMA4_ITGAV",6.40949029406812e-08,6.40891040789171e-07
"LAMA4_ITGB1",4.62664695619092e-26,3.87446625928895e-24
"HBEGF_CD44",3.75837583277416e-10,4.89860697799075e-09
"HBEGF_CD9",9.85858394919603e-10,1.20084611794424e-08
"HBEGF_ERBB2",5.84943387060832e-07,5.29562988983829e-06
"LTF_LRP1",2.81627487996872e-09,3.20873036665276e-08
"LTF_TFRC",0.00422118122513604,0.0291539746981384
"CD160_TNFRSF14",0.932863683529656,1
"FGF23_FGFR4",7.56357612973291e-27,7.03769100836398e-25
"FGF23_FGFR1",1.57092631125622e-08,1.64956959840682e-07
"FGF23_FGFR3",1.2638754487296e-17,3.84872699262185e-16
"TGFB3_ENG",1.00131583340415e-38,4.79157794050883e-36
"TGFB3_ITGB1",8.05960543509016e-52,2.69972354641447e-48
"TGFB3_ACVRL1",3.2852561516936e-28,3.66820413239043e-26
"TGFB3_ITGB6",2.66453525910038e-14,5.79570489481396e-13
"TGFB3_ITGB5",6.33263738874701e-21,2.90509322155072e-19
"TNFSF10_RIPK1",3.46984363286396e-06,2.89848491607069e-05
"TNFSF10_TNFRSF10B",1.00181473339234e-07,9.75516198287103e-07
"INHBA_ENG",1.80531531780624e-31,3.55721126537032e-29
"INHBA_SMAD3",3.55501926889712e-05,0.000282185712765857
"C3_CD46",9.15298947745669e-11,1.31024532555794e-09
"C3_ITGAX",4.66293670342566e-15,1.11567319225169e-13
"C3_ADRA2A",2.5014956772651e-10,3.36516158782104e-09
"C3_ITGB2",5.26134691369862e-12,8.51396981977576e-11
"C3_CD81",3.19959620966684e-19,1.2179179038185e-17
"LIF_IL6ST",7.60621080063225e-21,3.39713344742734e-19
"APOE_LDLR",9.8093049238912e-09,1.06337211794226e-07
"APOE_LRP5",5.44009282066327e-15,1.29238738582347e-13
"APOE_LSR",3.28326424204692e-25,2.68242441550544e-23
"APOE_SCARB1",0.000118366766056255,0.000897042513864464
"APOE_LRP8",3.24217525882187e-06,2.7287197143749e-05
"LAMA5_SDC1",2.53795244204605e-28,2.93150740213846e-26
"LAMA5_ITGA6",5.80135117722591e-09,6.41345483257464e-08
"LAMA5_BCAM",2.96551672107626e-11,4.47458658231754e-10
"LAMA5_ITGB1",1.73412749426708e-21,8.80121442153976e-20
"LAMA5_ITGA2",1.18793863634892e-14,2.65282292379846e-13
"JAG1_CD46",1.50819020250567e-16,4.1409672696398e-15
"JAG1_NOTCH4",1.5821885170908e-06,1.37658493378205e-05
"JAG1_NOTCH1",6.39560931987582e-05,0.000494765653810726
"JAG1_NOTCH2",3.10745709786175e-05,0.000249020082655846
"JAG1_NOTCH3",0.000652985089078184,0.00464395358513125
"LAMC1_ITGA6",6.07678840580661e-09,6.69585505842962e-08
"LAMC1_ITGA1",3.51879525517518e-10,4.60425687956891e-09
"LAMC1_ITGA7",4.01541967454122e-08,4.12590150223628e-07
"LAMC1_ITGAV",4.08856060118978e-10,5.26747647448627e-09
"LAMC1_ITGB1",3.33066907387547e-15,8.02642584353732e-14
"LAMC1_ITGA2",7.99360577730113e-15,1.84663149062348e-13
"IL1RN_IL1R1",1.36493094604617e-09,1.63289463554127e-08
"CCL21_ADRA2A",8.75883999662541e-07,7.76176172432896e-06
"MMP7_CD44",0.000295818438842743,0.00216354172940819
"MMP7_SDC1",4.33231228669229e-12,7.11369269739303e-11
"MMP7_CD151",0.000252974585931875,0.0018706141062594
"THBS1_CD47",4.8614354632881e-05,0.000381695520249692
"THBS1_SDC1",4.50528503392889e-13,8.43091585504162e-12
"THBS1_ITGB1",8.0102591226705e-13,1.45037514992719e-11
"THBS1_LRP5",1.40532563364104e-09,1.6752366334324e-08
"THBS1_SDC4",0.00135837772136205,0.00949927695825914
"THBS1_SCARB1",4.86563385493355e-05,0.000381695520249692
"THBS1_ITGA6",1.51495965206028e-06,1.32497537160617e-05
"ADAM10_GPNMB",3.5464197761792e-06,2.9477497231983e-05
"ADAM10_TSPAN15",4.80021732585101e-07,4.36936770896385e-06
"ADAM10_CD44",2.40082185243295e-08,2.48979119293703e-07
"ADAM10_CADM1",5.20001207093834e-07,4.72045105510669e-06
"ADAM10_TSPAN14",2.318686531666e-07,2.15747142293876e-06
"ADAM10_NOTCH1",4.2442938053e-11,6.26303870796303e-10
"ADAM10_MET",2.96856250692201e-09,3.35938671358007e-08
"ADAM10_TSPAN17",2.59762322762924e-09,2.99012045106556e-08
"ADAM10_AXL",2.00189806953688e-08,2.08901924865895e-07
"VWF_SIRPA",6.4563792390171e-07,5.79810016640554e-06
"CDH1_LRP5",2.77592419717365e-07,2.56157154828424e-06
"CDH1_IGF1R",2.31150654173007e-11,3.51947560565433e-10
"CDH1_ERBB3",2.7630377985588e-09,3.15881883637638e-08
"CDH1_PTPRM",2.42548372832443e-26,2.13806193757495e-24
"CDH1_PTPRF",7.99360577730113e-15,1.84663149062348e-13
"SEMA7A_ITGB1",3.87960774617113e-11,5.77578226656591e-10
"SEMA7A_ITGA1",1.51124460279206e-07,1.43812823414144e-06
"TIMP2_CD44",4.80619766207724e-09,5.34860647268977e-08
"TIMP2_ITGB1",6.98219260186761e-13,1.27109940327371e-11
"LGALS3BP_ITGB1",2.32773228132928e-22,1.36792941093383e-20
"LAMC2_ITGA6",1.19400267450942e-10,1.67345065925437e-09
"LAMC2_CD151",1.49213974509621e-13,2.97512851267117e-12
"LAMC2_ITGB1",2.15225834960558e-22,1.28739520616414e-20
"LAMC2_ITGA2",2.72393219091782e-12,4.65527921290734e-11
"LAMC2_COL17A1",1.14358516767332e-06,1.00542354553646e-05
"NID1_ITGB1",5.34651340453313e-22,2.93593433747013e-20
"NID1_PTPRF",7.6603348420079e-07,6.84261333070467e-06
"ICAM1_ITGAX",0.000272211513903886,0.00200401333719221
"ICAM1_MUC1",2.07513108002352e-18,7.0929185484874e-17
"ICAM1_ITGB2",2.95989011078746e-09,3.35938671358007e-08
"VCAN_CD44",1.53558197935055e-07,1.45714850406838e-06
"VCAN_ITGB1",9.76996261670138e-15,2.24153518077965e-13
"TIMP3_CD44",8.05093921751876e-07,7.17239528241458e-06
"TIMP3_MET",1.81163230128512e-06,1.56000491804691e-05
"LUM_ITGB1",5.94281724065623e-21,2.76481063597053e-19
"CGN_F11R",4.89378431112186e-08,4.9977726252802e-07
"CALM2_INSR",2.61415022862099e-20,1.05501336829414e-18
"CALM2_AQP1",4.84945889226771e-23,3.24884349842312e-21
"APP_LRP10",0.00013609902903422,0.00102678040028375
"APP_PLD1",1.84413471271405e-07,1.74008235450832e-06
"APP_TSPAN15",0.000170121721125627,0.00126916749325937
"APP_TNFRSF21",3.28975957586408e-10,4.32145000126402e-09
"APP_NCSTN",2.55351295663786e-15,6.28933417200706e-14
"CALM3_INSR",8.20899028530775e-07,7.29380091143378e-06
"CALM3_AQP1",9.5812247025151e-14,1.96896925340124e-12
"TFF2_MUC6",1.96493127328098e-29,3.13424963086178e-27
"TFF1_MUC5AC",7.48290318597356e-14,1.55686072790401e-12
"TNFSF12_TNFRSF25",1.12411534525236e-08,1.20397198860584e-07
"TNFSF12_TNFRSF12A",1.94289029309402e-14,4.28164054043959e-13
"FGF19_FGFR1",3.47761819341486e-11,5.20043166738318e-10
"FGF19_FGFR3",1.7696955012525e-13,3.46663366169433e-12
"VCAM1_ITGB1",2.88407731512753e-26,2.47712432970712e-24
"VCAM1_ITGB2",5.12217712689278e-10,6.52385586364059e-09
"VCAM1_EZR",1.29745547639004e-10,1.79590190369942e-09
"VCAM1_MSN",1.10593978419615e-10,1.55653911075067e-09
"ARPC5_LDLR",0.000890713513615582,0.0062813059135572
"COL6A3_ITGB1",1.85899594625629e-20,7.6877444279728e-19
"COL6A3_ITGA2",2.66453525910038e-15,6.51487995475438e-14
"LIPH_LPAR4",1.89262006067281e-09,2.20895595087017e-08
"LIPH_LPAR2",1.01668462537674e-08,1.09857592045744e-07
"MELTF_TFRC",1.47869790900756e-06,1.29664655089162e-05
"COL1A2_CD44",2.32377366707892e-05,0.00018801781363236
"COL1A2_ITGB1",4.81135298729994e-37,2.01457178247398e-34
"COL1A2_ITGA11",2.80267759835412e-21,1.36059717473605e-19
"COL14A1_CD44",3.48499007429837e-13,6.63276164863267e-12
"COL6A2_ITGB1",3.65997255347886e-25,2.91899970769742e-23
"IL16_KCNJ15",1.91013713356292e-17,5.71283970001944e-16
"CD14_ITGB1",5.44016580259955e-19,1.9807507182041e-17
"CD14_ITGB2",0.000938211088675311,0.00660235880167991
"COL3A1_ITGB1",9.24494409294347e-31,1.6298821426261e-28
"COL3A1_DDR1",5.70913921693617e-08,5.76020663366518e-07
"FGB_ITGB1",2.31261454430864e-10,3.13625822075267e-09
"FGB_ITGB2",0.000450586810677001,0.00325989038829844
"FGA_ITGAX",1.27291241991401e-08,1.35792063897572e-07
"FGA_ITGB1",5.64980284778471e-10,7.14155742304112e-09
"FGA_PLAUR",1.83900390471337e-08,1.9250330333662e-07
"FGA_ITGB2",4.09970329280362e-05,0.000324651618756286
"SEMA4C_PLXNB2",5.10796807151603e-06,4.21432140207155e-05
"HAS2_CD44",1.91298577423282e-07,1.79493628764326e-06
"EFEMP2_AQP1",1.78478775984875e-22,1.08699964610209e-20
"GNAI2_EDNRA",1.50593226777573e-09,1.78880023828398e-08
