,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,is_svi,label,pattern_membership_0,pattern_membership_1,pattern_membership_2,pattern_membership_3,pattern_membership_4,pattern_correlation_0,pattern_correlation_1,pattern_correlation_2,pattern_correlation_3,pattern_correlation_4
TGFB1_ITGB1,280,10.995603,2.4845402,63.254593175853024,8378.649,9.033562,280,1,1,0.0,1.0,0.0,0.0,0.0,0.5058320750514348,0.7424358273045966,-0.24433722567411606,-0.38832689013523786,-0.04330966859993067
TGFB1_CXCR4,162,5.651967,1.8949126,78.74015748031495,4306.799,8.368182,162,1,0,1.0,0.0,0.0,0.0,0.0,0.41082862463442316,0.21968743449635414,-0.19868025699221875,-0.2524656655464018,0.1305242463867214
TGFB1_ITGB5,439,25.538801,3.2786078,42.38845144356955,19460.566,9.876197,439,1,4,0.0,0.0,0.0,0.0,1.0,0.010763225692501372,-0.10232694536070559,-0.10738125380732556,-0.0017060831527285138,0.267903101947629
COMP_ITGB1,279,11.336213,2.5125391,63.38582677165354,8638.194,9.064065,279,1,1,0.0,1.0,0.0,0.0,0.0,0.4404960844159465,0.6765402157100534,-0.27008562038092115,-0.37495753818703664,0.054853250268495794
LAMB1_ITGA7,180,6.9654512,2.0751135,76.37795275590551,5307.674,8.577097,180,1,4,0.0,0.0,0.0,0.0,1.0,0.07810254992767829,0.07484962175208064,-0.023293454590254666,0.03914598470035016,-0.14629628068607883
LAMB1_ITGAV,339,11.987587,2.563994,55.51181102362205,9134.541,9.119927,339,1,4,0.0,0.0,0.0,0.0,1.0,0.5564115572116572,0.2083453023343865,-0.3809965784635252,-0.23155139563993546,0.16918394921609908
LAMB1_ITGB1,271,9.703689,2.3705883,64.43569553805774,7394.2104,8.908587,271,1,0,1.0,1.0729067109828945e-179,0.0,0.0,0.0,0.5022152636196258,0.6860464782000217,-0.28939163463576917,-0.3086965530493204,0.1156047109773391
LAMB1_ITGA6,199,6.2439175,1.9801621,73.88451443569554,4757.865,8.467765,199,1,4,0.0,0.0,0.0,0.0,1.0,0.16482944114873188,0.10598113166662017,-0.2139109645919058,-0.10912670684807545,0.5847814821978405
LAMB1_ITGA1,296,12.264456,2.585088,61.15485564304461,9345.516,9.142759,296,0,-1,0.0,0.0,0.0,0.0,0.0,0.01843994034718756,0.028299380550090337,-0.19108925872508278,-0.044772982768166235,0.1609116280997795
LAMB1_ITGA2,310,12.328923,2.5899363,59.31758530183727,9394.64,9.148001,310,1,4,0.0,0.0,0.0,0.0,1.0,0.12793020462587673,0.12640823806344106,-0.15229289974521643,-0.02667718234395811,0.5172835567749019
PDAP1_PDGFRB,429,23.791754,3.2105112,43.7007874015748,18129.316,9.805341,429,1,4,0.0,0.0,0.0,0.0,1.0,0.10988105746870334,-0.007975323699535328,-0.11024783317813824,0.0058124879471781535,0.023947416087489924
SERPINE1_PLAUR,604,37.723984,3.656459,20.734908136482943,28745.676,10.266277,604,0,-1,0.0,0.0,0.0,0.0,0.0,-0.25829779414658344,-0.20742439270228083,0.15766910190036768,0.10342912750395326,-0.03501711633675934
SERPINE1_ITGAV,342,14.5304,2.7427995,55.118110236220474,11072.165,9.31228,342,1,0,1.0,0.0,0.0,0.0,0.0,0.6054085046147515,0.17936917235334474,-0.3594636115200209,-0.2197060280287434,0.004495733853277711
SERPINE1_LRP1,518,28.13044,3.3717837,32.020997375328086,21435.395,9.972845,518,0,-1,0.0,0.0,0.0,0.0,0.0,0.02104060586388984,0.09866295176193697,-0.18665618062343345,-0.2015867645276548,0.04945125214264449
SERPINE1_ITGB5,414,25.02915,3.259217,45.669291338582674,19072.213,9.85604,414,1,4,0.0,0.0,0.0,0.0,1.0,0.04278606760509269,-0.07682755126927392,-0.10291857417687128,-0.00956452258626544,0.1866783128747003
COL1A1_ITGA5,466,27.270159,3.341807,38.84514435695539,20779.861,9.941788,466,1,4,0.0,0.0,0.0,0.0,1.0,0.0697542719065214,-0.0051533401535377105,0.0663786420939568,-0.004202006510296106,0.33880203375382467
COL1A1_CD93,360,16.534218,2.8641543,52.75590551181102,12599.074,9.441458,360,1,4,0.0,0.0,0.0,0.0,1.0,0.24485391511295745,0.18883061315994817,-0.18971860604669422,-0.332851620271022,0.15865860773464335
COL1A1_ITGA1,261,11.433419,2.520388,65.74803149606299,8712.266,9.072602,261,1,4,0.0,0.0,0.0,0.0,1.0,0.0898429523555809,0.042716009762309014,-0.1688713651389617,-0.17329605225144337,0.24425339012889116
COL1A1_CD44,320,13.199119,2.65318,58.00524934383202,10057.729,9.216196,320,1,4,0.0,0.0,0.0,0.0,1.0,0.18941335231209724,0.28328896311753304,-0.17800044229986128,-0.18469331689033677,0.21239217117906703
COL1A1_ITGAV,302,13.1855135,2.6522212,60.367454068241464,10047.361,9.215165,302,1,4,0.0,0.0,0.0,0.0,1.0,0.5137186408877025,0.22724440819425354,-0.4138528238619949,-0.3905068621238885,0.3486589247428181
COL1A1_ITGB1,253,10.393518,2.4330447,66.7979002624672,7919.8613,8.977255,253,1,0,1.0,0.0,0.0,0.0,0.0,0.5029591819999257,0.6189369842925324,-0.33299314879468084,-0.40715916704015703,0.22929621412894746
COL1A1_ITGA11,317,18.746834,2.9829931,58.3989501312336,14285.087,9.567041,317,1,4,0.0,0.0,0.0,0.0,1.0,0.016971857526186313,-0.165804414363484,0.008676547343812905,0.0957265814006384,0.4013574423361068
COL1A1_ITGA2,303,12.261442,2.5848608,60.23622047244095,9343.219,9.142513,303,1,4,0.0,0.0,0.0,0.0,1.0,0.1937301995267559,0.15014085664388224,-0.17860780694693482,-0.16663879006615334,0.5342083761132566
COL1A1_DDR1,388,23.056366,3.1803997,49.08136482939632,17568.951,9.773946,388,1,4,0.0,0.0,0.0,0.0,1.0,0.14526493131978802,0.10417926519104363,-0.23346141272429696,-0.18297652691407507,0.23163405928829833
LAMA4_ITGA6,197,5.8348355,1.9220324,74.14698162729658,4446.1445,8.400018,197,1,4,0.0,0.0,0.0,0.0,1.0,0.13060972931755355,0.08336322335489492,-0.18075024113162882,-0.13622843883784713,0.5159693611299029
LAMA4_ITGAV,345,14.182935,2.7201722,54.7244094488189,10807.396,9.288078,345,1,0,1.0,0.0,0.0,0.0,0.0,0.5775548506799971,0.13209230437688516,-0.3019817862333933,-0.1704354647316403,-0.037721328363117916
LAMA4_ITGB1,268,10.077584,2.4049237,64.82939632545933,7679.119,8.94639,268,1,1,0.0,1.0,0.0,0.0,0.0,0.49218739201864903,0.7287860704489469,-0.21996375977811508,-0.37463610314946094,-0.03977551423539883
HBEGF_CD44,341,15.408376,2.797792,55.249343832021005,11741.183,9.370943,341,0,-1,0.0,0.0,0.0,0.0,0.0,-0.044750906379967294,0.09161877663965624,0.06567904951697735,0.11270207531942564,-0.10150730217120936
HBEGF_CD9,121,4.5420523,1.7123649,84.12073490813648,3461.044,8.149614,121,1,4,0.0,0.0,0.0,0.0,1.0,-0.051291203001510015,-0.17432800808411728,0.0639153133183833,0.06341475825565238,0.19664201741371518
HBEGF_ERBB2,552,38.141533,3.667184,27.55905511811023,29063.848,10.277285,552,0,-1,0.0,0.0,0.0,0.0,0.0,-0.26347304456699727,-0.17507473013622227,0.2460505254067394,0.20629672526546017,-0.21096572978037972
LTF_LRP1,474,20.422628,3.0644479,37.79527559055118,15562.043,9.652655,474,1,4,0.0,0.0,0.0,0.0,1.0,-0.2001013455321672,-0.07220020021473816,-0.10785602596452157,-0.003595886939666617,0.030284221221977894
LTF_TFRC,256,8.222208,2.2216146,66.40419947506561,6265.3223,8.742945,256,0,-1,0.0,0.0,0.0,0.0,0.0,0.1812371087619551,0.11376313409915394,-0.11853413988801051,0.0443603209852725,-0.018085832002542317
CD160_TNFRSF14,511,27.236885,3.340629,32.939632545931765,20754.506,9.940567,511,0,-1,0.0,0.0,0.0,0.0,0.0,-0.14019280117170566,-0.0729377086149381,0.3782539451962761,-0.01914609665790554,-0.22021282827866184
FGF23_FGFR4,387,18.984219,2.994943,49.21259842519685,14465.975,9.579624,387,1,4,0.0,0.0,0.0,0.0,1.0,-0.28151802475580073,-0.20642855271821722,0.12299594041325813,0.06694532501987459,-0.12621445856597668
FGF23_FGFR1,406,21.64794,3.1200688,46.71916010498688,16495.73,9.710917,406,1,1,0.0,1.0,0.0,0.0,0.0,-0.05763372515173093,-0.05028853581553791,-0.032221503594493044,0.16310690100491793,-0.36828688732918313
FGF23_FGFR3,516,29.9216,3.431455,32.28346456692913,22800.26,10.034571,516,0,-1,0.0,0.0,0.0,0.0,0.0,-0.24235036678060776,-0.20298066123401542,-0.030590994715082052,0.01722552380708256,-0.13802916374805532
TGFB3_ENG,442,21.654865,3.1203747,41.99475065616798,16501.008,9.711237,442,1,1,0.0,1.0,0.0,0.0,0.0,0.44151155716155205,0.3065352333894255,-0.23218983287987519,-0.2583005112710115,-0.07573564448660015
TGFB3_ITGB1,225,8.887129,2.2912338,70.4724409448819,6771.992,8.820698,225,1,1,0.0,1.0,0.0,0.0,0.0,0.5431241239607422,0.7372941839311047,-0.2705201851916731,-0.444363635213631,-0.08017836909035055
TGFB3_ACVRL1,350,15.801425,2.8214638,54.06824146981628,12040.686,9.39613,350,1,0,1.0,0.0,0.0,0.0,0.0,0.29795878384070573,0.23769223318389185,-0.18596837361520213,-0.23047036281555214,-0.1454013556360989
TGFB3_ITGB6,258,8.545536,2.2560737,66.14173228346456,6511.698,8.781509,258,1,4,0.0,0.0,0.0,0.0,1.0,0.09100284972912395,0.26673136172814516,-0.11095769630540335,-0.16655121146745364,0.05124561932375104
TGFB3_ITGB5,341,15.599476,2.8093712,55.249343832021005,11886.801,9.383268,341,1,4,0.0,0.0,0.0,0.0,1.0,0.2170671411232397,0.2419895533458939,-0.1909795408107332,-0.27795817363755837,0.10027245054607646
TNFSF10_RIPK1,166,6.4662905,2.0103984,78.21522309711287,4927.3135,8.502752,166,0,-1,0.0,0.0,0.0,0.0,0.0,-0.11371929086476333,-0.012522544438222056,-0.03643777674393509,-0.0033290582891355404,-0.08312274524255252
TNFSF10_TNFRSF10B,252,12.558903,2.6070433,66.9291338582677,9569.884,9.166481,252,0,-1,0.0,0.0,0.0,0.0,0.0,-0.044613857570873335,-0.12867010672768414,0.01224889253333082,0.1984298437240606,-0.06613415099795515
INHBA_ENG,479,25.945024,3.2937987,37.13910761154856,19770.11,9.891977,479,1,0,1.0,0.0,0.0,0.0,0.0,0.4092422793548451,0.15292995842550886,-0.12342407903880354,-0.11487852378634571,-0.1892926509788556
INHBA_SMAD3,288,11.788428,2.5485408,62.20472440944882,8982.782,9.103176,288,1,4,0.0,0.0,0.0,0.0,1.0,-0.036588340843984296,0.06077203590418935,0.04283565072225061,-0.10143315165431006,0.016952843882161547
