,C,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
MMP7_SDC1,0.15649571692607714,0.0,0.0004248094182808732,4.58048935987208e-149,0.000999000999000999,0.0010705507424042615,0.0,7.542539145922691e-147,0.000999000999000999
LAMB2_ITGB4,0.15712725389053822,0.0,0.0004248094182808732,1.212389670534524e-138,0.000999000999000999,0.0011376867014409975,0.0,3.152213143389762e-137,0.000999000999000999
LAMA5_ITGB4,0.15729624208019882,0.0,0.0004248094182808732,3.8112840259188253e-134,0.000999000999000999,0.0011731436626209759,0.0,5.537571496482058e-133,0.000999000999000999
CALM1_INSR,0.15980006859932458,0.0,0.0004248094182808732,1.91492026421528e-148,0.000999000999000999,0.0010563840756718454,0.0,1.8919412210446965e-146,0.000999000999000999
CALM1_AQP1,0.16203028495170455,0.0,0.0004248094182808732,8.766610343048566e-150,0.000999000999000999,0.0010285994318725482,0.0,4.3307055094659914e-147,0.000999000999000999
AGRN_LRP1,0.16465344914083638,0.0,0.0004248094182808732,3.876621139670303e-149,0.000999000999000999,0.001021470669648053,0.0,7.542539145922691e-147,0.000999000999000999
CALM1_SCTR,0.1719475758969059,0.0,0.0004248094182808732,8.656799489420742e-144,0.000999000999000999,0.0010554042291704047,0.0,4.751621053082052e-142,0.000999000999000999
LAMA5_SDC1,0.17726836339317284,0.0,0.0004248094182808732,3.74041441425718e-127,0.000999000999000999,0.0011851087129562772,0.0,2.639663886632924e-126,0.000999000999000999
ICAM1_MUC1,0.19262285711003185,0.0,0.0004248094182808732,2.4136162750341783e-147,0.000999000999000999,0.0009849693385247866,0.0,1.9872107331114733e-145,0.000999000999000999
MMP7_CD151,0.1963716124311067,0.0,0.0004248094182808732,5.836621038732714e-141,0.000999000999000999,0.0010170159097014067,0.0,1.9221938620893072e-139,0.000999000999000999
AGRN_ITGB1,0.20241036253129907,0.0,0.0004248094182808732,1.2390564751464594e-135,0.000999000999000999,0.0010019132918635202,0.0,2.1860496382941104e-134,0.000999000999000999
APP_CD74,0.20718818982074452,0.0,0.0004248094182808732,6.525211052915679e-141,0.000999000999000999,0.0009923891863212269,0.0,2.0146589125877158e-139,0.000999000999000999
LAMB2_ITGA3,0.2074822689320328,0.0,0.0004248094182808732,9.32883836590503e-149,0.000999000999000999,0.0009337134426162616,0.0,1.1521115381892712e-146,0.000999000999000999
CALM1_PTPRA,0.20764416048844883,0.0,0.0004248094182808732,1.2548464830529893e-145,0.000999000999000999,0.000934435330531874,0.0,7.748677032852209e-144,0.000999000999000999
HSPA8_LDLR,0.20988765493208014,0.0,0.0004248094182808732,2.383541173910082e-133,0.000999000999000999,0.001040038781511946,0.0,3.0986035260831063e-132,0.000999000999000999
CEL_CXCR4,0.21083944850588066,0.0,0.0004248094182808732,7.161448321186113e-138,0.000999000999000999,0.000957740829760847,0.0,1.6080706684845183e-136,0.000999000999000999
SCGB3A1_NOTCH3,0.21672650892814738,0.0,0.0004248094182808732,5.458026648608782e-143,0.000999000999000999,0.0009377546643226371,0.0,2.2468876370106152e-141,0.000999000999000999
TGFB1_CXCR4,0.21683078078802648,0.0,0.0004248094182808732,4.318213450353808e-143,0.000999000999000999,0.0009302949133563874,0.0,1.939270404067983e-141,0.000999000999000999
CALM1_KCNQ1,0.2168748769822734,0.0,0.0004248094182808732,2.006082717226011e-146,0.000999000999000999,0.000888421297978023,0.0,1.4157212318709278e-144,0.000999000999000999
CD99_CD81,0.21881821553829076,0.0,0.0004248094182808732,9.367272866055393e-133,0.000999000999000999,0.0010097277627487404,0.0,1.0283183990736365e-131,0.000999000999000999
ZG16B_CXCR4,0.21888379548550468,0.0,0.0004248094182808732,5.669320452464564e-138,0.000999000999000999,0.0009689343618616087,0.0,1.3336401445321403e-136,0.000999000999000999
