,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,is_svi,label,pattern_membership_0,pattern_membership_1,pattern_membership_2,pattern_membership_3,pattern_membership_4,pattern_correlation_0,pattern_correlation_1,pattern_correlation_2,pattern_correlation_3,pattern_correlation_4
SEMA3F_PLXNA3,451,22.956614,3.1762445,40.813648293963254,17492.94,9.769609,451,1,3,0.0,0.0,0.0,1.0,0.0,-0.014803445529780962,-0.07703064689076762,-0.003836201883372473,0.12504066237627837,-0.141885513433834
SEMA3F_PLXNA1,292,10.777906,2.4662254,61.679790026246714,8212.765,9.013567,292,1,4,0.0,0.0,0.0,0.0,1.0,-0.03679003300274375,-0.04724906318938887,-0.07951745214144257,-0.01824766373024281,0.11100143326901264
SEMA3F_NRP2,193,7.3061147,2.116992,74.67191601049869,5567.2593,8.624838,193,1,4,0.0,0.0,0.0,0.0,1.0,-0.024332022502317082,0.1942541552825603,0.14805216388295325,0.17098311225913645,0.07404959926780469
DCN_MET,118,4.113267,1.6318386,84.51443569553805,3134.3096,8.050484,118,0,-1,0.0,0.0,0.0,0.0,0.0,0.01140695428366033,0.004727551529059615,0.16376725060324937,0.0691939026683298,0.042756425538339325
GRN_TNFRSF1A,639,43.027794,3.784821,16.14173228346457,32787.18,10.397823,639,1,4,0.0,0.0,0.0,0.0,1.0,-0.11521745303221302,0.06471055918316784,-0.19857510400016798,-0.322711297980046,0.35103594997461013
GRN_SORT1,207,6.0947304,1.9593523,72.83464566929135,4644.1846,8.443586,207,1,4,0.0,0.0,0.0,0.0,1.0,-0.07382076255375832,0.34908042675363027,0.1606472438677544,-0.08189937545321892,0.2753824534003078
GRN_TNFRSF1B,242,9.409704,2.3427384,68.24146981627297,7170.195,8.877828,242,1,4,0.0,0.0,0.0,0.0,1.0,-0.06909203184464156,0.12340662391173945,-0.019991578761244085,-0.06149377801019431,0.18457945836349252
ICAM3_ITGB2,218,10.907218,2.4771447,71.39107611548556,8311.3,9.025492,218,1,4,0.0,0.0,0.0,0.0,1.0,-0.04191338913263471,0.09092018381868026,-0.06849758146167496,-0.20669391943288687,0.2635301485806269
EFNB1_EPHB6,315,13.832769,2.6968389,58.66141732283465,10540.57,9.263082,315,0,-1,0.0,0.0,0.0,0.0,0.0,0.06861107773155571,-0.00747449836619644,-0.006841747221327196,-0.005962885232444128,0.011995000369064162
EFNB1_EPHB4,370,16.80252,2.8793402,51.44356955380578,12803.5205,9.457554,370,0,-1,0.0,0.0,0.0,0.0,0.0,-0.07846678133593317,-0.04262203501505888,0.04529993729160469,0.01958490941259634,0.16669401976960044
EFNB1_ERBB2,578,31.582947,3.483789,24.146981627296594,24066.205,10.088606,578,0,-1,0.0,0.0,0.0,0.0,0.0,0.058701263435176086,-0.03715955004268219,0.028728247943689156,0.06277935296139828,-0.09309940241413092
EFNB1_EPHB3,206,6.534727,2.0195227,72.96587926509186,4979.462,8.513278,206,0,-1,0.0,0.0,0.0,0.0,0.0,-0.0902219865485826,0.2524568927090573,0.17159018571736287,-0.028319401025871986,0.20337587847029098
SEMA4G_PLXNB2,684,54.52787,4.0168853,10.236220472440948,41550.24,10.634683,684,0,-1,0.0,0.0,0.0,0.0,0.0,-0.06894038897212748,-0.20255385231105094,-0.19240171723413332,-0.14509232234645353,0.031088064386543813
VCL_ITGB5,410,22.496248,3.1568408,46.194225721784775,17142.14,9.749353,410,1,4,0.0,0.0,0.0,0.0,1.0,-0.17178960428231974,-0.1930282323468621,-0.0675633689046522,-0.025872159794969284,0.10536631858157759
EFNA2_EPHA2,333,20.993132,3.0907302,56.2992125984252,15996.767,9.680204,333,1,0,1.0,0.0,0.0,0.0,0.0,0.41506468918509704,0.07580807546723323,0.23970192081308292,0.24301820466956342,-0.21678304100702722
