"","combinedPval","adjustedPval"
"SEMA3F_PLXNA3",0.000115695019357487,0.000837026456701664
"SEMA3F_PLXNA1",0.000104801007474342,0.000759851972842166
"SEMA3F_NRP2",4.44089209850063e-16,9.91709504223722e-15
"DCN_MET",4.10247391613439e-11,5.43163803233806e-10
"GRN_TNFRSF1A",1.58238714953891e-28,1.03931712814895e-26
"GRN_SORT1",1.79756981202012e-19,5.73458481361014e-18
"GRN_TNFRSF1B",2.24503427765601e-21,8.35576043835581e-20
"ICAM3_ITGB2",3.79585252119341e-12,5.7017737583087e-11
"EFNB1_EPHB6",0.160953415651877,1
"EFNB1_EPHB4",3.71838449142459e-07,3.33926569991432e-06
"EFNB1_ERBB2",6.01172445158227e-10,7.14094143647733e-09
"EFNB1_EPHB3",1.64883368514168e-07,1.53419253024945e-06
"SEMA4G_PLXNB2",0.00770058712603339,0.0526421080444386
"VCL_ITGB5",2.42985489706804e-05,0.000186253488632526
"EFNA2_EPHA2",4.29023483405899e-12,6.38710506195288e-11
"LGALS1_ITGB1",1.16395781901701e-12,1.82191865226896e-11
"TIMP1_CD63",8.26655869756721e-07,6.9749285060623e-06
"MMP2_PECAM1",9.7848341437693e-20,3.24517116314134e-18
"MMP2_FGFR1",4.39137615160234e-12,6.50875183574089e-11
"PLAT_LRP1",1.74136316234867e-29,1.32569063937932e-27
"PLAT_ITGB2",1.36978460505421e-05,0.0001077080578902
"TGFB1_ENG",8.27580981199676e-31,7.10806528167557e-29
"TGFB1_SMAD3",3.33919390382853e-06,2.69525000460573e-05
"TGFB1_ACVRL1",1.21397556477332e-05,9.59068444463155e-05
"TGFB1_ITGB6",3.39969307161514e-06,2.73748591221742e-05
"TGFB1_ITGAV",1.0398322955414e-19,3.41482650270991e-18
"TGFB1_ITGB1",7.41466609187679e-28,4.28222140269867e-26
"TGFB1_CXCR4",1.96824694808131e-37,2.63721229218417e-35
"TGFB1_ITGB5",8.19915014983407e-30,6.53920665825319e-28
"COMP_ITGB1",6.78089303679687e-30,5.53998450928666e-28
"LAMB1_ITGA7",0.00055303119727701,0.00384333380822005
"LAMB1_ITGAV",1.82025902129013e-08,1.86462263871318e-07
"LAMB1_ITGB1",1.02589335371217e-06,8.59107950579182e-06
"LAMB1_ITGA6",9.79523795407999e-10,1.13533143110838e-08
"LAMB1_ITGA1",4.84609286699467e-07,4.24946134231462e-06
"LAMB1_ITGA2",8.89049705084946e-17,2.12717646759787e-15
"PDAP1_PDGFRB",2.67827511629225e-32,2.71860905917129e-30
"SERPINE1_PLAUR",1.6266635816109e-09,1.84082093969254e-08
"SERPINE1_ITGAV",9.94200599624406e-09,1.05388312712431e-07
"SERPINE1_LRP1",0.00029802420578684,0.00208847439915769
"SERPINE1_ITGB5",1.55878643326446e-09,1.78206897851779e-08
"COL1A1_ITGA5",5.07200851146283e-21,1.80741396436448e-19
"COL1A1_CD93",1.51656465163796e-13,2.52737907233135e-12
"COL1A1_ITGA1",2.03126901521244e-07,1.86414672721178e-06
"COL1A1_CD44",2.36306973988576e-10,2.94259011830582e-09
"COL1A1_ITGAV",2.80827884946433e-07,2.54240081060655e-06
"COL1A1_ITGB1",3.29307137114654e-10,4.01119673224177e-09
"COL1A1_ITGA11",7.57493214325638e-29,5.17831159868971e-27
"COL1A1_ITGA2",1.47252091723136e-16,3.44929984203331e-15
"COL1A1_DDR1",0.0129785892388738,0.0885424446800392
"LAMA4_ITGA6",5.39164991320007e-07,4.67885831150651e-06
"LAMA4_ITGAV",7.67164110015983e-14,1.31110574123455e-12
"LAMA4_ITGB1",1.11466391672366e-13,1.86689314170116e-12
"HBEGF_CD44",2.12807714783381e-08,2.15359923188428e-07
"HBEGF_CD9",5.66760079756534e-07,4.8803971487242e-06
"HBEGF_ERBB2",3.20629522931881e-10,3.91975081717746e-09
"LTF_LRP1",1.74344802722225e-38,2.92001123935239e-36
"LTF_TFRC",2.12052597703405e-14,3.88148596940022e-13
"CD160_TNFRSF14",1.6696563051033e-05,0.000128867340432053
"FGF23_FGFR4",1.77635683940025e-15,3.83887550022086e-14
"FGF23_FGFR1",8.52599443936974e-22,3.20893227787549e-20
"FGF23_FGFR3",9.93649607039515e-14,1.68955584951821e-12
"TGFB3_ENG",2.72115663335626e-11,3.67542337931302e-10
"TGFB3_ITGB1",5.36237720893951e-14,9.30691108562289e-13
"TGFB3_ACVRL1",0.00027601452085646,0.00194236342243742
"TGFB3_ITGB6",4.56773682433465e-07,4.07624603406819e-06
"TGFB3_ITGB5",5.08832563650622e-19,1.49511830600438e-17
"TNFSF10_RIPK1",1.04716107302452e-24,5.08358292187239e-23
"TNFSF10_TNFRSF10B",1.48396510635251e-08,1.53895769012521e-07
"INHBA_ENG",6.8541515206033e-17,1.68818604450724e-15
"INHBA_SMAD3",1.09314779450642e-11,1.53853520806002e-10
"C3_CD46",7.42699235445343e-11,9.60547234725171e-10
"C3_ITGAX",3.5840741441362e-07,3.23600056729941e-06
"C3_ADRA2A",1.72130976139329e-10,2.15950037376339e-09
"C3_ITGB2",1.5572581890666e-08,1.6099823926487e-07
"C3_CD81",7.08921810144147e-12,1.01917304746837e-10
"LIF_IL6ST",4.46609851741724e-17,1.11642361395863e-15
"APOE_LDLR",0.00016134992743766,0.00114750181362115
"APOE_LRP5",1.60062640919278e-09,1.81749604927418e-08
"APOE_LSR",5.54001289287953e-14,9.56565159679711e-13
"APOE_SCARB1",6.78375890041938e-05,0.000500518419881304
"APOE_LRP8",3.33000294006069e-12,5.04728532856668e-11
"LAMA5_SDC1",2.02510321033626e-88,6.78348197674912e-85
"LAMA5_ITGA6",9.63360484431795e-28,5.4694332931963e-26
"LAMA5_BCAM",4.98311775658235e-32,4.76912405074506e-30
"LAMA5_ITGB1",3.02835078846448e-21,1.10261492330963e-19
"LAMA5_ITGA2",7.64316625345555e-38,1.16374047372861e-35
"JAG1_CD46",2.74821276846637e-11,3.69706017390102e-10
"JAG1_NOTCH4",0.00138253596787719,0.00956833980751241
"JAG1_NOTCH1",6.17101862412373e-05,0.000458337961180649
"JAG1_NOTCH2",6.05594752123295e-09,6.56491544687972e-08
"JAG1_NOTCH3",5.35179434102417e-09,5.83937752287999e-08
"LAMC1_ITGA6",4.7328611074704e-07,4.18302117468438e-06
"LAMC1_ITGA1",1.04249942012302e-13,1.76366519785242e-12
"LAMC1_ITGA7",8.44968539581714e-12,1.2044206427786e-10
"LAMC1_ITGAV",0.000123193377287611,0.000887441883614911
"LAMC1_ITGB1",6.46693208453966e-28,3.80039692189243e-26
"LAMC1_ITGA2",5.63304438899183e-20,1.88689914133359e-18
"IL1RN_IL1R1",2.06346273401437e-10,2.57909505779275e-09
"CCL21_ADRA2A",1.66569029500518e-05,0.000128858144179204
"MMP7_CD44",0.000154448172847266,0.00110075440032815
"MMP7_SDC1",6.43824215705847e-33,6.95682577200129e-31
"MMP7_CD151",7.79747918526742e-23,3.22459160169191e-21
"THBS1_CD47",4.57554384047931e-07,4.07624603406819e-06
"THBS1_SDC1",1.84171310349052e-19,5.81998179392314e-18
"THBS1_ITGB1",3.33066907387547e-15,6.92964715684278e-14
"THBS1_LRP5",6.52944779244713e-07,5.56531071977605e-06
"THBS1_SDC4",6.75590472454246e-10,7.96839197732364e-09
"THBS1_SCARB1",1.12015000608423e-08,1.18364764038179e-07
"THBS1_ITGA6",1.88886176148984e-05,0.000145450906110748
"ADAM10_GPNMB",1.53708212824455e-07,1.43820091158772e-06
"ADAM10_TSPAN15",1.55374763055605e-07,1.4497447479577e-06
"ADAM10_CD44",4.40203112850313e-08,4.34138455089192e-07
"ADAM10_CADM1",2.24678485594154e-07,2.05629735005552e-06
"ADAM10_TSPAN14",1.0615064383046e-11,1.50030584047213e-10
"ADAM10_NOTCH1",3.33066907387547e-15,6.92964715684278e-14
