,cluster,pvals_adj,logfoldchanges,names,sample
2,1,2.158424446809049e-82,5.464872,S100A8_ITGB2,A1
3,1,4.458090939820522e-82,7.836246,TIMP3_MET,A1
4,1,1.780987664912514e-81,5.599042,DCN_MET,A1
5,1,2.4911066235608344e-81,7.8941655,LRIG1_MET,A1
6,1,1.5563525615149783e-79,6.99905,ADAM10_MET,A1
11,1,1.7208542954492956e-76,12.012127,FN1_ITGA6,A1
12,1,2.2600169319161923e-76,5.382806,COL4A3_ITGAV,A1
15,1,1.1296608785926124e-75,6.2922864,MMP9_ITGB2,A1
19,1,3.5685918743372963e-75,5.3523235,PLAU_ITGB2,A1
21,1,7.810247211464931e-75,7.866023,PDAP1_PDGFRB,A1
22,1,1.023775577136485e-74,7.933169,GNAS_ADCY7,A1
23,1,2.5548747984368525e-74,8.807286,ITGB3BP_ITGB5,A1
25,1,4.127425648629088e-74,6.1738825,FN1_ITGA4,A1
29,1,6.464975021947258e-72,8.728962,ADAM10_NOTCH2,A1
35,1,1.249564543891245e-70,9.442745,CDH1_ITGAE,A1
38,1,8.434801249026257e-70,6.6678634,HGF_SDC1,A1
39,1,8.558297851888757e-70,9.346716,HLA-B_CANX,A1
42,1,3.7100019949817535e-69,6.0830903,ADAM9_ITGAV,A1
43,1,3.99349744977135e-69,6.2905097,COL1A1_CD36,A1
46,1,1.3215550352400136e-68,5.2068043,GDF9_ACVR2A,A1
48,1,3.0813133405326945e-68,5.241247,COL1A2_CD36,A1
56,1,1.054691396081282e-65,6.5625744,EFNB2_EPHB4,A1
59,1,1.1817978110567897e-64,6.593134,TGFB3_ITGB5,A1
60,1,1.9217509618672855e-64,7.157347,COL4A1_ITGAV,A1
61,1,1.1676235259522523e-63,7.2103825,B2M_CD3D,A1
62,1,2.1310917919839875e-63,5.920065,MMP9_IFNAR1,A1
64,1,5.703578917089262e-63,7.097455,HLA-C_CD3D,A1
67,1,1.675670342683495e-62,6.2225375,COL18A1_KDR,A1
72,1,9.585618821262646e-60,5.598756,HLA-A_CD3D,A1
80,1,6.644721957640231e-57,5.498541,HLA-B_CD3D,A1
83,1,1.059871005692749e-56,6.8358417,GNAS_ADORA1,A1
91,1,2.991979175277713e-54,16.228529,AGTRAP_RACK1,A1
94,1,8.567030041363721e-54,6.1637025,TGFB1_TGFBR1,A1
95,1,8.651288228975545e-54,8.83105,GRN_TNFRSF1A,A1
96,1,2.223400738084759e-53,5.927326,ADAM9_ITGB5,A1
101,1,8.89603073491069e-52,5.4813867,HSP90AA1_CFTR,A1
106,1,3.514709104436719e-51,7.9394946,COL1A2_ITGAV,A1
111,1,1.966676317715268e-48,8.079146,FN1_ITGAV,A1
116,1,8.073537307818932e-48,5.6120067,COL1A1_FLT4,A1
119,1,2.7085322186392564e-47,9.816603,HBEGF_ERBB2,A1
120,1,2.830786648847983e-47,5.4331574,FN1_FLT4,A1
121,1,4.1382147718962106e-47,35.57348,HSP90B1_ERBB2,A1
126,1,5.096000972735118e-46,9.247278,COL1A1_ITGAV,A1
140,1,1.1414381952844696e-39,5.3214693,TFPI_SDC4,A1
146,1,6.997755622829116e-38,6.3128514,AZGP1_ITGAV,A1
154,1,1.557979344645421e-36,8.316048,EGF_ERBB2,A1
165,1,5.044680142772258e-34,6.998122,TGFA_ERBB2,A1
185,1,4.7275683270577266e-30,5.0076466,COL1A1_ITGA1,A1
188,1,3.837438425251167e-28,5.8894963,COL1A1_ITGA11,A1
