,Ligand0,Receptor0,Receptor1,perm_pval,fdr,selected
EFNB1_EPHB3,EFNB1,EPHB3,,0.02400000000000002,0.06043636363636369,True
EFNB1_EPHB4,EFNB1,EPHB4,,0.0,0.0,True
EFNA5_EPHA2,EFNA5,EPHA2,,0.061000000000000054,0.1341718750000001,False
ESAM_ESAM,ESAM,ESAM,,0.10799999999999998,0.22325373134328355,False
F11R_F11R,F11R,F11R,,0.009000000000000008,0.024441176470588254,True
JAM1_ITGAL_ITGB2,F11R,ITGB2,,0.038000000000000034,0.09398214285714294,True
ICAM1_ITGAX_ITGB2,ICAM1,ITGAX,ITGB2,0.37,0.661225806451613,False
ICAM1_ITGAL_ITGB2,ICAM1,ITGB2,,0.242,0.46876923076923077,False
ICAM2_ITGAL_ITGB2,ICAM2,ITGB2,,1.0,1.0,False
ICAM1_ITGAM_ITGB2,ICAM1,ITGB2,,0.242,0.46876923076923077,False
ICAM2_ITGAM_ITGB2,ICAM2,ITGB2,,1.0,1.0,False
ITGB2_ICAM1,ITGB2,ICAM1,,0.20699999999999996,0.4125107913669064,False
ITGB2_ICAM2,ITGB2,ICAM2,,0.999,1.0,False
CD46_JAG1,CD46,JAG1,,0.8109999999999999,1.0,False
CD6_ALCAM,CD6,ALCAM,,0.016000000000000014,0.041420560747663586,True
CD99_CD99,CD99,CD99,,0.0,0.0,True
ADGRE5_CD55,ADGRE5,CD55,,0.92,1.0,False
ALCAM_CD6,ALCAM,CD6,,0.12,0.24441176470588236,False
APP_CD74,APP,CD74,,0.0,0.0,True
CADM1_CADM1,CADM1,CADM1,,0.41700000000000004,0.7357261146496816,False
CDH1_CDH1,CDH1,CDH1,,0.384,0.6818461538461539,False
CSPG4_ITGA2_ITGB1,CSPG4,ITGA3,ITGB1,0.01100000000000001,0.029582524271844685,True
EFNA2_EPHA2,EFNA2,EPHA2,,0.975,1.0,False
EFNA1_EPHA2,EFNA1,EPHA2,,0.484,0.8327204968944099,False
CDH1_ITGA1_ITGB1,CDH1,ITGA2,ITGB1,0.10499999999999998,0.21868421052631576,False
NRXN2_NLGN2,NRXN2,NLGN2,,0.0020000000000000018,0.005831578947368426,True
PTPRM_PTPRM,PTPRM,PTPRM,,0.049000000000000044,0.11906140350877203,False
PECAM1_PECAM1,PECAM1,PECAM1,,0.0,0.0,True
JAG1_NOTCH1,JAG1,NOTCH1,,0.621,0.9829542857142858,False
JAG1_NOTCH3,JAG1,NOTCH3,,0.998,1.0,False
JAG1_NOTCH4,JAG1,NOTCH4,,0.11399999999999999,0.2339111111111111,False
JAG2_NOTCH1,JAG2,NOTCH1,,0.702,1.0,False
JAG2_NOTCH2,JAG2,NOTCH2,,1.0,1.0,False
JAG2_NOTCH3,JAG2,NOTCH3,,1.0,1.0,False
JAG2_NOTCH4,JAG2,NOTCH4,,0.997,1.0,False
JAG1_NOTCH2,JAG1,NOTCH2,,0.28400000000000003,0.5425379310344828,False
SEMA7A_ITGB1_ITGA1,SEMA7A,ITGB1,ITGA1,0.744,1.0,False
THY1_ITGAX_ITGB2,THY1,ITGAX,ITGB2,0.0,0.0,True
THY1_ITGAV_ITGB3,THY1,ITGAV,,0.0,0.0,True
ITGA4_ITGB1_VCAM1,ITGB1,VCAM1,,0.8049999999999999,1.0,False
ITGA9_ITGB1_VCAM1,ITGB1,VCAM1,,0.8049999999999999,1.0,False
THY1_ITGAM_ITGB2,THY1,ITGB2,,0.0,0.0,True
SEMA4A_NRP1_PLXNA1,SEMA4A,PLXNA1,,0.33099999999999996,0.6153489932885905,False
SEMA4A_NRP1_PLXNA2,SEMA4A,PLXNA2,,0.5429999999999999,0.9006646706586825,False
SEMA4A_NRP1_PLXNA3,SEMA4A,PLXNA3,,0.349,0.6444866666666665,False
SEMA4A_PLXNB1,SEMA4A,PLXNB1,,0.5840000000000001,0.9515764705882355,False
SEMA4A_PLXNB2,SEMA4A,PLXNB2,,0.602,0.9583563218390804,False
SEMA4C_PLXNB2,SEMA4C,PLXNB2,,0.357,0.6463333333333333,False
SEMA4G_PLXNB2,SEMA4G,PLXNB2,,0.9339999999999999,1.0,False
SEMA4D_PLXNB2,SEMA4D,PLXNB2,,0.0,0.0,True
SEMA4D_PLXNB1,SEMA4D,PLXNB1,,0.015000000000000013,0.039571428571428605,True
NECTIN1_NECTIN4,NECTIN1,NECTIN4,,0.05500000000000005,0.13133620689655184,False
COL6A1_ITGA9_ITGB1,COL6A1,ITGB1,,1.0,1.0,False
COL6A2_ITGA9_ITGB1,COL6A2,ITGB1,,1.0,1.0,False
COL6A3_ITGA9_ITGB1,COL6A3,ITGB1,,0.0,0.0,True
LAMA4_ITGA9_ITGB1,LAMA4,ITGB1,,0.51,0.8612181818181818,False
LAMA5_ITGA9_ITGB1,LAMA5,ITGB1,,0.05900000000000005,0.1341718750000001,False
LAMB1_ITGA9_ITGB1,LAMB1,ITGB1,,0.006000000000000005,0.016620000000000013,True
LAMB2_ITGA9_ITGB1,LAMB2,ITGB1,,0.806,1.0,False
LAMC1_ITGA9_ITGB1,LAMC1,ITGB1,,0.03200000000000003,0.07985585585585593,True
COL4A2_ITGA9_ITGB1,COL4A2,ITGB1,,0.0,0.0,True
LAMB3_ITGA9_ITGB1,LAMB3,ITGB1,,0.708,1.0,False
COL4A1_ITGA9_ITGB1,COL4A1,ITGB1,,0.354,0.6451184210526315,False
LAMB3_ITGA7_ITGB1,LAMB3,ITGA7,ITGB1,0.95,1.0,False
COL1A2_ITGA9_ITGB1,COL1A2,ITGB1,,0.0,0.0,True
LAMC2_ITGA9_ITGB1,LAMC2,ITGB1,,0.999,1.0,False
LAMA4_ITGA7_ITGB1,LAMA4,ITGA7,ITGB1,0.593,0.9550058139534883,False
LAMA5_ITGA7_ITGB1,LAMA5,ITGA7,ITGB1,0.051000000000000045,0.12284347826086967,False
LAMB1_ITGA7_ITGB1,LAMB1,ITGA7,ITGB1,0.006000000000000005,0.016620000000000013,True
LAMB2_ITGA7_ITGB1,LAMB2,ITGA7,ITGB1,0.944,1.0,False
LAMC1_ITGA7_ITGB1,LAMC1,ITGA7,ITGB1,0.18400000000000005,0.36933333333333346,False
LAMC2_ITGA7_ITGB1,LAMC2,ITGA7,ITGB1,0.998,1.0,False
LAMC3_ITGA7_ITGB1,LAMC3,ITGA7,ITGB1,0.489,0.8361296296296297,False
COL1A1_ITGA9_ITGB1,COL1A1,ITGB1,,0.0,0.0,True
LAMC3_ITGA9_ITGB1,LAMC3,ITGB1,,0.482,0.8327204968944099,False
COL1A2_ITGA10_ITGB1,COL1A2,ITGB1,,0.0,0.0,True
FN1_ITGAV_ITGB1,FN1,ITGAV,ITGB1,0.0,0.0,True
FN1_ITGAV_ITGB3,FN1,ITGAV,,0.0,0.0,True
VWF_ITGAV_ITGB3,VWF,ITGAV,,0.0,0.0,True
THBS1_ITGAV_ITGB3,THBS1,ITGAV,,0.6799999999999999,1.0,False
THBS2_ITGAV_ITGB3,THBS2,ITGAV,,1.0,1.0,False
COMP_ITGAV_ITGB3,COMP,ITGAV,,0.988,1.0,False
LAMC3_ITGA6_ITGB1,LAMC3,ITGA6,ITGB1,0.08299999999999996,0.17417424242424234,False
COL6A3_ITGA11_ITGB1,COL6A3,ITGA11,ITGB1,0.0020000000000000018,0.005831578947368426,True
COL6A2_ITGA11_ITGB1,COL6A2,ITGA11,ITGB1,1.0,1.0,False
COL6A1_ITGA11_ITGB1,COL6A1,ITGA11,ITGB1,1.0,1.0,False
COL4A1_ITGA10_ITGB1,COL4A1,ITGB1,,0.354,0.6451184210526315,False
COL4A2_ITGA10_ITGB1,COL4A2,ITGB1,,0.0,0.0,True
COL6A1_ITGA10_ITGB1,COL6A1,ITGB1,,1.0,1.0,False
COL6A2_ITGA10_ITGB1,COL6A2,ITGB1,,1.0,1.0,False
COL6A3_ITGA10_ITGB1,COL6A3,ITGB1,,0.0,0.0,True
COL1A1_ITGA11_ITGB1,COL1A1,ITGA11,ITGB1,0.0,0.0,True
COL4A1_ITGA11_ITGB1,COL4A1,ITGA11,ITGB1,0.964,1.0,False
COL4A2_ITGA11_ITGB1,COL4A2,ITGA11,ITGB1,0.0,0.0,True
COL1A1_ITGA10_ITGB1,COL1A1,ITGB1,,0.0,0.0,True
