,Ligand0,Receptor0,Receptor1,perm_pval,fdr,selected
EFNB1_EPHB3,EFNB1,EPHB3,,1.0,1.0,False
EFNB1_EPHB4,EFNB1,EPHB4,,1.0,1.0,False
EFNA5_EPHA2,EFNA5,EPHA2,,0.8280000000000001,1.0,False
ESAM_ESAM,ESAM,ESAM,,0.10799999999999998,0.1835337423312883,False
F11R_F11R,F11R,F11R,,0.009000000000000008,0.016401315789473698,True
JAM1_ITGAL_ITGB2,F11R,ITGB2,,0.038000000000000034,0.06747435897435904,True
ICAM1_ITGAX_ITGB2,ICAM1,ITGAX,ITGB2,0.0,0.0,True
ICAM1_ITGAL_ITGB2,ICAM1,ITGB2,,0.0,0.0,True
ICAM2_ITGAL_ITGB2,ICAM2,ITGB2,,0.0,0.0,True
ICAM1_ITGAM_ITGB2,ICAM1,ITGB2,,0.0,0.0,True
ICAM2_ITGAM_ITGB2,ICAM2,ITGB2,,0.0,0.0,True
ITGB2_ICAM1,ITGB2,ICAM1,,0.0,0.0,True
ITGB2_ICAM2,ITGB2,ICAM2,,0.0,0.0,True
CD46_JAG1,CD46,JAG1,,1.0,1.0,False
CD6_ALCAM,CD6,ALCAM,,0.0010000000000000009,0.001871621621621623,True
CD99_CD99,CD99,CD99,,0.0,0.0,True
ADGRE5_CD55,ADGRE5,CD55,,0.0,0.0,True
ALCAM_CD6,ALCAM,CD6,,0.0010000000000000009,0.001871621621621623,True
APP_CD74,APP,CD74,,0.0,0.0,True
CADM1_CADM1,CADM1,CADM1,,0.41700000000000004,0.6638448275862069,False
CDH1_CDH1,CDH1,CDH1,,0.0,0.0,True
CSPG4_ITGA2_ITGB1,CSPG4,ITGA3,ITGB1,0.01100000000000001,0.019785714285714302,True
EFNA2_EPHA2,EFNA2,EPHA2,,1.0,1.0,False
EFNA1_EPHA2,EFNA1,EPHA2,,0.05300000000000005,0.0923333333333334,True
CDH1_ITGA1_ITGB1,CDH1,ITGA2,ITGB1,0.656,1.0,False
NRXN2_NLGN2,NRXN2,NLGN2,,0.0,0.0,True
PTPRM_PTPRM,PTPRM,PTPRM,,0.049000000000000044,0.08590506329113931,True
PECAM1_PECAM1,PECAM1,PECAM1,,0.0,0.0,True
JAG1_NOTCH1,JAG1,NOTCH1,,1.0,1.0,False
JAG1_NOTCH3,JAG1,NOTCH3,,1.0,1.0,False
JAG1_NOTCH4,JAG1,NOTCH4,,1.0,1.0,False
JAG2_NOTCH1,JAG2,NOTCH1,,1.0,1.0,False
JAG2_NOTCH2,JAG2,NOTCH2,,1.0,1.0,False
JAG2_NOTCH3,JAG2,NOTCH3,,1.0,1.0,False
JAG2_NOTCH4,JAG2,NOTCH4,,1.0,1.0,False
JAG1_NOTCH2,JAG1,NOTCH2,,1.0,1.0,False
SEMA7A_ITGB1_ITGA1,SEMA7A,ITGB1,ITGA1,1.0,1.0,False
THY1_ITGAX_ITGB2,THY1,ITGAX,ITGB2,0.0,0.0,True
THY1_ITGAV_ITGB3,THY1,ITGAV,,0.0,0.0,True
ITGA4_ITGB1_VCAM1,ITGB1,VCAM1,,0.0,0.0,True
ITGA9_ITGB1_VCAM1,ITGB1,VCAM1,,0.0,0.0,True
THY1_ITGAM_ITGB2,THY1,ITGB2,,0.0,0.0,True
SEMA4A_NRP1_PLXNA1,SEMA4A,PLXNA1,,0.19899999999999995,0.3281130952380952,False
SEMA4A_NRP1_PLXNA2,SEMA4A,PLXNA2,,0.45699999999999996,0.7151920903954802,False
SEMA4A_NRP1_PLXNA3,SEMA4A,PLXNA3,,0.29100000000000004,0.47138596491228074,False
SEMA4A_PLXNB1,SEMA4A,PLXNB1,,1.0,1.0,False
SEMA4A_PLXNB2,SEMA4A,PLXNB2,,0.975,1.0,False
SEMA4C_PLXNB2,SEMA4C,PLXNB2,,0.0,0.0,True
SEMA4G_PLXNB2,SEMA4G,PLXNB2,,0.0,0.0,True
SEMA4D_PLXNB2,SEMA4D,PLXNB2,,0.010000000000000009,0.01810457516339871,True
SEMA4D_PLXNB1,SEMA4D,PLXNB1,,0.0010000000000000009,0.001871621621621623,True
NECTIN1_NECTIN4,NECTIN1,NECTIN4,,0.05500000000000005,0.09521875000000009,True
COL6A1_ITGA9_ITGB1,COL6A1,ITGB1,,0.0,0.0,True
COL6A2_ITGA9_ITGB1,COL6A2,ITGB1,,0.0,0.0,True
COL6A3_ITGA9_ITGB1,COL6A3,ITGB1,,0.0,0.0,True
LAMA4_ITGA9_ITGB1,LAMA4,ITGB1,,0.0,0.0,True
LAMA5_ITGA9_ITGB1,LAMA5,ITGB1,,0.0,0.0,True
LAMB1_ITGA9_ITGB1,LAMB1,ITGB1,,0.983,1.0,False
LAMB2_ITGA9_ITGB1,LAMB2,ITGB1,,1.0,1.0,False
LAMC1_ITGA9_ITGB1,LAMC1,ITGB1,,0.988,1.0,False
COL4A2_ITGA9_ITGB1,COL4A2,ITGB1,,1.0,1.0,False
LAMB3_ITGA9_ITGB1,LAMB3,ITGB1,,0.0,0.0,True
COL4A1_ITGA9_ITGB1,COL4A1,ITGB1,,0.0,0.0,True
LAMB3_ITGA7_ITGB1,LAMB3,ITGA7,ITGB1,0.006000000000000005,0.01108000000000001,True
COL1A2_ITGA9_ITGB1,COL1A2,ITGB1,,0.511,0.7907653631284917,False
LAMC2_ITGA9_ITGB1,LAMC2,ITGB1,,1.0,1.0,False
LAMA4_ITGA7_ITGB1,LAMA4,ITGA7,ITGB1,0.0,0.0,True
LAMA5_ITGA7_ITGB1,LAMA5,ITGA7,ITGB1,0.0,0.0,True
LAMB1_ITGA7_ITGB1,LAMB1,ITGA7,ITGB1,0.992,1.0,False
LAMB2_ITGA7_ITGB1,LAMB2,ITGA7,ITGB1,1.0,1.0,False
LAMC1_ITGA7_ITGB1,LAMC1,ITGA7,ITGB1,0.999,1.0,False
LAMC2_ITGA7_ITGB1,LAMC2,ITGA7,ITGB1,1.0,1.0,False
LAMC3_ITGA7_ITGB1,LAMC3,ITGA7,ITGB1,0.0,0.0,True
COL1A1_ITGA9_ITGB1,COL1A1,ITGB1,,1.0,1.0,False
LAMC3_ITGA9_ITGB1,LAMC3,ITGB1,,0.0,0.0,True
COL1A2_ITGA10_ITGB1,COL1A2,ITGB1,,0.511,0.7907653631284917,False
FN1_ITGAV_ITGB1,FN1,ITGAV,ITGB1,1.0,1.0,False
FN1_ITGAV_ITGB3,FN1,ITGAV,,1.0,1.0,False
VWF_ITGAV_ITGB3,VWF,ITGAV,,1.0,1.0,False
THBS1_ITGAV_ITGB3,THBS1,ITGAV,,0.255,0.41550000000000004,False
THBS2_ITGAV_ITGB3,THBS2,ITGAV,,0.0,0.0,True
COMP_ITGAV_ITGB3,COMP,ITGAV,,0.0010000000000000009,0.001871621621621623,True
LAMC3_ITGA6_ITGB1,LAMC3,ITGA6,ITGB1,0.0,0.0,True
COL6A3_ITGA11_ITGB1,COL6A3,ITGA11,ITGB1,0.0,0.0,True
COL6A2_ITGA11_ITGB1,COL6A2,ITGA11,ITGB1,0.0,0.0,True
COL6A1_ITGA11_ITGB1,COL6A1,ITGA11,ITGB1,0.0,0.0,True
COL4A1_ITGA10_ITGB1,COL4A1,ITGB1,,0.0,0.0,True
COL4A2_ITGA10_ITGB1,COL4A2,ITGB1,,1.0,1.0,False
COL6A1_ITGA10_ITGB1,COL6A1,ITGB1,,0.0,0.0,True
COL6A2_ITGA10_ITGB1,COL6A2,ITGB1,,0.0,0.0,True
COL6A3_ITGA10_ITGB1,COL6A3,ITGB1,,0.0,0.0,True
COL1A1_ITGA11_ITGB1,COL1A1,ITGA11,ITGB1,0.996,1.0,False
COL4A1_ITGA11_ITGB1,COL4A1,ITGA11,ITGB1,0.0,0.0,True
COL4A2_ITGA11_ITGB1,COL4A2,ITGA11,ITGB1,1.0,1.0,False
COL1A1_ITGA10_ITGB1,COL1A1,ITGB1,,1.0,1.0,False
LAMC2_ITGA6_ITGB1,LAMC2,ITGA6,ITGB1,1.0,1.0,False
LAMB3_ITGA6_ITGB1,LAMB3,ITGA6,ITGB1,0.0,0.0,True
COL6A2_ITGA2_ITGB1,COL6A2,ITGA2,ITGB1,0.0,0.0,True
COL6A3_ITGA2_ITGB1,COL6A3,ITGA2,ITGB1,0.0,0.0,True
FN1_ITGA3_ITGB1,FN1,ITGA3,ITGB1,1.0,1.0,False
FN1_ITGA4_ITGB1,FN1,ITGB1,,1.0,1.0,False
FN1_ITGA5_ITGB1,FN1,ITGA5,ITGB1,1.0,1.0,False
COL6A1_ITGA2_ITGB1,COL6A1,ITGA2,ITGB1,0.0,0.0,True
FN1_ITGA8_ITGB1,FN1,ITGB1,,1.0,1.0,False
LAMA4_ITGA1_ITGB1,LAMA4,ITGA1,ITGB1,0.0,0.0,True
LAMA5_ITGA1_ITGB1,LAMA5,ITGA1,ITGB1,0.0010000000000000009,0.001871621621621623,True
LAMB1_ITGA1_ITGB1,LAMB1,ITGA1,ITGB1,0.984,1.0,False
LAMB2_ITGA1_ITGB1,LAMB2,ITGA1,ITGB1,1.0,1.0,False
LAMB3_ITGA1_ITGB1,LAMB3,ITGA1,ITGB1,0.0,0.0,True
LAMC1_ITGA1_ITGB1,LAMC1,ITGA1,ITGB1,0.895,1.0,False
LAMC2_ITGA1_ITGB1,LAMC2,ITGA1,ITGB1,1.0,1.0,False
LAMC3_ITGA1_ITGB1,LAMC3,ITGA1,ITGB1,0.0,0.0,True
COL1A1_ITGA1_ITGB1,COL1A1,ITGA1,ITGB1,1.0,1.0,False
COL1A2_ITGA1_ITGB1,COL1A2,ITGA1,ITGB1,0.10099999999999998,0.1726975308641975,False
COL4A1_ITGA1_ITGB1,COL4A1,ITGA1,ITGB1,0.0,0.0,True
COL4A2_ITGA1_ITGB1,COL4A2,ITGA1,ITGB1,1.0,1.0,False
COL6A1_ITGA1_ITGB1,COL6A1,ITGA1,ITGB1,0.0,0.0,True
COL6A2_ITGA1_ITGB1,COL6A2,ITGA1,ITGB1,0.0,0.0,True
COL6A3_ITGA1_ITGB1,COL6A3,ITGA1,ITGB1,0.0,0.0,True
COL1A1_ITGA2_ITGB1,COL1A1,ITGA2,ITGB1,1.0,1.0,False
COL1A2_ITGA2_ITGB1,COL1A2,ITGA2,ITGB1,0.19299999999999995,0.3201257485029939,False
COL4A1_ITGA2_ITGB1,COL4A1,ITGA2,ITGB1,0.0,0.0,True
COL4A2_ITGA2_ITGB1,COL4A2,ITGA2,ITGB1,1.0,1.0,False
LAMC1_ITGA6_ITGB1,LAMC1,ITGA6,ITGB1,0.42100000000000004,0.6663828571428573,False
LAMA4_ITGA2_ITGB1,LAMA4,ITGA2,ITGB1,0.0,0.0,True
COL4A1_ITGA3_ITGB1,COL4A1,ITGA3,ITGB1,0.0,0.0,True
COL4A2_ITGA3_ITGB1,COL4A2,ITGA3,ITGB1,1.0,1.0,False
COL6A1_ITGA3_ITGB1,COL6A1,ITGA3,ITGB1,0.0,0.0,True
COL6A2_ITGA3_ITGB1,COL6A2,ITGA3,ITGB1,0.0,0.0,True
COL6A3_ITGA3_ITGB1,COL6A3,ITGA3,ITGB1,0.0,0.0,True
COL1A2_ITGA3_ITGB1,COL1A2,ITGA3,ITGB1,0.0,0.0,True
LAMA4_ITGA6_ITGB1,LAMA4,ITGA6,ITGB1,0.0,0.0,True
LAMA5_ITGA6_ITGB1,LAMA5,ITGA6,ITGB1,0.0,0.0,True
LAMB1_ITGA6_ITGB1,LAMB1,ITGA6,ITGB1,0.979,1.0,False
LAMB2_ITGA6_ITGB1,LAMB2,ITGA6,ITGB1,1.0,1.0,False
COL1A1_ITGA3_ITGB1,COL1A1,ITGA3,ITGB1,1.0,1.0,False
COMP_ITGA3_ITGB1,COMP,ITGA3,ITGB1,0.17300000000000004,0.2904303030303031,False
LAMA5_ITGA2_ITGB1,LAMA5,ITGA2,ITGB1,0.009000000000000008,0.016401315789473698,True
LAMB1_ITGA2_ITGB1,LAMB1,ITGA2,ITGB1,0.901,1.0,False
LAMB2_ITGA2_ITGB1,LAMB2,ITGA2,ITGB1,1.0,1.0,False
LAMB3_ITGA2_ITGB1,LAMB3,ITGA2,ITGB1,0.0,0.0,True
LAMC1_ITGA2_ITGB1,LAMC1,ITGA2,ITGB1,0.44299999999999995,0.6972215909090907,False
LAMC2_ITGA2_ITGB1,LAMC2,ITGA2,ITGB1,1.0,1.0,False
LAMC3_ITGA2_ITGB1,LAMC3,ITGA2,ITGB1,0.0,0.0,True
LAMA4_ITGA3_ITGB1,LAMA4,ITGA3,ITGB1,0.0,0.0,True
LAMA5_ITGA3_ITGB1,LAMA5,ITGA3,ITGB1,0.31799999999999995,0.512127906976744,False
LAMB1_ITGA3_ITGB1,LAMB1,ITGA3,ITGB1,1.0,1.0,False
LAMB2_ITGA3_ITGB1,LAMB2,ITGA3,ITGB1,1.0,1.0,False
LAMB3_ITGA3_ITGB1,LAMB3,ITGA3,ITGB1,0.0,0.0,True
LAMC1_ITGA3_ITGB1,LAMC1,ITGA3,ITGB1,0.0,0.0,True
LAMC2_ITGA3_ITGB1,LAMC2,ITGA3,ITGB1,1.0,1.0,False
LAMC3_ITGA3_ITGB1,LAMC3,ITGA3,ITGB1,0.0,0.0,True
THBS1_ITGA3_ITGB1,THBS1,ITGA3,ITGB1,0.0,0.0,True
