,ligand,receptor,spc
LAMC1_ITGA6,LAMC1,ITGA6,1.0
LAMC1_ITGA1,LAMC1,ITGA1,1.0
LAMC1_ITGA7,LAMC1,ITGA7,1.0
LAMC1_ITGAV,LAMC1,ITGAV,1.0
LAMC1_ITGB1,LAMC1,ITGB1,1.0
LAMC1_ITGA2,LAMC1,ITGA2,1.0
IL1RN_IL1R1,IL1RN,IL1R1,1.0
CCL21_ADRA2A,CCL21,ADRA2A,1.0
MMP7_CD44,MMP7,CD44,0.17982883761239302
MMP7_SDC1,MMP7,SDC1,1.0
MMP7_CD151,MMP7,CD151,1.0
THBS1_CD47,THBS1,CD47,1.0
THBS1_SDC1,THBS1,SDC1,1.0
THBS1_ITGB1,THBS1,ITGB1,1.0
THBS1_LRP5,THBS1,LRP5,1.0
THBS1_SDC4,THBS1,SDC4,1.0
THBS1_SCARB1,THBS1,SCARB1,1.0
THBS1_ITGA6,THBS1,ITGA6,1.0
ADAM10_GPNMB,ADAM10,GPNMB,1.0
ADAM10_TSPAN15,ADAM10,TSPAN15,1.0
ADAM10_CD44,ADAM10,CD44,1.0
ADAM10_CADM1,ADAM10,CADM1,1.0
ADAM10_TSPAN14,ADAM10,TSPAN14,1.0
ADAM10_NOTCH1,ADAM10,NOTCH1,1.0
ADAM10_MET,ADAM10,MET,1.0
ADAM10_TSPAN17,ADAM10,TSPAN17,1.0
ADAM10_AXL,ADAM10,AXL,1.0
VWF_SIRPA,VWF,SIRPA,1.0
CDH1_LRP5,CDH1,LRP5,1.0
CDH1_IGF1R,CDH1,IGF1R,1.0
CDH1_ERBB3,CDH1,ERBB3,1.0
CDH1_PTPRM,CDH1,PTPRM,1.0
CDH1_PTPRF,CDH1,PTPRF,1.0
SEMA7A_ITGB1,SEMA7A,ITGB1,1.0
SEMA7A_ITGA1,SEMA7A,ITGA1,1.0
TIMP2_CD44,TIMP2,CD44,0.9156094870380584
TIMP2_ITGB1,TIMP2,ITGB1,1.0
LGALS3BP_ITGB1,LGALS3BP,ITGB1,1.0
LAMC2_ITGA6,LAMC2,ITGA6,1.0
LAMC2_CD151,LAMC2,CD151,1.0
LAMC2_ITGB1,LAMC2,ITGB1,0.083
LAMC2_ITGA2,LAMC2,ITGA2,0.024900000000000002
LAMC2_COL17A1,LAMC2,COL17A1,1.0
NID1_ITGB1,NID1,ITGB1,1.0
NID1_PTPRF,NID1,PTPRF,1.0
ICAM1_ITGAX,ICAM1,ITGAX,1.0
ICAM1_MUC1,ICAM1,MUC1,0.9156094870380584
ICAM1_ITGB2,ICAM1,ITGB2,1.0
VCAN_CD44,VCAN,CD44,1.0
VCAN_ITGB1,VCAN,ITGB1,0.9156094870380584
TIMP3_CD44,TIMP3,CD44,1.0
TIMP3_MET,TIMP3,MET,1.0
LUM_ITGB1,LUM,ITGB1,1.0
CGN_F11R,CGN,F11R,1.0
CALM2_INSR,CALM2,INSR,1.0
CALM2_AQP1,CALM2,AQP1,1.0
APP_LRP10,APP,LRP10,1.0
APP_PLD1,APP,PLD1,1.0
APP_TSPAN15,APP,TSPAN15,1.0
APP_TNFRSF21,APP,TNFRSF21,1.0
APP_NCSTN,APP,NCSTN,1.0
CALM3_INSR,CALM3,INSR,1.0
CALM3_AQP1,CALM3,AQP1,1.0
TFF2_MUC6,TFF2,MUC6,1.0
TFF1_MUC5AC,TFF1,MUC5AC,1.0
TNFSF12_TNFRSF25,TNFSF12,TNFRSF25,1.0
TNFSF12_TNFRSF12A,TNFSF12,TNFRSF12A,1.0
FGF19_FGFR1,FGF19,FGFR1,1.0
FGF19_FGFR3,FGF19,FGFR3,1.0
VCAM1_ITGB1,VCAM1,ITGB1,1.0
VCAM1_ITGB2,VCAM1,ITGB2,1.0
VCAM1_EZR,VCAM1,EZR,1.0
VCAM1_MSN,VCAM1,MSN,1.0
ARPC5_LDLR,ARPC5,LDLR,1.0
COL6A3_ITGB1,COL6A3,ITGB1,1.0
COL6A3_ITGA2,COL6A3,ITGA2,1.0
LIPH_LPAR4,LIPH,LPAR4,1.0
LIPH_LPAR2,LIPH,LPAR2,0.9526542324246773
MELTF_TFRC,MELTF,TFRC,1.0
COL1A2_CD44,COL1A2,CD44,0.9156094870380584
COL1A2_ITGB1,COL1A2,ITGB1,0.9156094870380584
COL1A2_ITGA11,COL1A2,ITGA11,1.0
COL14A1_CD44,COL14A1,CD44,1.0
COL6A2_ITGB1,COL6A2,ITGB1,1.0
IL16_KCNJ15,IL16,KCNJ15,1.0
CD14_ITGB1,CD14,ITGB1,1.0
CD14_ITGB2,CD14,ITGB2,1.0
COL3A1_ITGB1,COL3A1,ITGB1,1.0
COL3A1_DDR1,COL3A1,DDR1,1.0
FGB_ITGB1,FGB,ITGB1,1.0
FGB_ITGB2,FGB,ITGB2,1.0
FGA_ITGAX,FGA,ITGAX,1.0
FGA_ITGB1,FGA,ITGB1,1.0
FGA_PLAUR,FGA,PLAUR,1.0
FGA_ITGB2,FGA,ITGB2,1.0
SEMA4C_PLXNB2,SEMA4C,PLXNB2,1.0
HAS2_CD44,HAS2,CD44,1.0
EFEMP2_AQP1,EFEMP2,AQP1,1.0
GNAI2_EDNRA,GNAI2,EDNRA,1.0
GNAI2_ADORA1,GNAI2,ADORA1,1.0
GNAI2_PTPRU,GNAI2,PTPRU,1.0
AGTRAP_RACK1,AGTRAP,RACK1,1.0
PKM_CD44,PKM,CD44,1.0
MMP1_CD44,MMP1,CD44,1.0
FBN1_ITGB1,FBN1,ITGB1,1.0
PSEN1_NOTCH4,PSEN1,NOTCH4,1.0
PSEN1_CD44,PSEN1,CD44,1.0
CSF1_SIRPA,CSF1,SIRPA,1.0
JAG2_NOTCH4,JAG2,NOTCH4,1.0
EFNA5_EPHB6,EFNA5,EPHB6,0.9526542324246773
EFNA5_EPHA2,EFNA5,EPHA2,1.0
FBLN1_ITGB1,FBLN1,ITGB1,1.0
COL7A1_ITGB1,COL7A1,ITGB1,1.0
HSP90AA1_FGFR3,HSP90AA1,FGFR3,0.44913419913419916
FGG_ITGB1,FGG,ITGB1,1.0
FGG_ITGB2,FGG,ITGB2,1.0
CXCL14_CXCR4,CXCL14,CXCR4,1.0
RTN4_GJB2,RTN4,GJB2,1.0
HMGB1_SDC1,HMGB1,SDC1,1.0
HMGB1_CXCR4,HMGB1,CXCR4,1.0
FN1_ITGA6,FN1,ITGA6,1.0
FN1_CD44,FN1,CD44,1.0
FN1_ITGB1,FN1,ITGB1,1.0
COL18A1_ITGB1,COL18A1,ITGB1,1.0
ADAM15_ITGB1,ADAM15,ITGB1,1.0
CALM1_PTPRA,CALM1,PTPRA,1.0
LAMC3_ITGA6,LAMC3,ITGA6,1.0
LAMC3_ITGB1,LAMC3,ITGB1,1.0
COL6A1_ITGB1,COL6A1,ITGB1,1.0
COL6A1_ITGA6,COL6A1,ITGA6,1.0
TGM2_ITGB1,TGM2,ITGB1,1.0
TGM2_SDC4,TGM2,SDC4,0.864133263925039
TGM2_ADGRG1,TGM2,ADGRG1,1.0
THBS2_ITGB1,THBS2,ITGB1,1.0
THBS2_NOTCH4,THBS2,NOTCH4,1.0
THBS2_ITGA6,THBS2,ITGA6,1.0
PTGS2_ALOX5,PTGS2,ALOX5,1.0
SEMA4A_PLXNB2,SEMA4A,PLXNB2,1.0
EFNA1_EPHB6,EFNA1,EPHB6,1.0
ADAM12_ITGB1,ADAM12,ITGB1,1.0
ADAM12_SDC4,ADAM12,SDC4,1.0
S100A9_ITGB2,S100A9,ITGB2,1.0
COL5A1_ITGB1,COL5A1,ITGB1,1.0
CEL_CXCR4,CEL,CXCR4,1.0
SPTAN1_PTPRA,SPTAN1,PTPRA,1.0
PLAU_ITGB1,PLAU,ITGB1,1.0
PLAU_ITGB2,PLAU,ITGB2,1.0
COL16A1_ITGB1,COL16A1,ITGB1,1.0
HSPG2_SDC1,HSPG2,SDC1,1.0
HSPG2_ITGB1,HSPG2,ITGB1,1.0
HSPG2_FGFR1,HSPG2,FGFR1,1.0
COL5A2_ITGB1,COL5A2,ITGB1,1.0
COL5A2_DDR1,COL5A2,DDR1,1.0
COL4A1_ITGB1,COL4A1,ITGB1,1.0
ACTR2_LDLR,ACTR2,LDLR,1.0
AGRN_ITGB1,AGRN,ITGB1,1.0
ZG16B_CXCR4,ZG16B,CXCR4,1.0
LAMB3_CD151,LAMB3,CD151,1.0
LAMB3_ITGB1,LAMB3,ITGB1,0.6269671408787613
LAMB3_ITGA6,LAMB3,ITGA6,1.0
AFDN_EPHB6,AFDN,EPHB6,1.0
SPP1_CD44,SPP1,CD44,1.0
SPP1_ITGB1,SPP1,ITGB1,1.0
LGALS9_CD44,LGALS9,CD44,1.0
LGALS9_SLC1A5,LGALS9,SLC1A5,1.0
MDK_ITGA6,MDK,ITGA6,1.0
LRPAP1_LDLR,LRPAP1,LDLR,1.0
HSPA8_LDLR,HSPA8,LDLR,1.0
S100A10_CFTR,S100A10,CFTR,0.9156094870380584
HSP90AA1_CFTR,HSP90AA1,CFTR,1.0
PLAU_ITGA3,PLAU,ITGA3,1.0
LAMA4_ITGA3,LAMA4,ITGA3,1.0
LGALS8_ITGA3,LGALS8,ITGA3,1.0
NID1_ITGA3,NID1,ITGA3,1.0
LAMC3_ITGA3,LAMC3,ITGA3,1.0
THBS1_ITGA3,THBS1,ITGA3,1.0
CALR_ITGA3,CALR,ITGA3,1.0
TIMP2_ITGA3,TIMP2,ITGA3,1.0
LAMB2_ITGA3,LAMB2,ITGA3,1.0
LAMA5_ITGA3,LAMA5,ITGA3,1.0
ADAM9_ITGA3,ADAM9,ITGA3,1.0
LAMC1_ITGA3,LAMC1,ITGA3,1.0
LAMB3_ITGA3,LAMB3,ITGA3,1.0
COL18A1_ITGA3,COL18A1,ITGA3,1.0
LAMB1_ITGA3,LAMB1,ITGA3,1.0
LAMC2_ITGA3,LAMC2,ITGA3,1.0
FN1_ITGA3,FN1,ITGA3,1.0
APP_CD74,APP,CD74,0.9156094870380584
SLPI_CD4,SLPI,CD4,0.9156094870380584
IL16_CD4,IL16,CD4,1.0
CALM1_SCTR,CALM1,SCTR,1.0
CALM2_KCNQ1,CALM2,KCNQ1,1.0
CALM1_KCNQ1,CALM1,KCNQ1,1.0
CALM3_KCNQ1,CALM3,KCNQ1,1.0
LTB_TNFRSF1A,LTB,TNFRSF1A,1.0
LAMC3_ITGB4,LAMC3,ITGB4,0.796863749099928
LAMB2_ITGB4,LAMB2,ITGB4,1.0
LAMA5_ITGB4,LAMA5,ITGB4,1.0
LAMC1_ITGB4,LAMC1,ITGB4,1.0
LAMB3_ITGB4,LAMB3,ITGB4,0.31760204081632654
LAMB1_ITGB4,LAMB1,ITGB4,1.0
LAMC2_ITGB4,LAMC2,ITGB4,0.03735
HBEGF_CD82,HBEGF,CD82,1.0
LTB_LTBR,LTB,LTBR,0.2767281618137364
CD55_ADGRE5,CD55,ADGRE5,1.0
AGRN_LRP1,AGRN,LRP1,1.0
GPC3_LRP1,GPC3,LRP1,1.0
PDGFB_LRP1,PDGFB,LRP1,1.0
A2M_LRP1,A2M,LRP1,0.17982883761239302
SERPINA1_LRP1,SERPINA1,LRP1,1.0
HSPG2_LRP1,HSPG2,LRP1,1.0
APOE_LRP1,APOE,LRP1,0.864133263925039
HSP90B1_LRP1,HSP90B1,LRP1,1.0
MDK_LRP1,MDK,LRP1,0.9156094870380584
PLAU_LRP1,PLAU,LRP1,1.0
LRPAP1_LRP1,LRPAP1,LRP1,1.0
C3_LRP1,C3,LRP1,1.0
THBS1_LRP1,THBS1,LRP1,1.0
HSP90AA1_LRP1,HSP90AA1,LRP1,1.0
CALR_LRP1,CALR,LRP1,1.0
C1QB_LRP1,C1QB,LRP1,0.9156094870380584
VWF_LRP1,VWF,LRP1,1.0
APP_LRP1,APP,LRP1,1.0
PSAP_LRP1,PSAP,LRP1,0.6269671408787613
COL4A2_CD93,COL4A2,CD93,1.0
COL1A2_CD93,COL1A2,CD93,1.0
COL4A1_CD93,COL4A1,CD93,1.0
C1QA_CD93,C1QA,CD93,0.0332
HLA-B_CANX,HLA-B,CANX,0.4831667798583487
GSTP1_TRAF2,GSTP1,TRAF2,1.0
S100A9_CD68,S100A9,CD68,1.0
AFDN_NECTIN2,AFDN,NECTIN2,1.0
LRPAP1_SORT1,LRPAP1,SORT1,0.7333775127015684
PSAP_SORT1,PSAP,SORT1,1.0
PSEN1_NOTCH2,PSEN1,NOTCH2,1.0
ADAM10_NOTCH2,ADAM10,NOTCH2,1.0
APP_NOTCH2,APP,NOTCH2,1.0
JAG2_NOTCH2,JAG2,NOTCH2,1.0
PDGFB_PDGFRA,PDGFB,PDGFRA,1.0
CD14_RIPK1,CD14,RIPK1,1.0
CALR_HLA-F,CALR,HLA-F,1.0
B2M_HLA-F,B2M,HLA-F,1.0
PLAU_ITGAV,PLAU,ITGAV,1.0
SPP1_ITGAV,SPP1,ITGAV,1.0
NID1_ITGAV,NID1,ITGAV,1.0
PDGFB_ITGAV,PDGFB,ITGAV,1.0
CALR_ITGAV,CALR,ITGAV,1.0
FGG_ITGAV,FGG,ITGAV,1.0
FGA_ITGAV,FGA,ITGAV,1.0
MFGE8_ITGAV,MFGE8,ITGAV,1.0
FGB_ITGAV,FGB,ITGAV,1.0
FBN1_ITGAV,FBN1,ITGAV,1.0
AZGP1_ITGAV,AZGP1,ITGAV,1.0
ADAM9_ITGAV,ADAM9,ITGAV,1.0
VEGFA_ITGAV,VEGFA,ITGAV,1.0
ADAM15_ITGAV,ADAM15,ITGAV,1.0
COL1A2_ITGAV,COL1A2,ITGAV,1.0
COL4A1_ITGAV,COL4A1,ITGAV,1.0
FN1_ITGAV,FN1,ITGAV,1.0
SAA1_SCARB1,SAA1,SCARB1,1.0
PDGFB_PDGFRB,PDGFB,PDGFRB,1.0
MFGE8_PDGFRB,MFGE8,PDGFRB,1.0
CALM1_KCNN4,CALM1,KCNN4,0.31760204081632654
PSEN1_NOTCH3,PSEN1,NOTCH3,1.0
THBS2_NOTCH3,THBS2,NOTCH3,1.0
SCGB3A1_NOTCH3,SCGB3A1,NOTCH3,1.0
JAG2_NOTCH3,JAG2,NOTCH3,1.0
APP_APLP2,APP,APLP2,1.0
HLA-A_APLP2,HLA-A,APLP2,1.0
GPC3_CD81,GPC3,CD81,1.0
CD99_CD81,CD99,CD81,1.0
AFDN_NECTIN1,AFDN,NECTIN1,1.0
BMP2_GPC1,BMP2,GPC1,1.0
APP_GPC1,APP,GPC1,1.0
COL18A1_GPC1,COL18A1,GPC1,1.0
VEGFA_GPC1,VEGFA,GPC1,0.796863749099928
NLGN2_NRXN2,NLGN2,NRXN2,1.0
AFDN_NRXN2,AFDN,NRXN2,1.0
GPC3_IGF1R,GPC3,IGF1R,1.0
INS_IGF1R,INS,IGF1R,1.0
GNAI2_IGF1R,GNAI2,IGF1R,1.0
S100A4_ERBB2,S100A4,ERBB2,0.36118363794604
SEMA4D_ERBB2,SEMA4D,ERBB2,1.0
HLA-A_ERBB2,HLA-A,ERBB2,1.0
HSP90B1_ERBB2,HSP90B1,ERBB2,1.0
HSP90AA1_ERBB2,HSP90AA1,ERBB2,1.0
PSEN1_NOTCH1,PSEN1,NOTCH1,1.0
MFAP2_NOTCH1,MFAP2,NOTCH1,1.0
JAG2_NOTCH1,JAG2,NOTCH1,1.0
PLAU_ST14,PLAU,ST14,1.0
SPINT1_ST14,SPINT1,ST14,1.0
GNAI2_ADRA2A,GNAI2,ADRA2A,1.0
AGT_ADRA2A,AGT,ADRA2A,1.0
SAA1_ADRA2A,SAA1,ADRA2A,1.0
CXCL2_ADRA2A,CXCL2,ADRA2A,1.0
APP_ADRA2A,APP,ADRA2A,0.8341708542713568
CXCL1_ADRA2A,CXCL1,ADRA2A,1.0
PPY_ADRA2A,PPY,ADRA2A,1.0
CXCL16_ADRA2A,CXCL16,ADRA2A,1.0
ANXA1_ADRA2A,ANXA1,ADRA2A,1.0
COL6A1_ITGA1,COL6A1,ITGA1,1.0
COL5A1_ITGA1,COL5A1,ITGA1,1.0
COL6A2_ITGA1,COL6A2,ITGA1,1.0
COL6A3_ITGA1,COL6A3,ITGA1,1.0
COL5A2_ITGA1,COL5A2,ITGA1,1.0
COL1A2_ITGA1,COL1A2,ITGA1,1.0
COL4A1_ITGA1,COL4A1,ITGA1,1.0
FBN1_ITGB6,FBN1,ITGB6,1.0
FN1_ITGB6,FN1,ITGB6,1.0
CSF1_CSF1R,CSF1,CSF1R,1.0
GPI_AMFR,GPI,AMFR,1.0
GNAS_PTGIR,GNAS,PTGIR,1.0
FGF19_FGFR4,FGF19,FGFR4,1.0
PLAU_ITGA5,PLAU,ITGA5,1.0
SPP1_ITGA5,SPP1,ITGA5,1.0
FGG_ITGA5,FGG,ITGA5,1.0
FGA_ITGA5,FGA,ITGA5,1.0
FGB_ITGA5,FGB,ITGA5,1.0
FBN1_ITGA5,FBN1,ITGA5,1.0
COL18A1_ITGA5,COL18A1,ITGA5,1.0
ADAM15_ITGA5,ADAM15,ITGA5,1.0
FN1_ITGA5,FN1,ITGA5,1.0
WNT7B_LRP5,WNT7B,LRP5,1.0
DKK1_LRP5,DKK1,LRP5,1.0
PSEN1_NCSTN,PSEN1,NCSTN,1.0
FN1_IL17RC,FN1,IL17RC,1.0
PLAU_ITGB5,PLAU,ITGB5,1.0
SPP1_ITGB5,SPP1,ITGB5,1.0
TLN1_ITGB5,TLN1,ITGB5,1.0
COL4A2_ITGB5,COL4A2,ITGB5,1.0
ADAM9_ITGB5,ADAM9,ITGB5,1.0
COL18A1_ITGB5,COL18A1,ITGB5,1.0
LTBP3_ITGB5,LTBP3,ITGB5,1.0
LTBP1_ITGB5,LTBP1,ITGB5,1.0
MST1_MST1R,MST1,MST1R,1.0
LAMC3_ITGA2,LAMC3,ITGA2,1.0
COL6A1_ITGA2,COL6A1,ITGA2,1.0
COL6A2_ITGA2,COL6A2,ITGA2,0.31760204081632654
MMP1_ITGA2,MMP1,ITGA2,1.0
HSPG2_ITGA2,HSPG2,ITGA2,0.9156094870380584
LAMB3_ITGA2,LAMB3,ITGA2,0.24477758663062177
COL1A2_ITGA2,COL1A2,ITGA2,0.44913419913419916
COL4A1_ITGA2,COL4A1,ITGA2,1.0
FN1_ITGA2,FN1,ITGA2,0.9156094870380584
COL7A1_ITGA2,COL7A1,ITGA2,1.0
COL3A1_ITGA2,COL3A1,ITGA2,0.17982883761239302
GAS6_AXL,GAS6,AXL,0.9156094870380584
LRPAP1_LRP8,LRPAP1,LRP8,1.0
INS_INSR,INS,INSR,1.0
ARF1_INSR,ARF1,INSR,1.0
HRAS_INSR,HRAS,INSR,1.0
CALM1_INSR,CALM1,INSR,1.0
FN1_ROBO4,FN1,ROBO4,1.0
CD6_ALCAM,CD6,ALCAM,1.0
S100A9_ALCAM,S100A9,ALCAM,1.0
PLAU_MRC2,PLAU,MRC2,0.9156094870380584
LGALS9_MRC2,LGALS9,MRC2,1.0
CALM1_AQP1,CALM1,AQP1,1.0
C1QA_CSPG4,C1QA,CSPG4,1.0
C4B_CD46,C4B,CD46,1.0
SEMA4A_PLXND1,SEMA4A,PLXND1,1.0
SEMA4D_MET,SEMA4D,MET,1.0
GNAS_VIPR1,GNAS,VIPR1,1.0
PTMA_VIPR1,PTMA,VIPR1,1.0
CALM1_VIPR1,CALM1,VIPR1,1.0
AFDN_EPHB3,AFDN,EPHB3,1.0
FAM3C_LAMP1,FAM3C,LAMP1,1.0
PLAU_PLAUR,PLAU,PLAUR,1.0
FN1_PLAUR,FN1,PLAUR,1.0
LAMB3_COL17A1,LAMB3,COL17A1,1.0
MDK_SDC3,MDK,SDC3,1.0
COL5A1_SDC3,COL5A1,SDC3,1.0
PLAU_IGF2R,PLAU,IGF2R,1.0
EFNA1_EPHA2,EFNA1,EPHA2,1.0
SEMA4D_PLXNB1,SEMA4D,PLXNB1,1.0
SEMA4A_PLXNB1,SEMA4A,PLXNB1,1.0
S100A10_TRPV6,S100A10,TRPV6,0.9156094870380584
B2M_TFRC,B2M,TFRC,1.0
SEMA3B_NRP2,SEMA3B,NRP2,1.0
VEGFA_NRP2,VEGFA,NRP2,1.0
PGF_NRP2,PGF,NRP2,1.0
LGALS9_CD47,LGALS9,CD47,1.0
THBS2_CD47,THBS2,CD47,1.0
COL4A1_CD47,COL4A1,CD47,1.0
GNAS_ADORA1,GNAS,ADORA1,1.0
AFDN_NECTIN4,AFDN,NECTIN4,1.0
AFDN_F11R,AFDN,F11R,1.0
CD59_CD2,CD59,CD2,1.0
MDK_TSPAN1,MDK,TSPAN1,0.3341384863123994
MDK_SDC4,MDK,SDC4,1.0
BMP2_ENG,BMP2,ENG,1.0
ALOX5AP_ALOX5,ALOX5AP,ALOX5,1.0
HLA-C_NOTCH4,HLA-C,NOTCH4,1.0
SPTBN2_PTPRA,SPTBN2,PTPRA,1.0
MDK_SDC1,MDK,SDC1,1.0
LAMB2_ITGB1,LAMB2,ITGB1,1.0
MDK_ITGB1,MDK,ITGB1,1.0
ADAM9_ITGB1,ADAM9,ITGB1,1.0
VEGFA_ITGB1,VEGFA,ITGB1,1.0
SPON2_ITGB2,SPON2,ITGB2,1.0
ICAM2_ITGB2,ICAM2,ITGB2,1.0
VEGFA_SIRPA,VEGFA,SIRPA,1.0
ADAM9_ITGA6,ADAM9,ITGA6,1.0
VIM_CD44,VIM,CD44,1.0
SEMA4D_PLXNB2,SEMA4D,PLXNB2,1.0
CXCL17_GPR35,CXCL17,GPR35,1.0
