,ligand,receptor,spc
SEMA3F_PLXNA3,SEMA3F,PLXNA3,1.0
SEMA3F_PLXNA1,SEMA3F,PLXNA1,1.0
SEMA3F_NRP2,SEMA3F,NRP2,1.0
DCN_MET,DCN,MET,1.0
GRN_TNFRSF1A,GRN,TNFRSF1A,0.8574380165289257
GRN_SORT1,GRN,SORT1,1.0
GRN_TNFRSF1B,GRN,TNFRSF1B,1.0
ICAM3_ITGB2,ICAM3,ITGB2,1.0
EFNB1_EPHB6,EFNB1,EPHB6,1.0
EFNB1_EPHB4,EFNB1,EPHB4,1.0
EFNB1_ERBB2,EFNB1,ERBB2,1.0
EFNB1_EPHB3,EFNB1,EPHB3,1.0
SEMA4G_PLXNB2,SEMA4G,PLXNB2,1.0
VCL_ITGB5,VCL,ITGB5,1.0
EFNA2_EPHA2,EFNA2,EPHA2,1.0
LGALS1_ITGB1,LGALS1,ITGB1,1.0
TIMP1_CD63,TIMP1,CD63,0.03984
MMP2_PECAM1,MMP2,PECAM1,1.0
MMP2_FGFR1,MMP2,FGFR1,1.0
PLAT_LRP1,PLAT,LRP1,1.0
PLAT_ITGB2,PLAT,ITGB2,1.0
TGFB1_ENG,TGFB1,ENG,1.0
TGFB1_SMAD3,TGFB1,SMAD3,1.0
TGFB1_ACVRL1,TGFB1,ACVRL1,1.0
TGFB1_ITGB6,TGFB1,ITGB6,1.0
TGFB1_ITGAV,TGFB1,ITGAV,1.0
TGFB1_ITGB1,TGFB1,ITGB1,0.36118363794604
TGFB1_CXCR4,TGFB1,CXCR4,1.0
TGFB1_ITGB5,TGFB1,ITGB5,1.0
COMP_ITGB1,COMP,ITGB1,0.38207764308731007
LAMB1_ITGA7,LAMB1,ITGA7,1.0
LAMB1_ITGAV,LAMB1,ITGAV,1.0
LAMB1_ITGB1,LAMB1,ITGB1,1.0
LAMB1_ITGA6,LAMB1,ITGA6,1.0
LAMB1_ITGA1,LAMB1,ITGA1,1.0
LAMB1_ITGA2,LAMB1,ITGA2,1.0
PDAP1_PDGFRB,PDAP1,PDGFRB,1.0
SERPINE1_PLAUR,SERPINE1,PLAUR,1.0
SERPINE1_ITGAV,SERPINE1,ITGAV,1.0
SERPINE1_LRP1,SERPINE1,LRP1,1.0
SERPINE1_ITGB5,SERPINE1,ITGB5,1.0
COL1A1_ITGA5,COL1A1,ITGA5,1.0
COL1A1_CD93,COL1A1,CD93,1.0
COL1A1_ITGA1,COL1A1,ITGA1,1.0
COL1A1_CD44,COL1A1,CD44,1.0
COL1A1_ITGAV,COL1A1,ITGAV,1.0
COL1A1_ITGB1,COL1A1,ITGB1,1.0
COL1A1_ITGA11,COL1A1,ITGA11,1.0
COL1A1_ITGA2,COL1A1,ITGA2,0.5341055341055341
COL1A1_DDR1,COL1A1,DDR1,1.0
LAMA4_ITGA6,LAMA4,ITGA6,1.0
LAMA4_ITGAV,LAMA4,ITGAV,1.0
LAMA4_ITGB1,LAMA4,ITGB1,1.0
HBEGF_CD44,HBEGF,CD44,1.0
HBEGF_CD9,HBEGF,CD9,1.0
HBEGF_ERBB2,HBEGF,ERBB2,1.0
LTF_LRP1,LTF,LRP1,1.0
LTF_TFRC,LTF,TFRC,1.0
CD160_TNFRSF14,CD160,TNFRSF14,1.0
FGF23_FGFR4,FGF23,FGFR4,1.0
FGF23_FGFR1,FGF23,FGFR1,1.0
FGF23_FGFR3,FGF23,FGFR3,1.0
TGFB3_ENG,TGFB3,ENG,1.0
TGFB3_ITGB1,TGFB3,ITGB1,1.0
TGFB3_ACVRL1,TGFB3,ACVRL1,1.0
TGFB3_ITGB6,TGFB3,ITGB6,1.0
TGFB3_ITGB5,TGFB3,ITGB5,1.0
TNFSF10_RIPK1,TNFSF10,RIPK1,1.0
TNFSF10_TNFRSF10B,TNFSF10,TNFRSF10B,1.0
INHBA_ENG,INHBA,ENG,0.4854747514135309
INHBA_SMAD3,INHBA,SMAD3,1.0
C3_CD46,C3,CD46,1.0
C3_ITGAX,C3,ITGAX,1.0
C3_ADRA2A,C3,ADRA2A,1.0
C3_ITGB2,C3,ITGB2,1.0
C3_CD81,C3,CD81,0.024900000000000002
LIF_IL6ST,LIF,IL6ST,0.3341384863123994
APOE_LDLR,APOE,LDLR,1.0
APOE_LRP5,APOE,LRP5,1.0
APOE_LSR,APOE,LSR,0.8499743983614951
APOE_SCARB1,APOE,SCARB1,1.0
APOE_LRP8,APOE,LRP8,1.0
LAMA5_SDC1,LAMA5,SDC1,1.0
LAMA5_ITGA6,LAMA5,ITGA6,1.0
LAMA5_BCAM,LAMA5,BCAM,1.0
LAMA5_ITGB1,LAMA5,ITGB1,1.0
LAMA5_ITGA2,LAMA5,ITGA2,1.0
JAG1_CD46,JAG1,CD46,1.0
JAG1_NOTCH4,JAG1,NOTCH4,1.0
JAG1_NOTCH1,JAG1,NOTCH1,1.0
JAG1_NOTCH2,JAG1,NOTCH2,1.0
JAG1_NOTCH3,JAG1,NOTCH3,1.0
