,ligand,receptor,spc
SEMA3F_PLXNA3,SEMA3F,PLXNA3,1.0
SEMA3F_PLXNA1,SEMA3F,PLXNA1,0.9686274509803922
SEMA3F_NRP2,SEMA3F,NRP2,1.0
DCN_MET,DCN,MET,0.4777562862669246
GRN_TNFRSF1A,GRN,TNFRSF1A,0.0035285714285714287
GRN_SORT1,GRN,SORT1,0.07687519452225335
GRN_TNFRSF1B,GRN,TNFRSF1B,0.12226512226512228
ICAM3_ITGB2,ICAM3,ITGB2,0.94113164412269
EFNB1_EPHB6,EFNB1,EPHB6,0.02702702702702703
EFNB1_EPHB4,EFNB1,EPHB4,0.7753884790456756
EFNB1_ERBB2,EFNB1,ERBB2,0.04312056737588653
EFNB1_EPHB3,EFNB1,EPHB3,0.8496732026143791
SEMA4G_PLXNB2,SEMA4G,PLXNB2,0.3129553373455813
VCL_ITGB5,VCL,ITGB5,0.9536679536679538
EFNA2_EPHA2,EFNA2,EPHA2,1.0
LGALS1_ITGB1,LGALS1,ITGB1,0.9045134120662821
TIMP1_CD63,TIMP1,CD63,0.866970866970867
MMP2_PECAM1,MMP2,PECAM1,1.0
MMP2_FGFR1,MMP2,FGFR1,0.9686274509803922
PLAT_LRP1,PLAT,LRP1,0.5277777777777778
PLAT_ITGB2,PLAT,ITGB2,1.0
TGFB1_ENG,TGFB1,ENG,0.36295507145218764
TGFB1_SMAD3,TGFB1,SMAD3,0.2631999573765251
TGFB1_ACVRL1,TGFB1,ACVRL1,0.2458200636942675
TGFB1_ITGB6,TGFB1,ITGB6,0.3129553373455813
TGFB1_ITGAV,TGFB1,ITGAV,0.019330434782608694
TGFB1_ITGB1,TGFB1,ITGB1,0.80837833415153
TGFB1_CXCR4,TGFB1,CXCR4,0.19730010384215993
TGFB1_ITGB5,TGFB1,ITGB5,0.16454874006961678
COMP_ITGB1,COMP,ITGB1,0.30805687203791465
LAMB1_ITGA7,LAMB1,ITGA7,0.6841157734385819
LAMB1_ITGAV,LAMB1,ITGAV,0.6280193236714976
LAMB1_ITGB1,LAMB1,ITGB1,0.25250460028624
LAMB1_ITGA6,LAMB1,ITGA6,0.9989888776541961
LAMB1_ITGA1,LAMB1,ITGA1,0.5022111523407716
LAMB1_ITGA2,LAMB1,ITGA2,0.661223397135591
PDAP1_PDGFRB,PDAP1,PDGFRB,0.4777562862669246
SERPINE1_PLAUR,SERPINE1,PLAUR,0.6301824212271974
SERPINE1_ITGAV,SERPINE1,ITGAV,1.0
SERPINE1_LRP1,SERPINE1,LRP1,0.6289788642729819
SERPINE1_ITGB5,SERPINE1,ITGB5,0.8712522045855379
COL1A1_ITGA5,COL1A1,ITGA5,0.9989888776541961
COL1A1_CD93,COL1A1,CD93,0.21307798481711523
COL1A1_ITGA1,COL1A1,ITGA1,1.0
COL1A1_CD44,COL1A1,CD44,0.3818800247371676
COL1A1_ITGAV,COL1A1,ITGAV,0.25181598062953997
COL1A1_ITGB1,COL1A1,ITGB1,0.9989888776541961
COL1A1_ITGA11,COL1A1,ITGA11,0.6015220700152206
COL1A1_ITGA2,COL1A1,ITGA2,0.8496732026143791
COL1A1_DDR1,COL1A1,DDR1,0.94113164412269
LAMA4_ITGA6,LAMA4,ITGA6,0.23888969485951933
LAMA4_ITGAV,LAMA4,ITGAV,0.9686274509803922
LAMA4_ITGB1,LAMA4,ITGB1,0.8496732026143791
HBEGF_CD44,HBEGF,CD44,0.7580174927113703
HBEGF_CD9,HBEGF,CD9,1.0
HBEGF_ERBB2,HBEGF,ERBB2,0.3744409914348518
LTF_LRP1,LTF,LRP1,0.007799999999999999
LTF_TFRC,LTF,TFRC,0.8712522045855379
CD160_TNFRSF14,CD160,TNFRSF14,0.25165562913907286
