,gene,input_int_frac,intrinsic,interactions,environmental,noise,scaled_intrinsic,scaled_interactions,scaled_environmental,scaled_noise,label,is_sv
0,A2M,0.0,0.0315819510093272,2.7868651585009927e-09,0.3369102088659917,0.591850744541067,0.03288611887737206,2.90194797878709e-09,0.3508228220762884,0.6162910561443915,0.0,sv
1,A2M,0.25,0.0721502216670074,0.0322712831379803,0.2572312972406311,0.5561166854107314,0.07861475310862186,0.03516273266767887,0.2802787636289392,0.60594375059476,0.0,sv
2,A2M,0.5,0.0421918658038138,0.0531098246987051,0.3510051696634564,0.5883399933306247,0.04077900170596947,0.05133135477019998,0.33925118360649403,0.5686384599173365,0.0,sv
3,A2M,0.75,1.0663939013350907e-09,0.6014881070978805,0.1300489847996452,0.2421703283527541,1.095189250887175e-09,0.6177298169141321,0.13356063839360433,0.24870954359707437,1.0,sv
4,A2M,0.99,0.0004664612255372,0.8256637902309655,0.1802319370591519,0.1027801822668083,0.00042056027956819216,0.7444164175681859,0.16249666571840032,0.09266635643384566,1.0,sv
5,A2M,0.01,0.031630504811893,0.0318459364344425,0.2422363957155854,0.7004571278482077,0.03143654245121688,0.031650653019097086,0.24075097069837215,0.6961618338313139,1.0,sv
6,A2M,0.1,0.0027463223453516,0.0108120113778203,0.2695864999907446,0.6863496210181608,0.0028327365174157233,0.011152215801799745,0.27806915106620766,0.707945896614577,0.0,sv
7,ACTR2,0.0,0.0009785432831884,5.879824465198598e-09,0.2410481396370466,0.6832334470943007,0.001057587207345247,6.354779847415706e-09,0.26051931806620904,0.7384230883716658,0.0,sv
8,ACTR2,0.25,0.0072120242498425,0.3764279096879439,0.2043302484423762,0.3580605882541397,0.007623456312110148,0.39790239532647914,0.21598689470256366,0.37848725365884706,1.0,sv
9,ACTR2,0.5,0.0016304510891977,0.4099281290450811,0.1453263532471897,0.4065637256318865,0.0016923071862152016,0.42547999336558195,0.1508397483224638,0.42198795112573906,1.0,sv
10,ACTR2,0.75,0.0001471695663591,0.8093461126028874,0.0486499670019395,0.095939857015962,0.00015425235538153633,0.8482972891505431,0.050991330510359735,0.10055712798371565,1.0,sv
11,ACTR2,0.99,2.4570773484807423e-10,0.9027242665605544,0.044739103912293,0.0077055077972501,2.572400968819971e-10,0.9450938853485865,0.04683894640894406,0.008067167985229322,1.0,sv
12,ACTR2,0.01,0.0266060709728645,0.0270452567293483,0.195243463297205,0.7030791243701908,0.027948319321895034,0.028409661538728027,0.2050932910503128,0.7385487280890641,1.0,sv
13,ACTR2,0.1,0.0062014690934882,0.004440534045391,0.2220973995151528,0.7240381653802221,0.00648162049433226,0.0046411351956278536,0.2321306507754594,0.7567465935345804,0.0,sv
14,ADAM10,0.0,0.0019769338832271,4.045865375226322e-11,0.9683843126000434,1.6128353024733396e-06,0.002037314046142444,4.169435522190944e-11,0.997961023817116,1.6620950471442093e-06,0.0,sv
15,ADAM10,0.25,0.0395379542093597,0.1096300359551123,0.4881932150094585,0.1316949244612363,0.05141101239010493,0.1425514103985099,0.6347952980246746,0.17124227918671056,0.0,sv
16,ADAM10,0.5,0.0734276568528688,0.7544659224673826,0.17810222461716,0.6801341839919949,0.04354804041118982,0.44745418672843745,0.10562781392428247,0.4033699589360902,1.0,sv
17,ADAM10,0.75,0.1074587859461576,0.8500767812558547,0.735230093393201,0.0622468708319624,0.061229640257196426,0.484370775725785,0.4189315348052314,0.035468049211787256,1.0,sv
18,ADAM10,0.99,0.002093219137748,0.2493603814936538,0.1611268174361949,0.1561136395126813,0.0036807473365457434,0.43847896451503465,0.28332776699262396,0.2745125211557956,0.0,sv
19,ADAM10,0.01,0.039343801053076,0.0264327269952998,0.5922897545921743,0.3609514966928146,0.03860953346546561,0.025939416888871095,0.581235937786725,0.3542151118589382,1.0,sv
20,ADAM10,0.1,0.0344975689087165,0.1018385068100365,0.6265126217005134,0.2723519233653599,0.033324524943357546,0.09837562378280686,0.6052088929638108,0.2630909583100248,1.0,sv
21,ADAM12,0.0,0.0002571239530142,1.1293118588505319e-07,0.1268322489166364,0.8443949790164232,0.00026467119375147815,1.1624600286973814e-07,0.13055509738953372,0.8691801151707119,0.0,sv
22,ADAM12,0.25,1.0619395175177498e-09,8.130662379834884e-09,0.1011186843468807,0.8739245390441666,1.089120443104707e-09,8.33877115201387e-09,0.10370687264700924,0.8962931179250992,0.0,sv
23,ADAM12,0.5,0.012865446904685,0.1500275139204444,0.0083861815955953,0.7765718108526434,0.013573280546118201,0.15828175664362623,0.008847574153545906,0.8192973886567096,0.0,sv
24,ADAM12,0.75,1.421751462558373e-09,0.157872797191566,0.0544362847012926,0.7509895789253898,1.4759196895927511e-09,0.1638876948343908,0.05651028786306997,0.7796020158266195,0.0,sv
