,SOMDE,SpatialDE,SPARKX,nnSVG,scGCO
CD99_CD81,0.0,0.0,6.96323932889376e-70,0,9.572071665775804e-15
LAMA5_ITGB4,0.0,0.0,1.52375693182043e-81,0,1.829629629629629e-28
LAMA5_SDC1,0.0,0.0,6.783481976749121e-85,0,1.829629629629629e-28
LAMA5_ITGA2,0.0,0.0,1.1637404737286101e-35,0,2.9979716846688734e-22
LAMA5_ITGA3,0.0,0.0,2.98415261319407e-72,0,1.829629629629629e-28
LAMB2_ITGB4,0.0,0.0,1.36885384815923e-56,0,3.427037884759983e-28
COL5A1_ITGB1,0.0,0.0,1.21939778636614e-54,0,1.829629629629629e-28
MMP7_CD151,0.0,0.0,3.22459160169191e-21,0,3.5983197255105607e-22
HSPA8_LDLR,0.0,0.0,5.23527047776242e-41,0,6.75145818216643e-21
CALM1_KCNQ1,0.0,0.0,1.4844500887719598e-30,0,1.829629629629629e-28
SEMA3F_NRP2,0.0,0.0005735868515873,9.917095042237222e-15,0,3.3553071811487144e-19
CEL_CXCR4,0.0,1.9184566296860706e-08,4.947609748881119e-30,0,1.2307121874147713e-15
VEGFA_NRP2,0.0,0.0011039988660366,8.68171604515505e-11,0,8.314901252864012e-14
INHBA_ENG,0.0,9.097734387936216e-08,1.68818604450724e-15,0,1.6390977404206182e-16
TIMP2_ITGB1,0.0,1.842891478965382e-09,2.35850382785978e-25,0,1.1707423548108406e-22
LAMC2_COL17A1,0.0,2.296367202125045e-08,2.26770349043328e-07,0,1.1372289155779853e-13
LAMB3_COL17A1,0.0,1.7082874277265115e-14,8.500970720230861e-19,0,1.829629629629629e-28
LAMA4_ITGA6,0.0,6.923929604022524e-08,4.67885831150651e-06,0,1.6110559386946266e-05
MMP7_SDC1,0.0,0.0,6.9568257720012905e-31,0,3.461854179433423e-26
AGT_ADRA2A,0.0,0.0,7.72660647437758e-34,0,1.829629629629629e-28
FN1_ITGB1,0.0,2.4208121728024533e-08,1.32303012949662e-34,0,7.064610864225664e-15
TGFB3_ENG,0.0,2.41755051120126e-09,3.6754233793130203e-10,0,1.8667668281424688e-19
COL1A2_ITGA2,0.0,0.0008831197943545,1.43886423603888e-13,0,1.0754561460537837e-13
SEMA3B_NRP2,0.0,5.276574243195202e-05,3.05777097135648e-13,0,4.0879893713476754e-18
COL6A1_ITGA6,0.0,4.835757721491024e-08,2.01195861842802e-09,0,3.4236466362584625e-10
CALM1_SCTR,0.0,0.0,1.36312575439553e-58,0,1.829629629629629e-28
FBN1_ITGB1,0.0,0.0,2.22807463689333e-26,0,1.829629629629629e-28
FN1_ITGA6,0.0,4.5824413014869595e-07,1.69353787036428e-15,0,2.9279888196518487e-10
TGFB1_ENG,0.0,1.027969703132483e-06,7.108065281675569e-29,0,2.01241683410384e-15
AGRN_ITGB1,0.0,7.776532320247552e-14,1.37471925770415e-35,0,3.315685155325379e-20
PGF_NRP2,0.0,0.0079279858225089,8.49380825376799e-14,0,1.6615956403148435e-08
ADAM9_ITGB1,0.0,5.63279025100265e-10,3.1981713787264e-29,0,1.438121568723671e-21
LAMC1_ITGB1,0.0,5.030895089341174e-08,3.80039692189243e-26,0,5.647899094321567e-17
COL7A1_ITGB1,0.0,9.38112596863642e-11,1.0220913981258201e-24,0,1.2598020283211513e-21
CALM1_AQP1,0.0,0.0,2.7934930126321e-60,0,2.2177353630183358e-28
BMP2_ENG,0.0,3.870318981302825e-05,3.28511868861898e-10,0,2.7312487556108936e-11
APP_TNFRSF21,0.0,0.0,3.9400552613757605e-25,0,1.8622517109869992e-22
FAM3C_LAMP1,0.0,1.169532938962294e-12,4.08458513003868e-18,0,3.883589671014802e-11
FN1_ITGA2,0.0,1.0130996785776574e-08,7.0863647281355305e-25,0,2.8173316854591567e-14
LAMC3_ITGB1,0.0,1.2390278114799191e-09,2.30041328910369e-27,0,2.4961242122432574e-12
MFGE8_PDGFRB,0.0,1.2084495362953824e-14,1.32926485768996e-46,0,1.150834460433364e-25
ICAM1_MUC1,0.0,3.87004982051519e-13,3.3512730804181704e-47,0,1.829629629629629e-28
PLAU_ITGB1,0.0,7.690202648389407e-09,2.55967449014211e-22,0,2.398745784258958e-07
LAMA5_ITGA6,0.0,2.298651465249644e-13,5.4694332931963e-26,0,7.746934281423503e-22
LAMC3_ITGA2,0.0,0.0001385112185331,6.0113405817619095e-12,0,9.197273805865662e-11
ADAM9_ITGA6,0.0,0.0016907082044903,2.88387233688857e-08,0,4.397030931369452e-08
