,ligand,receptor,spc
THBS1_CD47,THBS1,CD47,0.8648459383753502
THBS1_SDC1,THBS1,SDC1,0.7891373801916932
THBS1_ITGB1,THBS1,ITGB1,0.577980577980578
THBS1_LRP5,THBS1,LRP5,1.0
THBS1_SDC4,THBS1,SDC4,0.7815219110900173
THBS1_SCARB1,THBS1,SCARB1,1.0
THBS1_ITGA6,THBS1,ITGA6,1.0
ADAM10_GPNMB,ADAM10,GPNMB,0.577980577980578
ADAM10_TSPAN15,ADAM10,TSPAN15,0.7201166180758017
ADAM10_CD44,ADAM10,CD44,0.577980577980578
ADAM10_CADM1,ADAM10,CADM1,0.834177642688281
ADAM10_TSPAN14,ADAM10,TSPAN14,0.8728686279706689
ADAM10_NOTCH1,ADAM10,NOTCH1,0.7891373801916932
ADAM10_MET,ADAM10,MET,0.834177642688281
ADAM10_TSPAN17,ADAM10,TSPAN17,0.2587742273441592
ADAM10_AXL,ADAM10,AXL,1.0
VWF_SIRPA,VWF,SIRPA,0.11374625834676491
CDH1_LRP5,CDH1,LRP5,0.8977737392094502
CDH1_IGF1R,CDH1,IGF1R,1.0
CDH1_ERBB3,CDH1,ERBB3,0.06440342094284522
CDH1_PTPRM,CDH1,PTPRM,1.0
CDH1_PTPRF,CDH1,PTPRF,0.6016319571306784
SEMA7A_ITGB1,SEMA7A,ITGB1,0.06440342094284522
SEMA7A_ITGA1,SEMA7A,ITGA1,0.5771028037383178
TIMP2_CD44,TIMP2,CD44,0.44265232974910396
TIMP2_ITGB1,TIMP2,ITGB1,0.9070877708409841
LGALS3BP_ITGB1,LGALS3BP,ITGB1,1.0
LAMC2_ITGA6,LAMC2,ITGA6,1.0
LAMC2_CD151,LAMC2,CD151,0.656696576935859
LAMC2_ITGB1,LAMC2,ITGB1,0.9311092262746206
LAMC2_ITGA2,LAMC2,ITGA2,1.0
LAMC2_COL17A1,LAMC2,COL17A1,0.5197811447811448
NID1_ITGB1,NID1,ITGB1,1.0
NID1_PTPRF,NID1,PTPRF,0.0104
ICAM1_ITGAX,ICAM1,ITGAX,0.9709119496855346
ICAM1_MUC1,ICAM1,MUC1,0.8125
ICAM1_ITGB2,ICAM1,ITGB2,1.0
VCAN_CD44,VCAN,CD44,0.022935714285714285
VCAN_ITGB1,VCAN,ITGB1,0.11159302430649679
TIMP3_CD44,TIMP3,CD44,0.012886956521739129
TIMP3_MET,TIMP3,MET,0.37145650048875856
LUM_ITGB1,LUM,ITGB1,0.9070877708409841
CGN_F11R,CGN,F11R,0.5574362446400362
CALM2_INSR,CALM2,INSR,0.2360474006116208
CALM2_AQP1,CALM2,AQP1,0.016466666666666668
APP_LRP10,APP,LRP10,0.33021390374331555
APP_PLD1,APP,PLD1,0.7875019926669855
APP_TSPAN15,APP,TSPAN15,0.306965761511216
APP_TNFRSF21,APP,TNFRSF21,0.6401866131017948
APP_NCSTN,APP,NCSTN,0.4434868480114912
CALM3_INSR,CALM3,INSR,0.0755952745302075
CALM3_AQP1,CALM3,AQP1,0.2527629963160049
TFF2_MUC6,TFF2,MUC6,0.0054888888888888895
TFF1_MUC5AC,TFF1,MUC5AC,0.9070877708409841
TNFSF12_TNFRSF25,TNFSF12,TNFRSF25,0.8528269313767802
TNFSF12_TNFRSF12A,TNFSF12,TNFRSF12A,0.20575617476779542
FGF19_FGFR1,FGF19,FGFR1,0.9070877708409841
FGF19_FGFR3,FGF19,FGFR3,0.9852413242919824
VCAM1_ITGB1,VCAM1,ITGB1,0.7544864452080947
VCAM1_ITGB2,VCAM1,ITGB2,0.9070877708409841
VCAM1_EZR,VCAM1,EZR,0.4911513223304832
VCAM1_MSN,VCAM1,MSN,1.0
ARPC5_LDLR,ARPC5,LDLR,0.24932495520730816
COL6A3_ITGB1,COL6A3,ITGB1,0.32258064516129037
COL6A3_ITGA2,COL6A3,ITGA2,0.5068486123223721
LIPH_LPAR4,LIPH,LPAR4,0.49316162523709695
LIPH_LPAR2,LIPH,LPAR2,0.074423930156004
MELTF_TFRC,MELTF,TFRC,0.8042328042328042
COL1A2_CD44,COL1A2,CD44,0.42207792207792205
COL1A2_ITGB1,COL1A2,ITGB1,0.11159302430649679
COL1A2_ITGA11,COL1A2,ITGA11,0.08481414713709332
COL14A1_CD44,COL14A1,CD44,0.07068452380952381
COL6A2_ITGB1,COL6A2,ITGB1,0.5407772304324028
IL16_KCNJ15,IL16,KCNJ15,0.9852413242919824
CD14_ITGB1,CD14,ITGB1,0.9070877708409841
CD14_ITGB2,CD14,ITGB2,0.8728686279706689
COL3A1_ITGB1,COL3A1,ITGB1,0.9476309226932669
COL3A1_DDR1,COL3A1,DDR1,0.32869785082174463
FGB_ITGB1,FGB,ITGB1,0.5864197530864198
FGB_ITGB2,FGB,ITGB2,1.0
FGA_ITGAX,FGA,ITGAX,0.9070877708409841
FGA_ITGB1,FGA,ITGB1,0.6323604710701485
FGA_PLAUR,FGA,PLAUR,0.68826192964124
FGA_ITGB2,FGA,ITGB2,0.4686907020872865
SEMA4C_PLXNB2,SEMA4C,PLXNB2,0.9592233009708738
HAS2_CD44,HAS2,CD44,0.11768629693157996
EFEMP2_AQP1,EFEMP2,AQP1,0.4434868480114912
GNAI2_EDNRA,GNAI2,EDNRA,0.1566414053334179
GNAI2_ADORA1,GNAI2,ADORA1,0.5441727252698833
GNAI2_PTPRU,GNAI2,PTPRU,0.4952380952380952
AGTRAP_RACK1,AGTRAP,RACK1,0.7815219110900173
PKM_CD44,PKM,CD44,0.03283701143312949
MMP1_CD44,MMP1,CD44,0.3268492788143443
FBN1_ITGB1,FBN1,ITGB1,1.0
PSEN1_NOTCH4,PSEN1,NOTCH4,0.3849600623417105
PSEN1_CD44,PSEN1,CD44,0.4434868480114912
CSF1_SIRPA,CSF1,SIRPA,0.7815219110900173
JAG2_NOTCH4,JAG2,NOTCH4,0.10680157391793142
EFNA5_EPHB6,EFNA5,EPHB6,0.7222222222222223
EFNA5_EPHA2,EFNA5,EPHA2,0.41401273885350315
FBLN1_ITGB1,FBLN1,ITGB1,0.1869937164054811
COL7A1_ITGB1,COL7A1,ITGB1,1.0
HSP90AA1_FGFR3,HSP90AA1,FGFR3,0.5574362446400362
FGG_ITGB1,FGG,ITGB1,0.17351902913644426
FGG_ITGB2,FGG,ITGB2,0.32618025751072965
CXCL14_CXCR4,CXCL14,CXCR4,0.0755952745302075
RTN4_GJB2,RTN4,GJB2,0.45233952934712934
HMGB1_SDC1,HMGB1,SDC1,0.0054888888888888895
HMGB1_CXCR4,HMGB1,CXCR4,0.7222222222222223
FN1_ITGA6,FN1,ITGA6,1.0
FN1_CD44,FN1,CD44,0.09396100808368997
FN1_ITGB1,FN1,ITGB1,0.02966325599269828
COL18A1_ITGB1,COL18A1,ITGB1,0.5311827956989248
ADAM15_ITGB1,ADAM15,ITGB1,0.577980577980578
CALM1_PTPRA,CALM1,PTPRA,1.0
LAMC3_ITGA6,LAMC3,ITGA6,0.5022111523407716
LAMC3_ITGB1,LAMC3,ITGB1,0.2663862600771118
COL6A1_ITGB1,COL6A1,ITGB1,0.0104
COL6A1_ITGA6,COL6A1,ITGA6,0.7891373801916932
TGM2_ITGB1,TGM2,ITGB1,0.7201166180758017
TGM2_SDC4,TGM2,SDC4,0.007600000000000001
TGM2_ADGRG1,TGM2,ADGRG1,0.03283701143312949
THBS2_ITGB1,THBS2,ITGB1,0.7133574007220217
THBS2_NOTCH4,THBS2,NOTCH4,0.9311092262746206
THBS2_ITGA6,THBS2,ITGA6,0.5374823196605375
PTGS2_ALOX5,PTGS2,ALOX5,0.023848275862068967
SEMA4A_PLXNB2,SEMA4A,PLXNB2,0.3241469816272966
EFNA1_EPHB6,EFNA1,EPHB6,0.577980577980578
ADAM12_ITGB1,ADAM12,ITGB1,0.68826192964124
ADAM12_SDC4,ADAM12,SDC4,0.3241469816272966
S100A9_ITGB2,S100A9,ITGB2,0.9852413242919824
COL5A1_ITGB1,COL5A1,ITGB1,0.45708998380754107
CEL_CXCR4,CEL,CXCR4,1.0
SPTAN1_PTPRA,SPTAN1,PTPRA,0.4045864045864046
PLAU_ITGB1,PLAU,ITGB1,0.5864197530864198
PLAU_ITGB2,PLAU,ITGB2,0.9070877708409841
COL16A1_ITGB1,COL16A1,ITGB1,0.020125925925925926
HSPG2_SDC1,HSPG2,SDC1,0.32261224489795914
HSPG2_ITGB1,HSPG2,ITGB1,0.05483040312555496
HSPG2_FGFR1,HSPG2,FGFR1,0.9070877708409841
COL5A2_ITGB1,COL5A2,ITGB1,0.7133574007220217
COL5A2_DDR1,COL5A2,DDR1,0.7133574007220217
COL4A1_ITGB1,COL4A1,ITGB1,0.5864197530864198
ACTR2_LDLR,ACTR2,LDLR,0.02966325599269828
AGRN_ITGB1,AGRN,ITGB1,0.6374193548387097
ZG16B_CXCR4,ZG16B,CXCR4,1.0
LAMB3_CD151,LAMB3,CD151,0.20575617476779542
