,Ligand0,Receptor0,Receptor1,perm_pval,fdr,selected
THBS1_ITGAV_ITGB3,THBS1,ITGAV,,0.0,0.0,True
THBS2_ITGAV_ITGB3,THBS2,ITGAV,,1.0,1.0,False
COMP_ITGAV_ITGB3,COMP,ITGAV,,1.0,1.0,False
LAMC3_ITGA6_ITGB1,LAMC3,ITGA6,ITGB1,0.0,0.0,True
COL6A3_ITGA11_ITGB1,COL6A3,ITGA11,ITGB1,0.0,0.0,True
COL6A2_ITGA11_ITGB1,COL6A2,ITGA11,ITGB1,0.995,1.0,False
COL6A1_ITGA11_ITGB1,COL6A1,ITGA11,ITGB1,1.0,1.0,False
COL4A1_ITGA10_ITGB1,COL4A1,ITGB1,,1.0,1.0,False
COL4A2_ITGA10_ITGB1,COL4A2,ITGB1,,1.0,1.0,False
COL6A1_ITGA10_ITGB1,COL6A1,ITGB1,,1.0,1.0,False
COL6A2_ITGA10_ITGB1,COL6A2,ITGB1,,0.0,0.0,True
COL6A3_ITGA10_ITGB1,COL6A3,ITGB1,,0.0,0.0,True
COL1A1_ITGA11_ITGB1,COL1A1,ITGA11,ITGB1,1.0,1.0,False
COL4A1_ITGA11_ITGB1,COL4A1,ITGA11,ITGB1,1.0,1.0,False
COL4A2_ITGA11_ITGB1,COL4A2,ITGA11,ITGB1,1.0,1.0,False
COL1A1_ITGA10_ITGB1,COL1A1,ITGB1,,0.0,0.0,True
LAMC2_ITGA6_ITGB1,LAMC2,ITGA6,ITGB1,0.0,0.0,True
LAMB3_ITGA6_ITGB1,LAMB3,ITGA6,ITGB1,0.0,0.0,True
COL6A2_ITGA2_ITGB1,COL6A2,ITGA2,ITGB1,0.0020000000000000018,0.003668874172185434,True
COL6A3_ITGA2_ITGB1,COL6A3,ITGA2,ITGB1,0.0,0.0,True
FN1_ITGA3_ITGB1,FN1,ITGA3,ITGB1,1.0,1.0,False
FN1_ITGA4_ITGB1,FN1,ITGB1,,1.0,1.0,False
FN1_ITGA5_ITGB1,FN1,ITGA5,ITGB1,1.0,1.0,False
COL6A1_ITGA2_ITGB1,COL6A1,ITGA2,ITGB1,1.0,1.0,False
FN1_ITGA8_ITGB1,FN1,ITGB1,,1.0,1.0,False
LAMA4_ITGA1_ITGB1,LAMA4,ITGA1,ITGB1,1.0,1.0,False
LAMA5_ITGA1_ITGB1,LAMA5,ITGA1,ITGB1,0.0,0.0,True
LAMB1_ITGA1_ITGB1,LAMB1,ITGA1,ITGB1,1.0,1.0,False
LAMB2_ITGA1_ITGB1,LAMB2,ITGA1,ITGB1,1.0,1.0,False
LAMB3_ITGA1_ITGB1,LAMB3,ITGA1,ITGB1,0.0,0.0,True
LAMC1_ITGA1_ITGB1,LAMC1,ITGA1,ITGB1,0.0,0.0,True
LAMC2_ITGA1_ITGB1,LAMC2,ITGA1,ITGB1,0.0,0.0,True
LAMC3_ITGA1_ITGB1,LAMC3,ITGA1,ITGB1,0.04300000000000004,0.07538607594936715,True
COL1A1_ITGA1_ITGB1,COL1A1,ITGA1,ITGB1,0.0,0.0,True
COL1A2_ITGA1_ITGB1,COL1A2,ITGA1,ITGB1,0.08399999999999996,0.14187804878048774,False
COL4A1_ITGA1_ITGB1,COL4A1,ITGA1,ITGB1,1.0,1.0,False
COL4A2_ITGA1_ITGB1,COL4A2,ITGA1,ITGB1,1.0,1.0,False
COL6A1_ITGA1_ITGB1,COL6A1,ITGA1,ITGB1,1.0,1.0,False
COL6A2_ITGA1_ITGB1,COL6A2,ITGA1,ITGB1,0.0,0.0,True
COL6A3_ITGA1_ITGB1,COL6A3,ITGA1,ITGB1,0.0,0.0,True
COL1A1_ITGA2_ITGB1,COL1A1,ITGA2,ITGB1,0.018000000000000016,0.03196153846153849,True
COL1A2_ITGA2_ITGB1,COL1A2,ITGA2,ITGB1,0.17000000000000004,0.28029761904761913,False
COL4A1_ITGA2_ITGB1,COL4A1,ITGA2,ITGB1,1.0,1.0,False
COL4A2_ITGA2_ITGB1,COL4A2,ITGA2,ITGB1,1.0,1.0,False
LAMC1_ITGA6_ITGB1,LAMC1,ITGA6,ITGB1,0.0,0.0,True
LAMA4_ITGA2_ITGB1,LAMA4,ITGA2,ITGB1,1.0,1.0,False
COL4A1_ITGA3_ITGB1,COL4A1,ITGA3,ITGB1,1.0,1.0,False
COL4A2_ITGA3_ITGB1,COL4A2,ITGA3,ITGB1,1.0,1.0,False
COL6A1_ITGA3_ITGB1,COL6A1,ITGA3,ITGB1,1.0,1.0,False
COL6A2_ITGA3_ITGB1,COL6A2,ITGA3,ITGB1,0.018000000000000016,0.03196153846153849,True
COL6A3_ITGA3_ITGB1,COL6A3,ITGA3,ITGB1,0.0,0.0,True
COL1A2_ITGA3_ITGB1,COL1A2,ITGA3,ITGB1,0.0,0.0,True
LAMA4_ITGA6_ITGB1,LAMA4,ITGA6,ITGB1,1.0,1.0,False
LAMA5_ITGA6_ITGB1,LAMA5,ITGA6,ITGB1,0.0,0.0,True
LAMB1_ITGA6_ITGB1,LAMB1,ITGA6,ITGB1,1.0,1.0,False
LAMB2_ITGA6_ITGB1,LAMB2,ITGA6,ITGB1,1.0,1.0,False
COL1A1_ITGA3_ITGB1,COL1A1,ITGA3,ITGB1,0.38,0.6228402366863905,False
COMP_ITGA3_ITGB1,COMP,ITGA3,ITGB1,1.0,1.0,False
LAMA5_ITGA2_ITGB1,LAMA5,ITGA2,ITGB1,0.0,0.0,True
LAMB1_ITGA2_ITGB1,LAMB1,ITGA2,ITGB1,1.0,1.0,False
LAMB2_ITGA2_ITGB1,LAMB2,ITGA2,ITGB1,1.0,1.0,False
LAMB3_ITGA2_ITGB1,LAMB3,ITGA2,ITGB1,0.0,0.0,True
LAMC1_ITGA2_ITGB1,LAMC1,ITGA2,ITGB1,0.0,0.0,True
LAMC2_ITGA2_ITGB1,LAMC2,ITGA2,ITGB1,0.0,0.0,True
LAMC3_ITGA2_ITGB1,LAMC3,ITGA2,ITGB1,0.0,0.0,True
LAMA4_ITGA3_ITGB1,LAMA4,ITGA3,ITGB1,1.0,1.0,False
LAMA5_ITGA3_ITGB1,LAMA5,ITGA3,ITGB1,0.049000000000000044,0.08430434782608702,True
LAMB1_ITGA3_ITGB1,LAMB1,ITGA3,ITGB1,1.0,1.0,False
LAMB2_ITGA3_ITGB1,LAMB2,ITGA3,ITGB1,1.0,1.0,False
LAMB3_ITGA3_ITGB1,LAMB3,ITGA3,ITGB1,0.006000000000000005,0.010934210526315798,True
LAMC1_ITGA3_ITGB1,LAMC1,ITGA3,ITGB1,0.0,0.0,True
LAMC2_ITGA3_ITGB1,LAMC2,ITGA3,ITGB1,0.0,0.0,True
LAMC3_ITGA3_ITGB1,LAMC3,ITGA3,ITGB1,0.0,0.0,True
THBS1_ITGA3_ITGB1,THBS1,ITGA3,ITGB1,0.0,0.0,True
THBS2_ITGA3_ITGB1,THBS2,ITGA3,ITGB1,1.0,1.0,False
COL1A2_ITGA11_ITGB1,COL1A2,ITGA11,ITGB1,0.0,0.0,True
COMP_SDC4,COMP,SDC4,,1.0,1.0,False
THBS2_SDC4,THBS2,SDC4,,1.0,1.0,False
