"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Cancer_region","Pancreatic_tissue","FGF19","FGFR1",9.61382192352662e-06,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"2","Duct_epithelium","Pancreatic_tissue","FGF19","FGFR1",6.40563836715414e-06,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"3","Pancreatic_tissue","Pancreatic_tissue","FGF19","FGFR1",2.78525644349467e-06,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"4","Stroma","Pancreatic_tissue","FGF19","FGFR1",8.13461551058288e-06,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"5","Cancer_region","Pancreatic_tissue","FGF19","FGFR3",1.57292541662279e-05,0,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"6","Duct_epithelium","Pancreatic_tissue","FGF19","FGFR3",1.04809009268751e-05,0,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"7","Pancreatic_tissue","Pancreatic_tissue","FGF19","FGFR3",4.5573195530176e-06,0.02,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"8","Stroma","Pancreatic_tissue","FGF19","FGFR3",1.33096827382657e-05,0,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"9","Cancer_region","Pancreatic_tissue","FGF19","FGFR4",6.11843224256618e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"10","Duct_epithelium","Pancreatic_tissue","FGF19","FGFR4",4.07654930922231e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"11","Pancreatic_tissue","Pancreatic_tissue","FGF19","FGFR4",1.77251877569671e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"12","Stroma","Pancreatic_tissue","FGF19","FGFR4",5.17690829494513e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"13","Cancer_region","Pancreatic_tissue","FGF23","FGFR1",4.47933283387811e-06,0,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"14","Duct_epithelium","Pancreatic_tissue","FGF23","FGFR1",4.84450708098871e-06,0,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"15","Pancreatic_tissue","Pancreatic_tissue","FGF23","FGFR1",5.51714317103881e-06,0,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"16","Stroma","Pancreatic_tissue","FGF23","FGFR1",4.07918782474261e-06,0,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"17","Pancreatic_tissue","Duct_epithelium","FGF23","FGFR3",3.82715889089517e-06,0.02,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"18","Cancer_region","Pancreatic_tissue","FGF23","FGFR3",7.32928449313563e-06,0,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"19","Duct_epithelium","Pancreatic_tissue","FGF23","FGFR3",7.92677305726228e-06,0,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"20","Pancreatic_tissue","Pancreatic_tissue","FGF23","FGFR3",9.02658978024793e-06,0,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"21","Stroma","Pancreatic_tissue","FGF23","FGFR3",6.67465582813988e-06,0,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"22","Pancreatic_tissue","Cancer_region","FGF23","FGFR4",2.04247319196233e-06,0.01,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"23","Cancer_region","Pancreatic_tissue","FGF23","FGFR4",2.85060296004419e-06,0,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"24","Duct_epithelium","Pancreatic_tissue","FGF23","FGFR4",3.08300197312752e-06,0,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"25","Pancreatic_tissue","Pancreatic_tissue","FGF23","FGFR4",3.51123441375852e-06,0,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"26","Stroma","Pancreatic_tissue","FGF23","FGFR4",2.59593098155199e-06,0.01,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"27","Cancer_region","Pancreatic_tissue","INS","INSR",9.3652113657862e-06,0,"INS_INSSR","INS - INSSR","INSULIN","Secreted Signaling","KEGG: hsa04911; PMID: 24633815"
"28","Duct_epithelium","Pancreatic_tissue","INS","INSR",6.14309701726226e-06,0.01,"INS_INSSR","INS - INSSR","INSULIN","Secreted Signaling","KEGG: hsa04911; PMID: 24633815"
"29","Pancreatic_tissue","Pancreatic_tissue","INS","INSR",3.0779526781661e-06,0.04,"INS_INSSR","INS - INSSR","INSULIN","Secreted Signaling","KEGG: hsa04911; PMID: 24633815"
"30","Stroma","Pancreatic_tissue","INS","INSR",1.3912476281633e-05,0,"INS_INSSR","INS - INSSR","INSULIN","Secreted Signaling","KEGG: hsa04911; PMID: 24633815"
"31","Stroma","Duct_epithelium","SPP1","ITGAV_ITGB1",5.24186067370254e-06,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"32","Cancer_region","Pancreatic_tissue","SPP1","ITGAV_ITGB1",2.80604932398492e-06,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"33","Duct_epithelium","Pancreatic_tissue","SPP1","ITGAV_ITGB1",2.49834481677933e-06,0.03,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"34","Stroma","Pancreatic_tissue","SPP1","ITGAV_ITGB1",4.84614114546619e-06,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"35","Cancer_region","Pancreatic_tissue","SPP1","ITGAV_ITGB5",5.0193302422351e-06,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"36","Duct_epithelium","Pancreatic_tissue","SPP1","ITGAV_ITGB5",4.4689580428879e-06,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"37","Stroma","Pancreatic_tissue","SPP1","ITGAV_ITGB5",8.66831634952775e-06,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"38","Stroma","Duct_epithelium","SPP1","ITGAV_ITGB6",4.13289290152908e-06,0,"SPP1_ITGAV_ITGB6","SPP1 - (ITGAV+ITGB6)","SPP1","Secreted Signaling","PMID: 21907263"
"39","Cancer_region","Pancreatic_tissue","SPP1","ITGAV_ITGB6",2.1735915252359e-06,0.01,"SPP1_ITGAV_ITGB6","SPP1 - (ITGAV+ITGB6)","SPP1","Secreted Signaling","PMID: 21907263"
"40","Duct_epithelium","Pancreatic_tissue","SPP1","ITGAV_ITGB6",1.93523642786311e-06,0.03,"SPP1_ITGAV_ITGB6","SPP1 - (ITGAV+ITGB6)","SPP1","Secreted Signaling","PMID: 21907263"
"41","Stroma","Pancreatic_tissue","SPP1","ITGAV_ITGB6",3.75389443654574e-06,0,"SPP1_ITGAV_ITGB6","SPP1 - (ITGAV+ITGB6)","SPP1","Secreted Signaling","PMID: 21907263"
"42","Stroma","Cancer_region","SPP1","ITGA5_ITGB1",7.21414986630205e-06,0,"SPP1_ITGA5_ITGB1","SPP1 - (ITGA5+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"43","Stroma","Duct_epithelium","SPP1","ITGA5_ITGB1",6.12111167551572e-06,0.01,"SPP1_ITGA5_ITGB1","SPP1 - (ITGA5+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"44","Stroma","Pancreatic_tissue","SPP1","ITGA5_ITGB1",5.17170382378427e-06,0,"SPP1_ITGA5_ITGB1","SPP1 - (ITGA5+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"45","Cancer_region","Cancer_region","MDK","SDC1",3.58190903115467e-05,0,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"46","Duct_epithelium","Cancer_region","MDK","SDC1",2.74580589524818e-05,0,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"47","Stroma","Cancer_region","MDK","SDC1",2.27369042930056e-05,0.01,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"48","Cancer_region","Duct_epithelium","MDK","SDC1",1.90816725631519e-05,0.02,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"49","Cancer_region","Cancer_region","MDK","ITGA6_ITGB1",1.83219964761353e-06,0.01,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"50","Cancer_region","Duct_epithelium","MDK","ITGA6_ITGB1",1.67281138837211e-06,0.02,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"51","Cancer_region","Pancreatic_tissue","MDK","ITGA6_ITGB1",1.4807311557579e-06,0.01,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"52","Cancer_region","Cancer_region","MDK","LRP1",6.06596385399713e-06,0.01,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350"
"53","Cancer_region","Duct_epithelium","MDK","LRP1",6.84809404040497e-06,0.01,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350"
"54","Cancer_region","Pancreatic_tissue","MDK","LRP1",6.29015775701931e-06,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350"
"55","Duct_epithelium","Pancreatic_tissue","MDK","LRP1",4.82145364160401e-06,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350"
"56","Cancer_region","Duct_epithelium","C3","ITGAX_ITGB2",1.42663502035292e-06,0.04,"C3_ITGAX_ITGB2","C3 - (ITGAX+ITGB2)","COMPLEMENT","Secreted Signaling","PMID: 16234578"
"57","Cancer_region","Pancreatic_tissue","C3","ITGAX_ITGB2",2.23120823466118e-06,0,"C3_ITGAX_ITGB2","C3 - (ITGAX+ITGB2)","COMPLEMENT","Secreted Signaling","PMID: 16234578"
"58","Duct_epithelium","Pancreatic_tissue","C3","ITGAX_ITGB2",1.35551157426908e-06,0.01,"C3_ITGAX_ITGB2","C3 - (ITGAX+ITGB2)","COMPLEMENT","Secreted Signaling","PMID: 16234578"
"59","Pancreatic_tissue","Pancreatic_tissue","C3","ITGAX_ITGB2",6.8345245182628e-07,0.03,"C3_ITGAX_ITGB2","C3 - (ITGAX+ITGB2)","COMPLEMENT","Secreted Signaling","PMID: 16234578"
"60","Stroma","Pancreatic_tissue","C3","ITGAX_ITGB2",1.69464832944034e-06,0.01,"C3_ITGAX_ITGB2","C3 - (ITGAX+ITGB2)","COMPLEMENT","Secreted Signaling","PMID: 16234578"
"61","Cancer_region","Cancer_region","SEMA3B","NRP2_PLXNA1",1.16776039875037e-06,0,"SEMA3B_NRP2_PLXNA1","SEMA3B - (NRP2+PLXNA1)","SEMA3","Secreted Signaling","PMID: 27533782"
"62","Pancreatic_tissue","Cancer_region","SEMA3B","NRP2_PLXNA1",8.94076689089898e-07,0,"SEMA3B_NRP2_PLXNA1","SEMA3B - (NRP2+PLXNA1)","SEMA3","Secreted Signaling","PMID: 27533782"
"63","Cancer_region","Pancreatic_tissue","SEMA3B","NRP2_PLXNA1",8.26127440366559e-07,0,"SEMA3B_NRP2_PLXNA1","SEMA3B - (NRP2+PLXNA1)","SEMA3","Secreted Signaling","PMID: 27533782"
"64","Pancreatic_tissue","Pancreatic_tissue","SEMA3B","NRP2_PLXNA1",6.32509866479923e-07,0,"SEMA3B_NRP2_PLXNA1","SEMA3B - (NRP2+PLXNA1)","SEMA3","Secreted Signaling","PMID: 27533782"
"65","Pancreatic_tissue","Cancer_region","SEMA3B","NRP2_PLXNA2",5.1620039238285e-07,0.02,"SEMA3B_NRP2_PLXNA2","SEMA3B - (NRP2+PLXNA2)","SEMA3","Secreted Signaling","PMID: 27533782"
"66","Pancreatic_tissue","Duct_epithelium","SEMA3B","NRP2_PLXNA2",5.15888345660597e-07,0.02,"SEMA3B_NRP2_PLXNA2","SEMA3B - (NRP2+PLXNA2)","SEMA3","Secreted Signaling","PMID: 27533782"
"67","Cancer_region","Pancreatic_tissue","SEMA3B","NRP2_PLXNA2",1.14725868669113e-06,0,"SEMA3B_NRP2_PLXNA2","SEMA3B - (NRP2+PLXNA2)","SEMA3","Secreted Signaling","PMID: 27533782"
"68","Pancreatic_tissue","Pancreatic_tissue","SEMA3B","NRP2_PLXNA2",8.78375553670928e-07,0,"SEMA3B_NRP2_PLXNA2","SEMA3B - (NRP2+PLXNA2)","SEMA3","Secreted Signaling","PMID: 27533782"
"69","Cancer_region","Cancer_region","SEMA3B","NRP2_PLXNA3",1.25127335571201e-06,0,"SEMA3B_NRP2_PLXNA3","SEMA3B - (NRP2+PLXNA3)","SEMA3","Secreted Signaling","PMID: 27533782"
"70","Pancreatic_tissue","Cancer_region","SEMA3B","NRP2_PLXNA3",9.58016586816696e-07,0,"SEMA3B_NRP2_PLXNA3","SEMA3B - (NRP2+PLXNA3)","SEMA3","Secreted Signaling","PMID: 27533782"
"71","Cancer_region","Duct_epithelium","SEMA3B","NRP2_PLXNA3",1.02924735480929e-06,0.01,"SEMA3B_NRP2_PLXNA3","SEMA3B - (NRP2+PLXNA3)","SEMA3","Secreted Signaling","PMID: 27533782"
"72","Pancreatic_tissue","Duct_epithelium","SEMA3B","NRP2_PLXNA3",7.88027180196776e-07,0.01,"SEMA3B_NRP2_PLXNA3","SEMA3B - (NRP2+PLXNA3)","SEMA3","Secreted Signaling","PMID: 27533782"
"73","Cancer_region","Pancreatic_tissue","SEMA3B","NRP2_PLXNA3",9.87407089785488e-07,0.01,"SEMA3B_NRP2_PLXNA3","SEMA3B - (NRP2+PLXNA3)","SEMA3","Secreted Signaling","PMID: 27533782"
"74","Pancreatic_tissue","Pancreatic_tissue","SEMA3B","NRP2_PLXNA3",7.55989579534468e-07,0,"SEMA3B_NRP2_PLXNA3","SEMA3B - (NRP2+PLXNA3)","SEMA3","Secreted Signaling","PMID: 27533782"
"75","Duct_epithelium","Cancer_region","SEMA3F","NRP2_PLXNA1",1.63233299240029e-06,0,"SEMA3F_NRP2_PLXNA1","SEMA3F - (NRP2+PLXNA1)","SEMA3","Secreted Signaling","PMID: 27533782"
"76","Pancreatic_tissue","Cancer_region","SEMA3F","NRP2_PLXNA1",7.54531261153062e-07,0.01,"SEMA3F_NRP2_PLXNA1","SEMA3F - (NRP2+PLXNA1)","SEMA3","Secreted Signaling","PMID: 27533782"
"77","Duct_epithelium","Pancreatic_tissue","SEMA3F","NRP2_PLXNA1",1.15478560422187e-06,0,"SEMA3F_NRP2_PLXNA1","SEMA3F - (NRP2+PLXNA1)","SEMA3","Secreted Signaling","PMID: 27533782"
"78","Pancreatic_tissue","Pancreatic_tissue","SEMA3F","NRP2_PLXNA1",5.33789717299143e-07,0.01,"SEMA3F_NRP2_PLXNA1","SEMA3F - (NRP2+PLXNA1)","SEMA3","Secreted Signaling","PMID: 27533782"
"79","Duct_epithelium","Duct_epithelium","SEMA3F","NRP2_PLXNA2",9.41867026268349e-07,0.04,"SEMA3F_NRP2_PLXNA2","SEMA3F - (NRP2+PLXNA2)","SEMA3","Secreted Signaling","PMID: 27533782"
"80","Duct_epithelium","Pancreatic_tissue","SEMA3F","NRP2_PLXNA2",1.60366784598079e-06,0,"SEMA3F_NRP2_PLXNA2","SEMA3F - (NRP2+PLXNA2)","SEMA3","Secreted Signaling","PMID: 27533782"
"81","Pancreatic_tissue","Pancreatic_tissue","SEMA3F","NRP2_PLXNA2",7.41282774801557e-07,0,"SEMA3F_NRP2_PLXNA2","SEMA3F - (NRP2+PLXNA2)","SEMA3","Secreted Signaling","PMID: 27533782"
"82","Stroma","Pancreatic_tissue","SEMA3F","NRP2_PLXNA2",1.03299879594854e-06,0.04,"SEMA3F_NRP2_PLXNA2","SEMA3F - (NRP2+PLXNA2)","SEMA3","Secreted Signaling","PMID: 27533782"
"83","Duct_epithelium","Cancer_region","SEMA3F","NRP2_PLXNA3",1.74906936441969e-06,0.02,"SEMA3F_NRP2_PLXNA3","SEMA3F - (NRP2+PLXNA3)","SEMA3","Secreted Signaling","PMID: 27533782"
"84","Duct_epithelium","Duct_epithelium","SEMA3F","NRP2_PLXNA3",1.43871624307707e-06,0.03,"SEMA3F_NRP2_PLXNA3","SEMA3F - (NRP2+PLXNA3)","SEMA3","Secreted Signaling","PMID: 27533782"
