"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Cancer_region","Pancreatic_tissue","FGF19","FGFR1",9.05110399817558e-06,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"2","Duct_epithelium","Pancreatic_tissue","FGF19","FGFR1",8.93829391972794e-06,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"3","Stroma","Pancreatic_tissue","FGF19","FGFR1",1.4961512696491e-05,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"4","Cancer_region","Pancreatic_tissue","FGF19","FGFR3",1.48087219138035e-05,0,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"5","Duct_epithelium","Pancreatic_tissue","FGF19","FGFR3",1.46242494024288e-05,0,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"6","Stroma","Pancreatic_tissue","FGF19","FGFR3",2.44773803572413e-05,0,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"7","Cancer_region","Pancreatic_tissue","FGF19","FGFR4",5.76027701783725e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"8","Duct_epithelium","Pancreatic_tissue","FGF19","FGFR4",5.68846081952042e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"9","Stroma","Pancreatic_tissue","FGF19","FGFR4",9.52209520970936e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"10","Pancreatic_tissue","Cancer_region","FGF23","FGFR1",2.81325158676368e-06,0.02,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"11","Pancreatic_tissue","Duct_epithelium","FGF23","FGFR1",5.06052146938661e-06,0,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"12","Duct_epithelium","Pancreatic_tissue","FGF23","FGFR1",4.9025357224873e-06,0.01,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"13","Pancreatic_tissue","Pancreatic_tissue","FGF23","FGFR1",1.21551934070978e-05,0,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"14","Stroma","Pancreatic_tissue","FGF23","FGFR1",5.07663981886247e-06,0,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"15","Pancreatic_tissue","Cancer_region","FGF23","FGFR3",7.31361446695674e-06,0,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"16","Pancreatic_tissue","Duct_epithelium","FGF23","FGFR3",8.43350135390822e-06,0,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"17","Duct_epithelium","Pancreatic_tissue","FGF23","FGFR3",8.02171450446641e-06,0,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"18","Pancreatic_tissue","Pancreatic_tissue","FGF23","FGFR3",1.98832180863848e-05,0,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"19","Stroma","Pancreatic_tissue","FGF23","FGFR3",8.30664211278589e-06,0.02,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"20","Pancreatic_tissue","Stroma","FGF23","FGFR3",7.10817474039668e-06,0,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"21","Pancreatic_tissue","Cancer_region","FGF23","FGFR4",4.50100875754287e-06,0,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"22","Pancreatic_tissue","Duct_epithelium","FGF23","FGFR4",2.24927647571184e-06,0.03,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"23","Duct_epithelium","Pancreatic_tissue","FGF23","FGFR4",3.11993251582836e-06,0.01,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"24","Pancreatic_tissue","Pancreatic_tissue","FGF23","FGFR4",7.73670138413757e-06,0,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"25","Stroma","Pancreatic_tissue","FGF23","FGFR4",3.23071936382486e-06,0.02,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"26","Pancreatic_tissue","Stroma","FGF23","FGFR4",2.80612238959693e-06,0.01,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"27","Stroma","Duct_epithelium","PDGFB","PDGFRA",4.01320701015671e-06,0.03,"PDGFB_PDGFRA","PDGFB - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812"
"28","Stroma","Pancreatic_tissue","PDGFB","PDGFRA",3.04849286890837e-06,0,"PDGFB_PDGFRA","PDGFB - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812"
"29","Stroma","Duct_epithelium","PDGFB","PDGFRB",1.16737400738209e-05,0,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"30","Cancer_region","Pancreatic_tissue","PDGFB","PDGFRB",6.87918195278355e-06,0,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"31","Duct_epithelium","Pancreatic_tissue","PDGFB","PDGFRB",7.03305169086496e-06,0,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"32","Stroma","Pancreatic_tissue","PDGFB","PDGFRB",1.237077266282e-05,0,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"33","Pancreatic_tissue","Cancer_region","INS","INSR",7.62071920836964e-06,0,"INS_INSSR","INS - INSSR","INSULIN","Secreted Signaling","KEGG: hsa04911; PMID: 24633815"
"34","Pancreatic_tissue","Duct_epithelium","INS","INSR",7.84314263069138e-06,0,"INS_INSSR","INS - INSSR","INSULIN","Secreted Signaling","KEGG: hsa04911; PMID: 24633815"
"35","Duct_epithelium","Pancreatic_tissue","INS","INSR",5.06950038678961e-06,0.04,"INS_INSSR","INS - INSSR","INSULIN","Secreted Signaling","KEGG: hsa04911; PMID: 24633815"
"36","Pancreatic_tissue","Pancreatic_tissue","INS","INSR",1.76507287763717e-05,0,"INS_INSSR","INS - INSSR","INSULIN","Secreted Signaling","KEGG: hsa04911; PMID: 24633815"
"37","Pancreatic_tissue","Cancer_region","SPP1","ITGAV_ITGB1",5.16418394660758e-06,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"38","Pancreatic_tissue","Duct_epithelium","SPP1","ITGAV_ITGB1",1.13587904565331e-05,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"39","Duct_epithelium","Pancreatic_tissue","SPP1","ITGAV_ITGB1",4.68882415633432e-06,0.01,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"40","Pancreatic_tissue","Pancreatic_tissue","SPP1","ITGAV_ITGB1",1.04996103354645e-05,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"41","Pancreatic_tissue","Cancer_region","SPP1","ITGAV_ITGB5",1.2030077098847e-05,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"42","Pancreatic_tissue","Duct_epithelium","SPP1","ITGAV_ITGB5",1.19568492063704e-05,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"43","Duct_epithelium","Pancreatic_tissue","SPP1","ITGAV_ITGB5",8.38685923066217e-06,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"44","Pancreatic_tissue","Pancreatic_tissue","SPP1","ITGAV_ITGB5",1.87750966984391e-05,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"45","Pancreatic_tissue","Stroma","SPP1","ITGAV_ITGB5",6.60221461726856e-06,0.04,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"46","Pancreatic_tissue","Cancer_region","SPP1","ITGAV_ITGB6",6.17222167788798e-06,0,"SPP1_ITGAV_ITGB6","SPP1 - (ITGAV+ITGB6)","SPP1","Secreted Signaling","PMID: 21907263"
"47","Pancreatic_tissue","Duct_epithelium","SPP1","ITGAV_ITGB6",8.95613976912737e-06,0,"SPP1_ITGAV_ITGB6","SPP1 - (ITGAV+ITGB6)","SPP1","Secreted Signaling","PMID: 21907263"
"48","Duct_epithelium","Pancreatic_tissue","SPP1","ITGAV_ITGB6",3.63204216304748e-06,0.03,"SPP1_ITGAV_ITGB6","SPP1 - (ITGAV+ITGB6)","SPP1","Secreted Signaling","PMID: 21907263"
