,gene,input_int_frac,intrinsic,interactions,environmental,noise,scaled_intrinsic,scaled_interactions,scaled_environmental,scaled_noise,label,is_sv
0,ADAM10,0.0,0.1035156232534692,0.0103249225719393,0.8644429755185984,4.979790710438104e-08,0.10581351492250787,0.010554120376249804,0.8836323137978963,5.0903345996349295e-08,0,non_sv
1,ADAM10,0.25,0.0605000672399401,0.1162116111597736,0.5018853813621527,0.0909178705025833,0.07862104406362694,0.1510193065647688,0.6522100632793127,0.11814958609229154,0,non_sv
2,ADAM10,0.5,0.0582060324830617,0.7262352646642118,0.1875225453964961,0.3618912084131674,0.04363744954243972,0.5444634063822712,0.14058689905021038,0.2713122450250788,0,non_sv
3,ADAM10,0.75,0.0286607271573493,0.8124475144121363,0.2287333492266174,0.1078113528019074,0.024337159188668904,0.6898870493457228,0.19422814715495257,0.09154764431065576,0,non_sv
4,ADAM10,0.99,0.008631252662472,0.3449271611759638,0.2658414146559367,0.0069482057451864,0.013780282192393392,0.550695687254348,0.4244308277884058,0.011093202764852815,0,non_sv
5,ADAM10,0.01,0.038342120375281,0.0059380299276374,0.7018709315677736,0.2395847265110867,0.03889695398021999,0.0060239568017575575,0.712027427227171,0.24305166199085138,0,non_sv
6,ADAM10,0.1,0.1140921487483331,0.1381200720756606,0.2182693326595807,0.5455403584590323,0.11229300018755695,0.135942020986121,0.21482738717933317,0.536937591646989,0,non_sv
7,ADAM12,0.0,0.0165136429848517,0.0418246576215502,0.000628820871947,0.9133874969381348,0.01698314860862675,0.043013790266830054,0.0006466991157722463,0.9393563620087709,0,non_sv
8,ADAM12,0.25,1.361486851828845e-26,0.092773658558794,0.0789158901335326,0.764647997960932,1.4540555985340896e-26,0.09908142516594994,0.08428145428494332,0.8166371205491066,0,non_sv
9,ADAM12,0.5,0.0088669137220444,0.5584215910186715,0.2609848569520235,0.4963351741558107,0.00669398805916966,0.4215748093914737,0.19702791420171203,0.3747032883476447,0,non_sv
10,ADAM12,0.75,3.376663122561676e-07,0.6338408312466838,0.0740238591571303,0.3201731058377617,3.284569911551768e-07,0.6165538128797426,0.07200497405260925,0.31144088461065705,0,non_sv
11,ADAM12,0.99,7.567940401866213e-06,0.6730189591339001,0.0741334927399085,0.1589613921829489,8.352015857550376e-06,0.7427469986064185,0.0818140833649574,0.17543056601276655,0,non_sv
12,ADAM12,0.01,1.325331026241885e-65,0.005782780307762,0.1383605330064265,0.8433906500418855,1.3420612104699956e-65,0.0058557786591051245,0.1401071134163494,0.8540371079245455,0,non_sv
13,ADAM12,0.1,1.613635436456349e-09,2.2142908852266487e-12,0.1870526419133872,0.7846783432809362,1.6605783476693549e-09,2.2787077033483637e-12,0.19249426482468215,0.8075057335124608,0,non_sv
14,ADAM15,0.0,0.0295366530719512,3.558356542110907e-09,0.0380436287866107,0.9172513888808176,0.029991575050643253,3.6131621626084484e-09,0.03862957475828432,0.9313788465779103,0,non_sv
15,ADAM15,0.25,0.0053755766313199,0.1897594892712775,0.0329027519174992,0.6647134480111722,0.006021359853592066,0.21255583333683262,0.03685545255078683,0.7445673542587885,0,non_sv
16,ADAM15,0.5,0.0516423742896432,0.1890901133406289,2.258874624193891e-07,0.543232583150111,0.06587329121473003,0.24119704551251783,2.8813451740720897e-07,0.6929293751382347,0,non_sv
17,ADAM15,0.75,0.003531603977376,0.7273782585892428,0.0396845423796982,0.2116093008420784,0.003595592193924021,0.7405574366117778,0.0404035763109285,0.21544339488336978,0,non_sv
18,ADAM15,0.99,0.0018498539204204,0.8069337539830815,0.0672925273698287,0.0938862876654521,0.0019071397784830991,0.8319226960754228,0.06937642714647281,0.09679373699962143,0,non_sv
19,ADAM15,0.01,0.0072902670743157,0.0216215072382733,0.0323568266936494,0.9086624414780754,0.007516273585432339,0.02229179837660776,0.03335992485689795,0.936832003181062,0,non_sv
20,ADAM15,0.1,0.1033153022585607,0.1681324315577743,0.0147254913704506,0.6669955466709028,0.10839140486862912,0.1763931388877657,0.01544898637599215,0.6997664698676129,0,non_sv
21,ADAM9,0.0,6.366264467235245e-09,2.673103070202541e-17,0.2873172051922458,0.6789334356528894,6.588626342045193e-09,2.7664696297147318e-17,0.29735266519245657,0.7026473282189171,0,non_sv
22,ADAM9,0.25,0.0043699323939568,0.2343706454244292,0.1139324482687988,0.4115801754431588,0.005717911793115725,0.3066662265269213,0.14907683479854583,0.5385390268814171,0,non_sv
23,ADAM9,0.5,8.085414697290579e-09,0.193022322626255,0.2353244040421207,0.5899651403656327,7.940018077803873e-09,0.18955128319957792,0.23109266403725567,0.5793560448231484,0,non_sv
24,ADAM9,0.75,2.6014628579685056e-10,3.3200406936200486,0.1065357687814314,0.3769114177726584,6.839677001077939e-11,0.8728937222854946,0.028010019258761797,0.09909625838734694,0,non_sv
25,ADAM9,0.99,0.001086114543594,6.629060046559766,0.0538628219080914,0.0484409632728268,0.0001613253053880393,0.9846430496254079,0.008000478627816453,0.0071951464413875016,0,non_sv
26,ADAM9,0.01,0.0358689592326655,2.462499047181704e-09,0.3078109250000637,0.6540410373199438,0.03595089405193235,2.4681240895217086e-09,0.3085140519668834,0.6555350515130602,0,non_sv
27,ADAM9,0.1,0.0533134559847501,0.248615644006949,0.1960538353314636,0.6370516786389938,0.04697077545383795,0.21903794029601123,0.17272938897174483,0.561261895278406,0,non_sv
28,AFDN,0.0,0.0875024087109895,6.859374597754171e-09,0.1041847932202766,0.774605472331751,0.09055476712226732,7.0986510937728545e-09,0.1078190855168864,0.8016261402621951,0,non_sv
29,AFDN,0.25,0.0442912489937601,0.2321590118105038,0.0704596231237541,0.50712673546389,0.05186106542515285,0.27183730362265485,0.08250187582579636,0.5937997551263959,0,non_sv
30,AFDN,0.5,0.0633208193859591,0.1516874224306448,0.0263066112381474,0.6513867991625373,0.07093167042839353,0.16991950452190185,0.029468536518115714,0.729680288531589,0,non_sv
31,AFDN,0.75,0.0024500454824832,0.652888490472196,0.076493494620916,0.1588236566239012,0.0027508334788574913,0.7330425212071392,0.08588447333832873,0.17832217197567454,0,non_sv
32,AFDN,0.99,0.0053741477339037,2.016081514995203,0.0362013495851876,0.0442499896339622,0.002556796151743348,0.9591678000627517,0.01722309766875156,0.021052306116753457,0,non_sv
33,AFDN,0.01,0.0634277190101119,6.232812273320769e-09,0.114776307855153,0.8107650681149249,0.06413518777514463,6.302332667093468e-09,0.11605651553155322,0.8198082903909695,0,non_sv
34,AFDN,0.1,0.0128516520863233,0.0262380136197726,0.1741493655935205,0.740778413273983,0.013471087095338577,0.027502656024806494,0.18254316688240121,0.7764830899974537,0,non_sv
35,AGRN,0.0,0.0331552000389847,0.0039424539464316,0.1342782126335032,0.7934040993820352,0.0343655560929754,0.004086376257140998,0.1391801419655208,0.8223679256843628,0,non_sv
36,AGRN,0.25,0.0059776066903958,0.1648292572641931,0.1263237796296996,0.67931637653706,0.006121793161551079,0.16880512087968566,0.12937084862423018,0.6957022373345332,0,non_sv
37,AGRN,0.5,0.0513124521502071,0.452383542358229,0.1961762756561912,0.3223914013626753,0.05019492874430748,0.4425311736671127,0.19190379265174906,0.31537010493683076,0,non_sv
38,AGRN,0.75,0.0007575585066703,0.2618321982432139,0.1888342293611266,0.4898766982567703,0.0008047996981741382,0.2781599998719558,0.20060989277613875,0.5204253076537313,0,non_sv
39,AGRN,0.99,0.0211700777738884,0.3358529949175495,0.1162207165152523,0.4611432307212075,0.022656647965338814,0.3594367085102121,0.1243817754705331,0.49352486805391604,0,non_sv
40,AGRN,0.01,0.0068716403782859,0.0056624936807897,0.6308043949276673,0.3353261858583277,0.007021444907588938,0.005785938324838975,0.6445561849315555,0.34263643183601666,0,non_sv
41,AGRN,0.1,2.925249641660944e-09,0.0285049208832917,0.29671285764067,0.6352289428215331,3.045717755851633e-09,0.02967881524603579,0.3089321355809303,0.6613890461273162,0,non_sv
42,ALOX5AP,0.0,0.0648702039473587,5.685270711814883e-09,0.1328459518787838,0.7851860836521857,0.06599863238338763,5.784166980785154e-09,0.13515683022646094,0.7988445316059845,0,non_sv
43,ALOX5AP,0.25,2.012835670222143e-07,0.0641830125306043,0.0942367200628649,0.8042466116398631,2.0908960424519168e-07,0.06667211281985656,0.09789134202463111,0.8354363360659081,0,non_sv
44,ALOX5AP,0.5,0.09643823598073,0.0684579269728891,0.0375186577471475,0.7994743081550473,0.09625639524691243,0.06832884498015267,0.03744791381257414,0.7979668459603608,0,non_sv
45,ALOX5AP,0.75,0.0068685739333989,0.4858620020131649,0.0452053413759625,0.4075079249266757,0.007264920058137591,0.5138983198169695,0.04781388312648948,0.4310228769984034,0,non_sv
46,ALOX5AP,0.99,5.401713543343403e-10,0.58985161113046,0.0957363038610324,0.1417842893815759,6.528758775392799e-10,0.712921714831251,0.11571128845338907,0.17136699606248404,0,non_sv
47,ALOX5AP,0.01,0.0583732223557931,1.519791565558138e-09,0.3830025830511331,0.5335502057607427,0.05987451519001191,1.5588788746837442e-09,0.39285297352499216,0.5472725097261171,0,non_sv
48,ALOX5AP,0.1,0.0040217403229402,0.0609557718231539,0.0858190716993567,0.8359534122110458,0.004075743946301403,0.061774281293905234,0.08697144367096922,0.8471785310888241,0,non_sv
49,APOE,0.0,0.0078963545073002,1.204755503742464e-08,0.3279155482609269,0.705733354102591,0.00758138387542236,1.1567000875474016e-08,0.3148356178521761,0.6775829867054007,0,non_sv
50,APOE,0.25,0.1173060318933307,6.0506865036883885e-09,0.2124024340435671,0.6927156808775927,0.11473323626461648,5.91798079762917e-09,0.20774395190914055,0.6775228059082622,0,non_sv
51,APOE,0.5,9.066313555381583e-10,0.3579841773356479,0.082349804299653,0.3497959436448567,1.1474459142607238e-09,0.4530700147801001,0.10422311770556233,0.4427068663668916,0,non_sv
52,APOE,0.75,0.0007113893408876,0.3630067666182763,0.173587737613852,0.1694202235432207,0.0010065983464575944,0.5136456087112058,0.24562236120856654,0.23972543173376995,0,non_sv
53,APOE,0.99,0.0110445058361292,2.679081462353048,0.035087641056998,0.1240075659737821,0.0038763244960358595,0.9402855368524436,0.012314818295666101,0.04352332035585438,0,non_sv
54,APOE,0.01,0.0403518838546257,0.0302709492723061,0.3072065400417103,0.60303018429496,0.04113930842349271,0.030861655006536856,0.31320135253217446,0.614797684037796,0,non_sv
55,APOE,0.1,0.0119292191751739,0.1437215776285725,0.2411739516265738,0.5537332405755925,0.012549701662756419,0.15119706455665644,0.2537182943239391,0.5825349394566481,0,non_sv
56,APP,0.0,1.3292895788773581e-08,1.83010555366716e-08,0.2446095286505486,0.7249798880835082,1.370981894625224e-08,1.8875056415094597e-08,0.2522815497552715,0.7477184176598533,0,non_sv
57,APP,0.25,2.6738069253728653e-08,0.1993776955858001,0.1635916988630923,0.6490757676455413,2.641983732423424e-08,0.19700473633573864,0.1616446584285549,0.641350578815869,0,non_sv
58,APP,0.5,0.0045593636326488,0.1585149720490945,0.2184435548627144,0.6086771378311564,0.004604510729697666,0.1600845969799845,0.22060659627938614,0.6147042960109317,0,non_sv
59,APP,0.75,0.0297313622521718,0.3079977167971042,0.1252264314542981,0.3992228446799912,0.03448400446777829,0.35723202159433565,0.14524423015425422,0.46303974378363183,0,non_sv
60,APP,0.99,0.0012522388877699,0.4288975824587163,0.099733257671516,0.1150170064640019,0.0019417564301204358,0.6650605142006679,0.15464916181081675,0.17834856755839498,0,non_sv
61,APP,0.01,0.0074243606404269,2.0831207701662482e-08,0.3067201499130515,0.6583855879179402,0.007634067565692153,2.141960160226189e-08,0.3153837025972952,0.6769822084174111,0,non_sv
62,APP,0.1,0.004837526651107,0.1563797642979191,0.2453030814256639,0.64684232017015,0.004592460588688519,0.14845766363731575,0.23287618135879795,0.6140736944151978,0,non_sv
63,B2M,0.0,0.0455146419562021,4.132588785378408e-09,0.3032103849213389,0.6113701395492,0.04740638569162502,4.304353268406564e-09,0.31581284253799063,0.6367807674660311,0,non_sv
64,B2M,0.25,3.849708570693229e-09,9.117585155316929e-09,0.283228762330701,0.6930871897720523,3.943097018204579e-09,9.33876478672842e-09,0.2900994887555489,0.7099004979625892,0,non_sv
65,B2M,0.5,0.0084829851993215,0.0556836742802171,0.4042080042168408,0.5228642789917498,0.008557961994831028,0.056175833981269144,0.4077805933659889,0.527485610657911,0,non_sv
66,B2M,0.75,0.0040136539354467,0.6486968100586475,0.1092056328989222,0.1447958512596011,0.004426603116485152,0.7154386918362953,0.12044137404544351,0.15969333100177596,0,non_sv
67,B2M,0.99,0.0010282325807422,0.6847498584558573,0.0822970120387743,0.0157581798386127,0.0013118001023376196,0.8735912002999213,0.10499300531463285,0.020103994283108176,0,non_sv
68,B2M,0.01,0.0392045065096704,3.0492661388085464e-08,0.3330126009098436,0.6077588946567851,0.04000557687813819,3.111572158367017e-08,0.3398170871963745,0.6201773048097657,0,non_sv
69,B2M,0.1,0.0096557935042868,0.0880381362088425,0.2860858381690267,0.5911205337046135,0.009904390724436964,0.09030475841021864,0.29345137928810466,0.6063394715772398,0,non_sv
70,C1QA,0.0,0.0076889619341133,2.0108360086130763e-08,0.4300567163878972,0.5168659214980749,0.008054544668846204,2.106444093739192e-08,0.4505043804307901,0.5414410538359228,0,non_sv
