,ligand,receptor,spc
SEMA3F_PLXNA3,SEMA3F,PLXNA3,0.3951367781155015
SEMA3F_PLXNA1,SEMA3F,PLXNA1,0.40029171055830154
SEMA3F_NRP2,SEMA3F,NRP2,0.5168445281439631
DCN_MET,DCN,MET,1.0
GRN_TNFRSF1A,GRN,TNFRSF1A,0.3613488406115134
GRN_SORT1,GRN,SORT1,0.3613488406115134
GRN_TNFRSF1B,GRN,TNFRSF1B,0.9523809523809522
ICAM3_ITGB2,ICAM3,ITGB2,1.0
EFNB1_EPHB6,EFNB1,EPHB6,1.0
EFNB1_EPHB4,EFNB1,EPHB4,0.9285714285714286
EFNB1_ERBB2,EFNB1,ERBB2,0.6449928189058622
EFNB1_EPHB3,EFNB1,EPHB3,0.9733990147783251
SEMA4G_PLXNB2,SEMA4G,PLXNB2,0.9733990147783251
VCL_ITGB5,VCL,ITGB5,0.7841269841269841
EFNA2_EPHA2,EFNA2,EPHA2,1.0
LGALS1_ITGB1,LGALS1,ITGB1,0.5100144538509188
TIMP1_CD63,TIMP1,CD63,0.8355179704016914
MMP2_PECAM1,MMP2,PECAM1,0.5758582502768549
MMP2_FGFR1,MMP2,FGFR1,0.08699633699633699
PLAT_LRP1,PLAT,LRP1,0.16990541702493553
PLAT_ITGB2,PLAT,ITGB2,1.0
TGFB1_ENG,TGFB1,ENG,0.5893581484132665
TGFB1_SMAD3,TGFB1,SMAD3,0.7910961646248699
TGFB1_ACVRL1,TGFB1,ACVRL1,0.9285714285714286
TGFB1_ITGB6,TGFB1,ITGB6,1.0
TGFB1_ITGAV,TGFB1,ITGAV,0.4000647878198899
TGFB1_ITGB1,TGFB1,ITGB1,0.9261342332208474
TGFB1_CXCR4,TGFB1,CXCR4,1.0
TGFB1_ITGB5,TGFB1,ITGB5,0.988988988988989
COMP_ITGB1,COMP,ITGB1,0.9536679536679536
LAMB1_ITGA7,LAMB1,ITGA7,1.0
LAMB1_ITGAV,LAMB1,ITGAV,1.0
LAMB1_ITGB1,LAMB1,ITGB1,0.9733990147783251
LAMB1_ITGA6,LAMB1,ITGA6,0.9733990147783251
LAMB1_ITGA1,LAMB1,ITGA1,0.8945224083295609
LAMB1_ITGA2,LAMB1,ITGA2,0.8355179704016914
PDAP1_PDGFRB,PDAP1,PDGFRB,0.09978991596638655
SERPINE1_PLAUR,SERPINE1,PLAUR,0.7841269841269841
SERPINE1_ITGAV,SERPINE1,ITGAV,1.0
SERPINE1_LRP1,SERPINE1,LRP1,0.7135634840387115
SERPINE1_ITGB5,SERPINE1,ITGB5,0.5269333333333334
COL1A1_ITGA5,COL1A1,ITGA5,0.9733990147783251
COL1A1_CD93,COL1A1,CD93,0.9801587301587302
COL1A1_ITGA1,COL1A1,ITGA1,1.0
COL1A1_CD44,COL1A1,CD44,0.8082460732984293
