"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Cancer_region","Pancreatic_tissue","FGF19","FGFR1",5.40745835338589e-06,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"2","Duct_epithelium","Pancreatic_tissue","FGF19","FGFR1",4.64296920918999e-06,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"3","Stroma","Pancreatic_tissue","FGF19","FGFR1",5.82659256736843e-06,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"4","Cancer_region","Pancreatic_tissue","FGF19","FGFR3",8.84779165365484e-06,0,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"5","Duct_epithelium","Pancreatic_tissue","FGF19","FGFR3",7.59703287041326e-06,0,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"6","Stroma","Pancreatic_tissue","FGF19","FGFR3",9.53365138779032e-06,0,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"7","Cancer_region","Pancreatic_tissue","FGF19","FGFR4",3.44128245415385e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"8","Duct_epithelium","Pancreatic_tissue","FGF19","FGFR4",2.95473969649444e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"9","Stroma","Pancreatic_tissue","FGF19","FGFR4",3.70800339195892e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"10","Pancreatic_tissue","Cancer_region","FGF23","FGFR1",3.82368385595401e-06,0,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"11","Pancreatic_tissue","Duct_epithelium","FGF23","FGFR1",6.87797222521474e-06,0,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"12","Duct_epithelium","Pancreatic_tissue","FGF23","FGFR1",4.81415455366086e-06,0.02,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"13","Pancreatic_tissue","Pancreatic_tissue","FGF23","FGFR1",1.65180571207602e-05,0,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"14","Pancreatic_tissue","Stroma","FGF23","FGFR1",4.32249471779706e-06,0.02,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"15","Pancreatic_tissue","Cancer_region","FGF23","FGFR3",9.940026954547e-06,0,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"16","Pancreatic_tissue","Duct_epithelium","FGF23","FGFR3",1.14619919690527e-05,0,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"17","Duct_epithelium","Pancreatic_tissue","FGF23","FGFR3",7.87711280691286e-06,0.01,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"18","Pancreatic_tissue","Pancreatic_tissue","FGF23","FGFR3",2.70164411486596e-05,0,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"19","Pancreatic_tissue","Stroma","FGF23","FGFR3",9.66091925116878e-06,0,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"20","Pancreatic_tissue","Cancer_region","FGF23","FGFR4",6.11753619517359e-06,0,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"21","Pancreatic_tissue","Duct_epithelium","FGF23","FGFR4",3.05716439815448e-06,0.02,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"22","Duct_epithelium","Pancreatic_tissue","FGF23","FGFR4",3.06368505669004e-06,0.01,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"23","Pancreatic_tissue","Pancreatic_tissue","FGF23","FGFR4",1.05144057532901e-05,0,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"24","Pancreatic_tissue","Stroma","FGF23","FGFR4",3.81400833007222e-06,0,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"25","Stroma","Duct_epithelium","PDGFB","PDGFRA",3.55376260702829e-06,0.01,"PDGFB_PDGFRA","PDGFB - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812"
"26","Stroma","Pancreatic_tissue","PDGFB","PDGFRA",2.69949805759576e-06,0,"PDGFB_PDGFRA","PDGFB - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812"
"27","Stroma","Duct_epithelium","PDGFB","PDGFRB",1.03373998771729e-05,0,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"28","Cancer_region","Pancreatic_tissue","PDGFB","PDGFRB",5.4334738638849e-06,0.01,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"29","Duct_epithelium","Pancreatic_tissue","PDGFB","PDGFRB",6.97794208941285e-06,0,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"30","Pancreatic_tissue","Pancreatic_tissue","PDGFB","PDGFRB",2.82801343380499e-06,0.02,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"31","Stroma","Pancreatic_tissue","PDGFB","PDGFRB",1.09548086377266e-05,0,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"32","Pancreatic_tissue","Cancer_region","INS","INSR",7.38703856111145e-06,0,"INS_INSSR","INS - INSSR","INSULIN","Secreted Signaling","KEGG: hsa04911; PMID: 24633815"
"33","Pancreatic_tissue","Duct_epithelium","INS","INSR",7.60264136493967e-06,0,"INS_INSSR","INS - INSSR","INSULIN","Secreted Signaling","KEGG: hsa04911; PMID: 24633815"
"34","Pancreatic_tissue","Pancreatic_tissue","INS","INSR",1.71098148367305e-05,0,"INS_INSSR","INS - INSSR","INSULIN","Secreted Signaling","KEGG: hsa04911; PMID: 24633815"
