,ligand,receptor,spc
SEMA3F_PLXNA3,SEMA3F,PLXNA3,1.0
SEMA3F_PLXNA1,SEMA3F,PLXNA1,0.3803803803803804
SEMA3F_NRP2,SEMA3F,NRP2,0.8735632183908046
DCN_MET,DCN,MET,1.0
GRN_TNFRSF1A,GRN,TNFRSF1A,0.01235
GRN_SORT1,GRN,SORT1,1.0
GRN_TNFRSF1B,GRN,TNFRSF1B,1.0
ICAM3_ITGB2,ICAM3,ITGB2,0.5930372148859544
EFNB1_EPHB6,EFNB1,EPHB6,1.0
EFNB1_EPHB4,EFNB1,EPHB4,1.0
EFNB1_ERBB2,EFNB1,ERBB2,0.9384498480243161
EFNB1_EPHB3,EFNB1,EPHB3,0.3803803803803804
SEMA4G_PLXNB2,SEMA4G,PLXNB2,0.8350236646382692
VCL_ITGB5,VCL,ITGB5,1.0
EFNA2_EPHA2,EFNA2,EPHA2,1.0
LGALS1_ITGB1,LGALS1,ITGB1,0.9735908553409538
TIMP1_CD63,TIMP1,CD63,0.25809822361546503
MMP2_PECAM1,MMP2,PECAM1,1.0
MMP2_FGFR1,MMP2,FGFR1,0.801948051948052
PLAT_LRP1,PLAT,LRP1,1.0
PLAT_ITGB2,PLAT,ITGB2,1.0
TGFB1_ENG,TGFB1,ENG,0.9313725490196079
TGFB1_SMAD3,TGFB1,SMAD3,0.9313725490196079
TGFB1_ACVRL1,TGFB1,ACVRL1,0.801948051948052
TGFB1_ITGB6,TGFB1,ITGB6,1.0
TGFB1_ITGAV,TGFB1,ITGAV,0.8350236646382692
TGFB1_ITGB1,TGFB1,ITGB1,0.8805704099821747
TGFB1_CXCR4,TGFB1,CXCR4,1.0
TGFB1_ITGB5,TGFB1,ITGB5,0.9735908553409538
COMP_ITGB1,COMP,ITGB1,0.9934640522875815
LAMB1_ITGA7,LAMB1,ITGA7,1.0
LAMB1_ITGAV,LAMB1,ITGAV,0.3803803803803804
LAMB1_ITGB1,LAMB1,ITGB1,1.0
LAMB1_ITGA6,LAMB1,ITGA6,1.0
LAMB1_ITGA1,LAMB1,ITGA1,0.6131694904735308
LAMB1_ITGA2,LAMB1,ITGA2,0.5248618784530387
PDAP1_PDGFRB,PDAP1,PDGFRB,1.0
SERPINE1_PLAUR,SERPINE1,PLAUR,1.0
SERPINE1_ITGAV,SERPINE1,ITGAV,1.0
SERPINE1_LRP1,SERPINE1,LRP1,0.8529005524861878
SERPINE1_ITGB5,SERPINE1,ITGB5,1.0
COL1A1_ITGA5,COL1A1,ITGA5,0.7539682539682541
COL1A1_CD93,COL1A1,CD93,0.5832349468713105
COL1A1_ITGA1,COL1A1,ITGA1,0.9934640522875815
COL1A1_CD44,COL1A1,CD44,0.3424253977056112
COL1A1_ITGAV,COL1A1,ITGAV,1.0
COL1A1_ITGB1,COL1A1,ITGB1,1.0
COL1A1_ITGA11,COL1A1,ITGA11,0.8068599428338097
COL1A1_ITGA2,COL1A1,ITGA2,1.0
COL1A1_DDR1,COL1A1,DDR1,0.8350236646382692
LAMA4_ITGA6,LAMA4,ITGA6,1.0
LAMA4_ITGAV,LAMA4,ITGAV,1.0
LAMA4_ITGB1,LAMA4,ITGB1,0.8805704099821747
HBEGF_CD44,HBEGF,CD44,0.8350236646382692
HBEGF_CD9,HBEGF,CD9,1.0
HBEGF_ERBB2,HBEGF,ERBB2,1.0
LTF_LRP1,LTF,LRP1,0.1620097074642529
LTF_TFRC,LTF,TFRC,0.9313725490196079
CD160_TNFRSF14,CD160,TNFRSF14,0.521317011397214
FGF23_FGFR4,FGF23,FGFR4,1.0
FGF23_FGFR1,FGF23,FGFR1,1.0
FGF23_FGFR3,FGF23,FGFR3,1.0
TGFB3_ENG,TGFB3,ENG,0.5016501650165016
TGFB3_ITGB1,TGFB3,ITGB1,1.0
TGFB3_ACVRL1,TGFB3,ACVRL1,1.0
TGFB3_ITGB6,TGFB3,ITGB6,1.0
TGFB3_ITGB5,TGFB3,ITGB5,0.8350236646382692
TNFSF10_RIPK1,TNFSF10,RIPK1,1.0
TNFSF10_TNFRSF10B,TNFSF10,TNFRSF10B,0.1539492341493058
INHBA_ENG,INHBA,ENG,1.0
INHBA_SMAD3,INHBA,SMAD3,0.8735632183908046
C3_CD46,C3,CD46,0.7048583862452735
C3_ITGAX,C3,ITGAX,0.5016501650165016
C3_ADRA2A,C3,ADRA2A,1.0
C3_ITGB2,C3,ITGB2,1.0
C3_CD81,C3,CD81,0.23882040125694948
LIF_IL6ST,LIF,IL6ST,1.0
APOE_LDLR,APOE,LDLR,0.11902037079423208
APOE_LRP5,APOE,LRP5,0.8735632183908046
APOE_LSR,APOE,LSR,1.0
APOE_SCARB1,APOE,SCARB1,1.0
APOE_LRP8,APOE,LRP8,1.0
LAMA5_SDC1,LAMA5,SDC1,1.0
LAMA5_ITGA6,LAMA5,ITGA6,0.8735632183908046
LAMA5_BCAM,LAMA5,BCAM,0.7122260668973472
LAMA5_ITGB1,LAMA5,ITGB1,1.0
LAMA5_ITGA2,LAMA5,ITGA2,1.0
JAG1_CD46,JAG1,CD46,1.0
JAG1_NOTCH4,JAG1,NOTCH4,0.3424253977056112
JAG1_NOTCH1,JAG1,NOTCH1,1.0
JAG1_NOTCH2,JAG1,NOTCH2,0.7603509311990149
JAG1_NOTCH3,JAG1,NOTCH3,0.9678683385579937
LAMC1_ITGA6,LAMC1,ITGA6,1.0
LAMC1_ITGA1,LAMC1,ITGA1,1.0
LAMC1_ITGA7,LAMC1,ITGA7,0.9384498480243161
LAMC1_ITGAV,LAMC1,ITGAV,0.7853736089030207
LAMC1_ITGB1,LAMC1,ITGB1,1.0
LAMC1_ITGA2,LAMC1,ITGA2,0.5016501650165016
IL1RN_IL1R1,IL1RN,IL1R1,1.0
CCL21_ADRA2A,CCL21,ADRA2A,0.8362959200948028
MMP7_CD44,MMP7,CD44,0.9876049580167933
MMP7_SDC1,MMP7,SDC1,1.0
MMP7_CD151,MMP7,CD151,0.323076419999346
THBS1_CD47,THBS1,CD47,0.3793580095223468
THBS1_SDC1,THBS1,SDC1,0.9934640522875815
THBS1_ITGB1,THBS1,ITGB1,1.0
THBS1_LRP5,THBS1,LRP5,0.8735632183908046
THBS1_SDC4,THBS1,SDC4,1.0
THBS1_SCARB1,THBS1,SCARB1,0.8754208754208753
THBS1_ITGA6,THBS1,ITGA6,0.9678683385579937
ADAM10_GPNMB,ADAM10,GPNMB,1.0
ADAM10_TSPAN15,ADAM10,TSPAN15,1.0
ADAM10_CD44,ADAM10,CD44,1.0
ADAM10_CADM1,ADAM10,CADM1,0.9934640522875815
ADAM10_TSPAN14,ADAM10,TSPAN14,1.0
ADAM10_NOTCH1,ADAM10,NOTCH1,1.0
ADAM10_MET,ADAM10,MET,0.7037037037037037
ADAM10_TSPAN17,ADAM10,TSPAN17,0.9672050905531081
ADAM10_AXL,ADAM10,AXL,1.0
VWF_SIRPA,VWF,SIRPA,1.0
CDH1_LRP5,CDH1,LRP5,1.0
CDH1_IGF1R,CDH1,IGF1R,1.0
CDH1_ERBB3,CDH1,ERBB3,0.8362959200948028
CDH1_PTPRM,CDH1,PTPRM,1.0
CDH1_PTPRF,CDH1,PTPRF,0.01235
SEMA7A_ITGB1,SEMA7A,ITGB1,0.9313725490196079
SEMA7A_ITGA1,SEMA7A,ITGA1,1.0
TIMP2_CD44,TIMP2,CD44,0.9842598127116955
TIMP2_ITGB1,TIMP2,ITGB1,1.0
LGALS3BP_ITGB1,LGALS3BP,ITGB1,1.0
LAMC2_ITGA6,LAMC2,ITGA6,1.0
LAMC2_CD151,LAMC2,CD151,0.8350236646382692
LAMC2_ITGB1,LAMC2,ITGB1,0.1620097074642529
LAMC2_ITGA2,LAMC2,ITGA2,1.0
LAMC2_COL17A1,LAMC2,COL17A1,0.9934640522875815
NID1_ITGB1,NID1,ITGB1,1.0
NID1_PTPRF,NID1,PTPRF,0.8754208754208753
ICAM1_ITGAX,ICAM1,ITGAX,1.0
ICAM1_MUC1,ICAM1,MUC1,1.0
ICAM1_ITGB2,ICAM1,ITGB2,1.0
VCAN_CD44,VCAN,CD44,0.13431212615551932
VCAN_ITGB1,VCAN,ITGB1,0.9876049580167933
TIMP3_CD44,TIMP3,CD44,0.03952
TIMP3_MET,TIMP3,MET,1.0
LUM_ITGB1,LUM,ITGB1,1.0
CGN_F11R,CGN,F11R,1.0
CALM2_INSR,CALM2,INSR,1.0
CALM2_AQP1,CALM2,AQP1,1.0
APP_LRP10,APP,LRP10,0.041166666666666664
APP_PLD1,APP,PLD1,0.801948051948052
APP_TSPAN15,APP,TSPAN15,1.0
APP_TNFRSF21,APP,TNFRSF21,1.0
APP_NCSTN,APP,NCSTN,0.11902037079423208
CALM3_INSR,CALM3,INSR,0.1689466484268126
CALM3_AQP1,CALM3,AQP1,0.09070711151098952
TFF2_MUC6,TFF2,MUC6,1.0
TFF1_MUC5AC,TFF1,MUC5AC,1.0
TNFSF12_TNFRSF25,TNFSF12,TNFRSF25,1.0
TNFSF12_TNFRSF12A,TNFSF12,TNFRSF12A,1.0
FGF19_FGFR1,FGF19,FGFR1,0.7105357784969435
FGF19_FGFR3,FGF19,FGFR3,0.9842598127116955
VCAM1_ITGB1,VCAM1,ITGB1,0.3564213564213564
VCAM1_ITGB2,VCAM1,ITGB2,1.0
VCAM1_EZR,VCAM1,EZR,0.5016501650165016
VCAM1_MSN,VCAM1,MSN,1.0
ARPC5_LDLR,ARPC5,LDLR,0.24135235489544657
COL6A3_ITGB1,COL6A3,ITGB1,0.9233644859813085
COL6A3_ITGA2,COL6A3,ITGA2,1.0
LIPH_LPAR4,LIPH,LPAR4,1.0
LIPH_LPAR2,LIPH,LPAR2,1.0
MELTF_TFRC,MELTF,TFRC,1.0
COL1A2_CD44,COL1A2,CD44,0.5016501650165016
COL1A2_ITGB1,COL1A2,ITGB1,0.11035160612965196
COL1A2_ITGA11,COL1A2,ITGA11,1.0
COL14A1_CD44,COL14A1,CD44,0.01235
COL6A2_ITGB1,COL6A2,ITGB1,0.28368794326241137
IL16_KCNJ15,IL16,KCNJ15,1.0
CD14_ITGB1,CD14,ITGB1,1.0
CD14_ITGB2,CD14,ITGB2,1.0
COL3A1_ITGB1,COL3A1,ITGB1,0.8362959200948028
COL3A1_DDR1,COL3A1,DDR1,0.067925
FGB_ITGB1,FGB,ITGB1,0.9233644859813085
FGB_ITGB2,FGB,ITGB2,0.9225023342670401
FGA_ITGAX,FGA,ITGAX,0.5016501650165016
FGA_ITGB1,FGA,ITGB1,0.21369092678706605
FGA_PLAUR,FGA,PLAUR,1.0
FGA_ITGB2,FGA,ITGB2,1.0
SEMA4C_PLXNB2,SEMA4C,PLXNB2,0.09070711151098952
HAS2_CD44,HAS2,CD44,1.0
EFEMP2_AQP1,EFEMP2,AQP1,1.0
GNAI2_EDNRA,GNAI2,EDNRA,0.7272727272727272
GNAI2_ADORA1,GNAI2,ADORA1,0.8350236646382692
GNAI2_PTPRU,GNAI2,PTPRU,0.6323604710701485
