"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Cancer_region","Cancer_region","WNT7B","FZD2_LRP5",2.10289545935481e-08,0,"WNT7B_FZD2_LRP5","WNT7B - (FZD2+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"2","Cancer_region","Pancreatic_tissue","WNT7B","FZD2_LRP5",1.81646811832637e-08,0,"WNT7B_FZD2_LRP5","WNT7B - (FZD2+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"3","Cancer_region","Pancreatic_tissue","FGF23","FGFR1",1.14031830316586e-08,0.02,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"4","Duct_epithelium","Pancreatic_tissue","FGF23","FGFR1",1.95364840846105e-08,0,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"5","Pancreatic_tissue","Pancreatic_tissue","FGF23","FGFR1",2.08057937089922e-08,0,"FGF23_FGFR1","FGF23 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"6","Cancer_region","Pancreatic_tissue","FGF23","FGFR3",1.86597505981463e-08,0.03,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"7","Duct_epithelium","Pancreatic_tissue","FGF23","FGFR3",3.19687823448428e-08,0,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"8","Pancreatic_tissue","Pancreatic_tissue","FGF23","FGFR3",3.40458234464515e-08,0,"FGF23_FGFR3","FGF23 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"9","Pancreatic_tissue","Cancer_region","FGF23","FGFR4",7.70085160572671e-09,0.04,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"10","Cancer_region","Pancreatic_tissue","FGF23","FGFR4",7.25657178762633e-09,0.02,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"11","Duct_epithelium","Pancreatic_tissue","FGF23","FGFR4",1.2432310230202e-08,0,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"12","Pancreatic_tissue","Pancreatic_tissue","FGF23","FGFR4",1.32400551653407e-08,0,"FGF23_FGFR4","FGF23 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"13","Pancreatic_tissue","Duct_epithelium","INS","INSR",7.65081466418825e-08,0.03,"INS_INSSR","INS - INSSR","INSULIN","Secreted Signaling","KEGG: hsa04911; PMID: 24633815"
"14","Pancreatic_tissue","Pancreatic_tissue","INS","INSR",1.75775310449245e-07,0,"INS_INSSR","INS - INSSR","INSULIN","Secreted Signaling","KEGG: hsa04911; PMID: 24633815"
"15","Stroma","Pancreatic_tissue","INS","INSR",5.33540632525305e-08,0.04,"INS_INSSR","INS - INSSR","INSULIN","Secreted Signaling","KEGG: hsa04911; PMID: 24633815"
"16","Pancreatic_tissue","Cancer_region","SPP1","ITGAV_ITGB1",3.38790398816111e-07,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"17","Pancreatic_tissue","Duct_epithelium","SPP1","ITGAV_ITGB1",7.45283698595206e-07,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"18","Pancreatic_tissue","Pancreatic_tissue","SPP1","ITGAV_ITGB1",6.89042189206819e-07,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"19","Pancreatic_tissue","Cancer_region","SPP1","ITGAV_ITGB5",7.89348669819997e-07,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
