"","ligand","receptor","species","celltype_sender","celltype_receiver","lr_co_exp_num","lr_co_ratio","lr_co_ratio_pvalue","score"
"124","TNFSF12","TNFRSF12A","Human","TDuct_epithelium","TStroma",13,0.0266393442622951,0.715,0.379756062807287
"1","SEMA3F","PLXNA3","Human","TDuct_epithelium","TCancer_region",1,0.00714285714285714,0.934,0.192830223249547
"4","GRN","TNFRSF1A","Human","TDuct_epithelium","TCancer_region",36,0.257142857142857,0.978,0.145448157801954
"11","SEMA4G","PLXNB2","Human","TDuct_epithelium","TCancer_region",8,0.0571428571428571,0.388,0.586195485420742
"18","TGFB1","SMAD3","Human","TDuct_epithelium","TCancer_region",4,0.0285714285714286,0.594,0.492468796141884
"34","COL1A1","ITGA5","Human","TDuct_epithelium","TCancer_region",23,0.164285714285714,0.46,0.526662763079016
"39","COL1A1","ITGA11","Human","TDuct_epithelium","TCancer_region",9,0.0642857142857143,0.97,0.124489225975645
"45","HBEGF","ERBB2","Human","TDuct_epithelium","TCancer_region",2,0.0142857142857143,0.938,0.184810482770086
"49","FGF23","FGFR3","Human","TDuct_epithelium","TCancer_region",2,0.0142857142857143,0.824,0.297876456317117
"55","INHBA","SMAD3","Human","TDuct_epithelium","TCancer_region",4,0.0285714285714286,0.09,0.737286695892759
"62","LAMA5","SDC1","Human","TDuct_epithelium","TCancer_region",10,0.0714285714285714,0.073,0.704621644910728
"70","JAG1","NOTCH3","Human","TDuct_epithelium","TCancer_region",13,0.0928571428571429,0.034,0.929769002747298
"80","MMP7","SDC1","Human","TDuct_epithelium","TCancer_region",8,0.0571428571428571,0.996,0.0462856224505883
"101","TIMP2","CD44","Human","TDuct_epithelium","TCancer_region",4,0.0285714285714286,0.993,0.0601286794446306
"111","VCAN","CD44","Human","TDuct_epithelium","TCancer_region",1,0.00714285714285714,0.995,0.0508180092638366
"126","FGF19","FGFR3","Human","TDuct_epithelium","TCancer_region",1,0.00714285714285714,0.855,0.270373327423759
"135","COL1A2","CD44","Human","TDuct_epithelium","TCancer_region",4,0.0285714285714286,0.99,0.0718675179137194
"137","COL1A2","ITGA11","Human","TDuct_epithelium","TCancer_region",9,0.0642857142857143,0.752,0.357929076365498
"148","SEMA4C","PLXNB2","Human","TDuct_epithelium","TCancer_region",5,0.0357142857142857,0.342,0.607826604437558
"151","GNAI2","EDNRA","Human","TDuct_epithelium","TCancer_region",12,0.0857142857142857,0.003,0.723071485480722
"153","AGTRAP","RACK1","Human","TDuct_epithelium","TCancer_region",11,0.0785714285714286,0.997,0.0547586944465992
"154","PKM","CD44","Human","TDuct_epithelium","TCancer_region",5,0.0357142857142857,0.999,0.0227265046390306
"169","HMGB1","SDC1","Human","TDuct_epithelium","TCancer_region",4,0.0285714285714286,0.994,0.0566880787155255
"182","TGM2","SDC4","Human","TDuct_epithelium","TCancer_region",25,0.178571428571429,0.875,0.251985694976463
"190","ADAM12","SDC4","Human","TDuct_epithelium","TCancer_region",10,0.0714285714285714,0.003,0.711653286938816
"208","SPP1","CD44","Human","TDuct_epithelium","TCancer_region",5,0.0357142857142857,0.995,0.0508180092638366
"210","LGALS9","CD44","Human","TDuct_epithelium","TCancer_region",6,0.0428571428571429,0.498,0.50919543849111
"213","S100A10","CFTR","Human","TDuct_epithelium","TCancer_region",7,0.05,0.991,0.0746205583965414
"214","HSP90AA1","CFTR","Human","TDuct_epithelium","TCancer_region",3,0.0214285714285714,0.994,0.0609274307976938
"215","PLAU","ITGA3","Human","TDuct_epithelium","TCancer_region",5,0.0357142857142857,0.78,0.336460387113926
"217","LGALS8","ITGA3","Human","TDuct_epithelium","TCancer_region",2,0.0142857142857143,0.787,0.331064338134871
"218","NID1","ITGA3","Human","TDuct_epithelium","TCancer_region",2,0.0142857142857143,0.892,0.235740650508332
"219","LAMC3","ITGA3","Human","TDuct_epithelium","TCancer_region",1,0.00714285714285714,0.96,0.14346719111595
"221","CALR","ITGA3","Human","TDuct_epithelium","TCancer_region",29,0.207142857142857,0.896,0.231333894640239
"222","TIMP2","ITGA3","Human","TDuct_epithelium","TCancer_region",22,0.157142857142857,0.793,0.326368152162057
"223","LAMB2","ITGA3","Human","TDuct_epithelium","TCancer_region",7,0.05,0.992,0.0641604783752437
"224","LAMA5","ITGA3","Human","TDuct_epithelium","TCancer_region",6,0.0428571428571429,0.342,0.581882835753233
"225","ADAM9","ITGA3","Human","TDuct_epithelium","TCancer_region",11,0.0785714285714286,0.001,0.716977197890104
"226","LAMC1","ITGA3","Human","TDuct_epithelium","TCancer_region",1,0.00714285714285714,0.991,0.0680524640149615
"227","LAMB3","ITGA3","Human","TDuct_epithelium","TCancer_region",9,0.0642857142857143,0.997,0.0392901084180553
"228","COL18A1","ITGA3","Human","TDuct_epithelium","TCancer_region",21,0.15,0.939,0.177168911672501
"230","LAMC2","ITGA3","Human","TDuct_epithelium","TCancer_region",22,0.157142857142857,0.775,0.340262320074807
"231","FN1","ITGA3","Human","TDuct_epithelium","TCancer_region",8,0.0571428571428571,0.994,0.0555646041919231
"238","LTB","TNFRSF1A","Human","TDuct_epithelium","TCancer_region",1,0.00714285714285714,0.995,0.0693396885694262
"239","LAMC3","ITGB4","Human","TDuct_epithelium","TCancer_region",1,0.00714285714285714,0.985,0.0877536442034876
"240","LAMB2","ITGB4","Human","TDuct_epithelium","TCancer_region",11,0.0785714285714286,0.977,0.108663439921261
"241","LAMA5","ITGB4","Human","TDuct_epithelium","TCancer_region",12,0.0857142857142857,0.014,0.71147228767762
"242","LAMC1","ITGB4","Human","TDuct_epithelium","TCancer_region",1,0.00714285714285714,0.993,0.0599471514457782
"243","LAMB3","ITGB4","Human","TDuct_epithelium","TCancer_region",15,0.107142857142857,0.975,0.11328946752304
"245","LAMC2","ITGB4","Human","TDuct_epithelium","TCancer_region",32,0.228571428571429,0.438,0.537140240154448
"277","PSEN1","NOTCH3","Human","TDuct_epithelium","TCancer_region",1,0.00714285714285714,0.978,0.140312977454572
"279","SCGB3A1","NOTCH3","Human","TDuct_epithelium","TCancer_region",1,0.00714285714285714,0.999,0.0299148273073034
"282","BMP2","GPC1","Human","TDuct_epithelium","TCancer_region",1,0.00714285714285714,0.839,0.28546118453054
"283","APP","GPC1","Human","TDuct_epithelium","TCancer_region",10,0.0714285714285714,0.996,0.0449949860211718
"284","COL18A1","GPC1","Human","TDuct_epithelium","TCancer_region",15,0.107142857142857,0.913,0.209842645053951
"285","VEGFA","GPC1","Human","TDuct_epithelium","TCancer_region",1,0.00714285714285714,0.989,0.0746157430397566
"289","S100A4","ERBB2","Human","TDuct_epithelium","TCancer_region",9,0.0642857142857143,0.876,0.261361491202174
"290","SEMA4D","ERBB2","Human","TDuct_epithelium","TCancer_region",1,0.00714285714285714,0.814,0.320101145929121
"291","HLA-A","ERBB2","Human","TDuct_epithelium","TCancer_region",19,0.135714285714286,0.995,0.0524826503910917
"318","PLAU","ITGA5","Human","TDuct_epithelium","TCancer_region",7,0.05,0.168,0.653728466288888
"319","SPP1","ITGA5","Human","TDuct_epithelium","TCancer_region",22,0.157142857142857,0.235,0.626854071417902
"320","FGG","ITGA5","Human","TDuct_epithelium","TCancer_region",2,0.0142857142857143,0.838,0.288465075536376
"321","FGA","ITGA5","Human","TDuct_epithelium","TCancer_region",4,0.0285714285714286,0.803,0.318103792183325
"322","FGB","ITGA5","Human","TDuct_epithelium","TCancer_region",12,0.0857142857142857,0,0.716697242259942
"323","FBN1","ITGA5","Human","TDuct_epithelium","TCancer_region",1,0.00714285714285714,0.998,0.0320516750595973
"324","COL18A1","ITGA5","Human","TDuct_epithelium","TCancer_region",22,0.157142857142857,0.24,0.624802170425075
"325","ADAM15","ITGA5","Human","TDuct_epithelium","TCancer_region",5,0.0357142857142857,0.942,0.172603552540654
