"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Cancer_region","Pancreatic_tissue","FGF19","FGFR1",6.89274548223206e-06,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"2","Duct_epithelium","Pancreatic_tissue","FGF19","FGFR1",3.73181124204091e-06,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"3","Pancreatic_tissue","Pancreatic_tissue","FGF19","FGFR1",1.69131545861012e-06,0.01,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"4","Stroma","Pancreatic_tissue","FGF19","FGFR1",6.17393221427141e-06,0,"FGF15_FGFR1","FGF15 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"5","Cancer_region","Pancreatic_tissue","FGF19","FGFR3",1.12777763411819e-05,0,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"6","Duct_epithelium","Pancreatic_tissue","FGF19","FGFR3",6.10624288869118e-06,0,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"7","Pancreatic_tissue","Pancreatic_tissue","FGF19","FGFR3",2.76746964049815e-06,0.03,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"8","Stroma","Pancreatic_tissue","FGF19","FGFR3",1.01019304741281e-05,0,"FGF15_FGFR3","FGF15 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"9","Cancer_region","Cancer_region","FGF19","FGFR4",2.551567816482e-06,0.03,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"10","Cancer_region","Pancreatic_tissue","FGF19","FGFR4",4.38657301126556e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"11","Duct_epithelium","Pancreatic_tissue","FGF19","FGFR4",2.37486838518947e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"12","Pancreatic_tissue","Pancreatic_tissue","FGF19","FGFR4",1.07632220755088e-06,0.04,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"13","Stroma","Pancreatic_tissue","FGF19","FGFR4",3.92905880160381e-06,0,"FGF15_FGFR4","FGF15 - FGFR4","FGF","Secreted Signaling","PMC: 4393358"
"14","Duct_epithelium","Duct_epithelium","PDGFB","PDGFRA",2.16413464954745e-06,0.04,"PDGFB_PDGFRA","PDGFB - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812"
"15","Pancreatic_tissue","Duct_epithelium","PDGFB","PDGFRA",1.20936891102568e-06,0.04,"PDGFB_PDGFRA","PDGFB - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812"
"16","Duct_epithelium","Pancreatic_tissue","PDGFB","PDGFRA",1.64392224834724e-06,0.03,"PDGFB_PDGFRA","PDGFB - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812"
"17","Pancreatic_tissue","Pancreatic_tissue","PDGFB","PDGFRA",9.18661573322982e-07,0,"PDGFB_PDGFRA","PDGFB - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812"
"18","Pancreatic_tissue","Duct_epithelium","PDGFB","PDGFRB",3.51796396116977e-06,0.03,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"19","Cancer_region","Pancreatic_tissue","PDGFB","PDGFRB",4.30306937473462e-06,0,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"20","Duct_epithelium","Pancreatic_tissue","PDGFB","PDGFRB",6.67156363947709e-06,0,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"21","Pancreatic_tissue","Pancreatic_tissue","PDGFB","PDGFRB",3.72820168784657e-06,0,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"22","Stroma","Pancreatic_tissue","PDGFB","PDGFRB",4.72855373411317e-06,0.02,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"23","Cancer_region","Duct_epithelium","COL1A2","ITGA1_ITGB1",2.81019929830813e-06,0,"COL1A2_ITGA1_ITGB1","COL1A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"24","Pancreatic_tissue","Duct_epithelium","COL1A2","ITGA1_ITGB1",1.16935389277375e-06,0.01,"COL1A2_ITGA1_ITGB1","COL1A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"25","Stroma","Duct_epithelium","COL1A2","ITGA1_ITGB1",2.51529044760961e-06,0.01,"COL1A2_ITGA1_ITGB1","COL1A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"26","Duct_epithelium","Duct_epithelium","COL4A2","ITGA1_ITGB1",2.14469446043881e-06,0.01,"COL4A2_ITGA1_ITGB1","COL4A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"27","Pancreatic_tissue","Duct_epithelium","COL4A2","ITGA1_ITGB1",1.42638073078437e-06,0,"COL4A2_ITGA1_ITGB1","COL4A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"28","Stroma","Duct_epithelium","COL4A2","ITGA1_ITGB1",3.18628979071343e-06,0,"COL4A2_ITGA1_ITGB1","COL4A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"29","Cancer_region","Duct_epithelium","COL6A1","ITGA1_ITGB1",2.49200968005276e-06,0,"COL6A1_ITGA1_ITGB1","COL6A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"30","Duct_epithelium","Duct_epithelium","COL6A1","ITGA1_ITGB1",1.87890441876772e-06,0.04,"COL6A1_ITGA1_ITGB1","COL6A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"31","Pancreatic_tissue","Duct_epithelium","COL6A1","ITGA1_ITGB1",1.61025728040007e-06,0,"COL6A1_ITGA1_ITGB1","COL6A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"32","Stroma","Duct_epithelium","COL6A1","ITGA1_ITGB1",2.11319739073493e-06,0.04,"COL6A1_ITGA1_ITGB1","COL6A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"33","Pancreatic_tissue","Duct_epithelium","COL6A2","ITGA1_ITGB1",1.73040477533433e-06,0,"COL6A2_ITGA1_ITGB1","COL6A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"34","Stroma","Duct_epithelium","COL6A2","ITGA1_ITGB1",3.47794864669584e-06,0,"COL6A2_ITGA1_ITGB1","COL6A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"35","Stroma","Pancreatic_tissue","COL6A2","ITGA1_ITGB1",1.55149910195926e-06,0.04,"COL6A2_ITGA1_ITGB1","COL6A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"36","Cancer_region","Duct_epithelium","COL1A2","ITGA2_ITGB1",3.00422148011931e-06,0,"COL1A2_ITGA2_ITGB1","COL1A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"37","Pancreatic_tissue","Duct_epithelium","COL1A2","ITGA2_ITGB1",1.25008940742401e-06,0.02,"COL1A2_ITGA2_ITGB1","COL1A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"38","Stroma","Duct_epithelium","COL1A2","ITGA2_ITGB1",2.68895314443144e-06,0.02,"COL1A2_ITGA2_ITGB1","COL1A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"39","Duct_epithelium","Duct_epithelium","COL4A2","ITGA2_ITGB1",2.29277035343222e-06,0.02,"COL4A2_ITGA2_ITGB1","COL4A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"40","Pancreatic_tissue","Duct_epithelium","COL4A2","ITGA2_ITGB1",1.52486144167666e-06,0.02,"COL4A2_ITGA2_ITGB1","COL4A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"41","Stroma","Duct_epithelium","COL4A2","ITGA2_ITGB1",3.40627831939298e-06,0,"COL4A2_ITGA2_ITGB1","COL4A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"42","Pancreatic_tissue","Cancer_region","COL6A1","ITGA2_ITGB1",1.2041936447354e-06,0.04,"COL6A1_ITGA2_ITGB1","COL6A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"43","Cancer_region","Duct_epithelium","COL6A1","ITGA2_ITGB1",2.66406416574656e-06,0,"COL6A1_ITGA2_ITGB1","COL6A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"44","Pancreatic_tissue","Duct_epithelium","COL6A1","ITGA2_ITGB1",1.72143272614023e-06,0,"COL6A1_ITGA2_ITGB1","COL6A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"45","Stroma","Duct_epithelium","COL6A1","ITGA2_ITGB1",2.25909918886929e-06,0.04,"COL6A1_ITGA2_ITGB1","COL6A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"46","Pancreatic_tissue","Cancer_region","COL6A2","ITGA2_ITGB1",1.29404403414906e-06,0,"COL6A2_ITGA2_ITGB1","COL6A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"47","Stroma","Cancer_region","COL6A2","ITGA2_ITGB1",2.60090395197856e-06,0,"COL6A2_ITGA2_ITGB1","COL6A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"48","Pancreatic_tissue","Duct_epithelium","COL6A2","ITGA2_ITGB1",1.8498750709493e-06,0,"COL6A2_ITGA2_ITGB1","COL6A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"49","Stroma","Duct_epithelium","COL6A2","ITGA2_ITGB1",3.71807307707167e-06,0,"COL6A2_ITGA2_ITGB1","COL6A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"50","Stroma","Cancer_region","FN1","ITGA3_ITGB1",6.18381849581019e-06,0,"FN1_ITGA3_ITGB1","FN1 - (ITGA3+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"51","Stroma","Duct_epithelium","FN1","ITGA3_ITGB1",6.31485936277338e-06,0,"FN1_ITGA3_ITGB1","FN1 - (ITGA3+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"52","Stroma","Pancreatic_tissue","FN1","ITGA3_ITGB1",4.49209588380272e-06,0,"FN1_ITGA3_ITGB1","FN1 - (ITGA3+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"53","Stroma","Cancer_region","FN1","ITGA5_ITGB1",5.09566981499117e-06,0,"FN1_ITGA5_ITGB1","FN1 - (ITGA5+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"54","Stroma","Duct_epithelium","FN1","ITGA5_ITGB1",4.32358914696077e-06,0.03,"FN1_ITGA5_ITGB1","FN1 - (ITGA5+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"55","Stroma","Pancreatic_tissue","FN1","ITGA5_ITGB1",3.65302856904702e-06,0,"FN1_ITGA5_ITGB1","FN1 - (ITGA5+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"56","Duct_epithelium","Duct_epithelium","LAMB1","ITGA1_ITGB1",2.80111800855283e-06,0,"LAMB1_ITGA1_ITGB1","LAMB1 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"57","Stroma","Duct_epithelium","LAMB1","ITGA1_ITGB1",4.11080016429271e-06,0,"LAMB1_ITGA1_ITGB1","LAMB1 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"58","Stroma","Pancreatic_tissue","LAMB1","ITGA1_ITGB1",1.8338138826346e-06,0.03,"LAMB1_ITGA1_ITGB1","LAMB1 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"59","Cancer_region","Duct_epithelium","LAMB2","ITGA1_ITGB1",1.74368046191526e-06,0,"LAMB2_ITGA1_ITGB1","LAMB2 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"60","Duct_epithelium","Duct_epithelium","LAMB2","ITGA1_ITGB1",2.46625803667902e-06,0,"LAMB2_ITGA1_ITGB1","LAMB2 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"61","Pancreatic_tissue","Duct_epithelium","LAMB2","ITGA1_ITGB1",8.90863931559896e-07,0.04,"LAMB2_ITGA1_ITGB1","LAMB2 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"62","Cancer_region","Duct_epithelium","LAMB3","ITGA1_ITGB1",3.29113498064923e-06,0,"LAMB3_ITGA1_ITGB1","LAMB3 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"63","Pancreatic_tissue","Duct_epithelium","LAMB3","ITGA1_ITGB1",1.26677974019503e-06,0,"LAMB3_ITGA1_ITGB1","LAMB3 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"64","Cancer_region","Pancreatic_tissue","LAMB3","ITGA1_ITGB1",1.46816328563035e-06,0.04,"LAMB3_ITGA1_ITGB1","LAMB3 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"65","Pancreatic_tissue","Duct_epithelium","LAMC2","ITGA1_ITGB1",1.56601755308748e-06,0,"LAMC2_ITGA1_ITGB1","LAMC2 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"66","Stroma","Duct_epithelium","LAMC2","ITGA1_ITGB1",3.30944196526081e-06,0,"LAMC2_ITGA1_ITGB1","LAMC2 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"67","Stroma","Cancer_region","LAMB1","ITGA2_ITGB1",3.07417254357592e-06,0,"LAMB1_ITGA2_ITGB1","LAMB1 - (ITGA2+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"68","Duct_epithelium","Duct_epithelium","LAMB1","ITGA2_ITGB1",2.99451349156863e-06,0.01,"LAMB1_ITGA2_ITGB1","LAMB1 - (ITGA2+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"69","Stroma","Duct_epithelium","LAMB1","ITGA2_ITGB1",4.39461566959571e-06,0,"LAMB1_ITGA2_ITGB1","LAMB1 - (ITGA2+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"70","Duct_epithelium","Cancer_region","LAMB2","ITGA2_ITGB1",1.84433098785919e-06,0.01,"LAMB2_ITGA2_ITGB1","LAMB2 - (ITGA2+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
