,SOMDE,SpatialDE,SPARKX,nnSVG,scGCO
AGT_ADRA2A,2.7983978770604074e-10,3.22617749508722e-15,1.4047544266347098e-49,0,9.324514677970696e-17
HSPA8_LDLR,2.9087489992398537e-10,0.0,4.14965344103091e-37,0,1.412085499502176e-22
LAMA5_ITGB4,7.888800723776512e-10,0.0,2.60654027952031e-74,0,1.6466666666666663e-28
ICAM1_MUC1,5.596457150516785e-08,2.51990620562218e-14,4.487773657909061e-31,0,4.714359396585081e-20
LAMA5_SDC1,5.596457150516785e-08,0.0,2.60654027952031e-74,0,5.948695214385485e-25
RTN4_GJB2,5.596457150516785e-08,0.0,5.95674168933872e-41,0,1.4202684358824426e-23
COL1A2_ITGB1,5.596457150516785e-08,0.0,5.72201024575081e-41,0,1.6466666666666663e-28
TGFB3_ITGB1,9.929320631700757e-08,0.0,1.6358180687705e-63,0,2.170144390551571e-24
LTF_LRP1,9.929320631700757e-08,0.0,9.127969425344459e-55,0,9.780722743926038e-21
TFF2_MUC6,2.3602477215092035e-07,0.0,1.6551149588664299e-40,0,5.368989068991665e-21
LAMA5_ITGA3,3.943359330531637e-07,0.0,8.92764389460367e-53,0,4.164315780436151e-25
VCAM1_EZR,4.683576023515487e-07,0.0,2.2179797141899703e-25,0,6.477393192033536e-16
LAMB3_COL17A1,4.683576023515487e-07,3.4249716194458616e-11,2.75703105542465e-10,0,2.8323208843917086e-20
LGALS1_ITGB1,5.136849627481027e-07,0.0,1.08173670326111e-45,0,1.6466666666666663e-28
THBS2_NOTCH3,6.615751748449064e-07,0.0,6.490025535207529e-30,0,1.6466666666666663e-28
FN1_ITGA6,6.949109543478867e-07,1.3410924617021904e-09,2.47395391220977e-05,0,3.1251180338562937e-13
LAMC3_ITGB1,7.107897676856159e-07,2.9325619306645612e-09,6.17265954309282e-36,0,1.7977089338608922e-20
LGALS3BP_ITGB1,1.5648966204691432e-06,5.08603590082648e-12,1.00071578810389e-23,0,1.0651931399688452e-13
COL6A2_ITGA2,1.5648966204691432e-06,3.6901162433880743e-06,1.06646127757705e-28,0,1.0123335924989769e-22
CALM1_AQP1,1.5648966204691432e-06,0.0,1.72567100056044e-09,0,1.6466666666666663e-28
COL3A1_ITGA2,1.750346287102386e-06,8.957976739144007e-09,1.10875283117612e-18,0,3.3876882555099586e-12
SEMA3F_NRP2,2.0556707706588325e-06,1.468041968142954e-05,9.787895683725209e-18,0,2.5262212712326325e-10
LAMC2_COL17A1,2.0724535074179155e-06,1.735781203397197e-07,3.3655597671459e-09,0,5.419799911997986e-17
COL5A1_ITGB1,2.0724535074179155e-06,2.455747048499227e-15,1.89245788010817e-40,0,7.900530919818116e-25
PGF_NRP2,2.656307952385685e-06,0.0091917719095046,1.21130232301612e-12,0,3.93417652488262e-10
MDK_SDC1,3.471577178523736e-06,1.7858072744147426e-13,4.13719252276728e-27,0,1.12228118565279e-19
TGFB1_ENG,3.788864451586712e-06,8.692449745753363e-08,4.6486383010487e-14,0,9.008441253683744e-15
COL1A1_ITGA2,4.019452286375868e-06,4.897872579734397e-09,1.1264008191002599e-12,0,1.32256105983802e-14
ADAM9_ITGB1,4.203694738175464e-06,1.5209477323907691e-09,3.11567622333266e-26,0,4.295046233647709e-07
COL4A1_ITGB1,4.325912497753196e-06,1.661970224741901e-15,4.24332461896884e-32,0,1.141714843382639e-20
NID1_ITGB1,4.325912497753196e-06,6.776406596347644e-13,6.437570068925031e-23,0,1.9038791179602604e-24
TGFB3_ENG,4.325912497753196e-06,2.1787746644904105e-14,4.37011323215799e-53,0,6.605185474564417e-26
INHBA_ENG,4.325912497753196e-06,1.4562874090372367e-06,1.57360454790367e-07,0,1.829878759402264e-20
