,SOMDE,SpatialDE,SPARKX,nnSVG,scGCO
CD99_CD81,9.225953334635052e-12,0.0,3.8198965857061603e-60,0,9.148148148148147e-29
GPC3_CD81,7.3548742853611e-11,0.0,4.72936465917121e-72,0,9.148148148148147e-29
HSPA8_LDLR,6.801256527663471e-10,0.0,1.53604112251116e-22,0,9.148148148148147e-29
AGTRAP_RACK1,4.5902955678946794e-09,0.0,5.77254423812394e-85,0,1.743603031388692e-26
LTF_LRP1,5.761725036473371e-09,0.0,3.4350146807141995e-80,0,9.148148148148147e-29
LAMB3_COL17A1,8.447313555719081e-09,0.0,1.89276446924562e-36,0,9.148148148148147e-29
SCGB3A1_NOTCH3,9.051940149821091e-09,0.0,3.48401113328379e-38,0,2.9654164111811483e-27
LAMB3_CD151,1.0240378999316525e-08,0.0,5.36268694713762e-45,0,9.148148148148147e-29
COL1A2_ITGA11,1.84107944378058e-08,0.0,2.68541781506891e-49,0,9.148148148148147e-29
SEMA4D_PLXNB1,1.9118463176229484e-08,0.0,1.33277738624194e-65,0,1.2773821585189509e-21
COL6A2_ITGA2,2.1466573107831323e-08,1.6441894759269518e-10,4.63364269362596e-12,0,3.184607600492687e-27
COL5A1_ITGB1,2.1466573107831323e-08,0.0,6.65112936613795e-64,0,9.148148148148147e-29
PLAT_LRP1,2.1466573107831323e-08,0.0,2.48978180464629e-91,0,9.148148148148147e-29
ARPC5_LDLR,2.1466573107831323e-08,0.0,2.2618632526974502e-23,0,9.148148148148147e-29
CXCL1_ADRA2A,2.1740547864641992e-08,0.0,1.74763083980121e-23,0,9.148148148148147e-29
LAMB3_ITGB4,2.1740547864641992e-08,0.0,2.0563294826215801e-53,0,9.148148148148147e-29
INHBA_ENG,2.1740547864641992e-08,6.347636441973249e-13,1.92133040839149e-44,0,2.1087801967511397e-09
GNAI2_ADRA2A,3.7226999092792985e-08,0.0,2.10328710495695e-34,0,9.148148148148147e-29
LAMA5_SDC1,4.88909483870701e-08,0.0,1.48389033060148e-32,0,2.9921715075988813e-20
MMP7_SDC1,6.944372788929667e-08,0.0,2.17883855089909e-47,0,9.148148148148147e-29
COL6A2_ITGB1,7.267235399313876e-08,0.0,2.79187503552941e-41,0,9.148148148148147e-29
LAMA5_ITGA3,9.91608072333625e-08,0.0,1.8029803839830998e-29,0,1.7688043473782842e-20
COL16A1_ITGB1,9.91608072333625e-08,0.0,2.08537663421512e-58,0,9.148148148148147e-29
LAMB3_ITGA3,1.0666894123040844e-07,0.0,1.0331549558916801e-47,0,9.148148148148147e-29
LAMA5_ITGB4,1.2529866065914452e-07,0.0,5.51148883591432e-38,0,9.148148148148147e-29
CXCL17_GPR35,1.382358757765187e-07,0.0,3.62537872083237e-46,0,5.092612745681754e-28
SEMA4D_PLXNB2,2.109040218561785e-07,0.0,1.34034631687717e-77,0,9.148148148148147e-29
LTBP3_ITGB5,2.191183497633267e-07,5.225798829306374e-14,7.19447272330431e-34,0,7.062343161208642e-23
LUM_ITGB1,2.520358846390016e-07,7.032546588081253e-13,9.67068457431114e-39,0,9.148148148148147e-29
MMP7_CD151,2.7678546954401645e-07,0.0,6.85396249303021e-39,0,2.011439327112756e-26
COL14A1_CD44,2.7678546954401645e-07,0.0,1.50087791356346e-31,0,9.148148148148147e-29
TGFB3_ENG,2.7678546954401645e-07,1.244238514093995e-10,5.0807060263897296e-26,0,2.414681498524749e-09
LAMA5_ITGA6,3.773982786520055e-07,7.549291406800484e-07,5.6922101645494305e-15,0,1.7718164539284076e-26
LAMA5_ITGB1,5.779361549935141e-07,1.6833619207039253e-14,6.05681202799722e-56,0,5.428670106291382e-22
LAMB3_ITGA2,6.325344020857645e-07,0.0,1.07536909815057e-25,0,1.504282441969265e-25
COL6A1_ITGA6,7.041585380441651e-07,2.4748986479242565e-10,2.98520766510773e-07,0,9.781030569365998e-15
COL1A2_ITGA2,7.082046944222539e-07,0.0,5.81951436016137e-32,0,9.148148148148147e-29
SERPINE1_LRP1,7.082046944222539e-07,2.9773009454662056e-14,1.8860925865780999e-50,0,2.8868902409776746e-15
HMGB1_SDC1,7.082046944222539e-07,0.0,8.20610307223142e-27,0,9.148148148148147e-29
COL5A1_SDC3,8.412892569708111e-07,0.0,1.3755034905306898e-62,0,9.148148148148147e-29
LAMC3_ITGA2,8.795868499926669e-07,6.482828356675035e-08,4.98260330122024e-16,0,4.243613954936627e-17
VCL_ITGB5,9.54539996395703e-07,1.8281672472160917e-15,3.07871026501096e-37,0,6.542740689836423e-22
BMP2_ENG,1.2092207811511165e-06,2.5371273894923195e-10,4.8241290642208194e-12,0,7.084278668404829e-16
APP_ADRA2A,1.2092207811511165e-06,6.37732760656776e-16,1.13120792210796e-26,0,6.942042604617702e-27
TGFB1_ENG,1.2982020373175978e-06,2.9595912388740704e-07,3.52055198814448e-10,0,1.887102595590375e-09
RTN4_GJB2,1.3757030866258006e-06,0.0,4.501635095577159e-28,0,5.089147188733151e-19
TFF2_MUC6,1.39926468761272e-06,0.0,1.1034761577268301e-44,0,9.148148148148147e-29
