"","combinedPval","adjustedPval"
"SEMA3F_PLXNA3",0.011311829863158,0.0768584210924567
"SEMA3F_PLXNA1",4.58118654123041e-10,5.04789027151187e-09
"SEMA3F_NRP2",4.20771494888063e-19,9.78789568372521e-18
"DCN_MET",1.52158726902663e-05,0.000117169107617456
"GRN_TNFRSF1A",4.65711167235786e-22,1.405397531795e-20
"GRN_SORT1",6.50146603220492e-13,9.38704341066937e-12
"GRN_TNFRSF1B",5.90860693705508e-12,7.91681697221798e-11
"ICAM3_ITGB2",1.29618316080382e-10,1.49717956391662e-09
"EFNB1_EPHB6",1.86391083545345e-06,1.51542145044673e-05
"EFNB1_EPHB4",3.71508268592891e-10,4.10706304059298e-09
"EFNB1_ERBB2",2.77761686824363e-05,0.000211458514893942
"EFNB1_EPHB3",0.000714380898618194,0.00495436747913657
"SEMA4G_PLXNB2",2.62012633811537e-14,4.28128249384387e-13
"VCL_ITGB5",2.36518446900073e-30,1.52358675381455e-28
"EFNA2_EPHA2",8.33777491493493e-14,1.31740655248588e-12
"LGALS1_ITGB1",2.90642126008302e-48,1.08173670326111e-45
"TIMP1_CD63",8.29495076761777e-05,0.000605350130687007
"MMP2_PECAM1",9.01698445115739e-33,7.02422441883745e-31
"MMP2_FGFR1",4.58467661557987e-24,1.68831163194597e-22
"PLAT_LRP1",1.41002188824553e-36,1.43125635439605e-34
"PLAT_ITGB2",1.89038718012569e-09,1.97882003309891e-08
"TGFB1_ENG",2.55351295663786e-15,4.6486383010487e-14
"TGFB1_SMAD3",2.76740852456214e-11,3.43332585110876e-10
"TGFB1_ACVRL1",1.3444510092997e-06,1.11197614779534e-05
"TGFB1_ITGB6",1.17080345418685e-09,1.24502752979904e-08
"TGFB1_ITGAV",4.51291259917497e-09,4.52601479410187e-08
"TGFB1_ITGB1",1.73194791841524e-14,2.94492416228872e-13
"TGFB1_CXCR4",1.27834165475349e-09,1.35508135999297e-08
"TGFB1_ITGB5",1.39210292570136e-05,0.000107942659165464
"COMP_ITGB1",1.6130984588633e-23,5.5136642159869e-22
"LAMB1_ITGA7",2.61718597360006e-16,5.09696498978678e-15
"LAMB1_ITGAV",0.000137682030792341,0.000977103969983085
"LAMB1_ITGB1",2.75760557699066e-21,7.76230495357394e-20
"LAMB1_ITGA6",9.54791801177635e-15,1.6571311663842e-13
"LAMB1_ITGA1",4.28788116124679e-11,5.2420081382611e-10
"LAMB1_ITGA2",4.19109191795997e-13,6.26736056659244e-12
"PDAP1_PDGFRB",5.59525880527844e-21,1.52377407805934e-19
"SERPINE1_PLAUR",7.60414842204682e-09,7.513744103988e-08
"SERPINE1_ITGAV",2.43138842392909e-14,4.01202675046173e-13
"SERPINE1_LRP1",1.43457253579344e-21,4.10716512638108e-20
"SERPINE1_ITGB5",7.54290843949489e-17,1.54063762999235e-15
"COL1A1_ITGA5",2.98506902535955e-23,9.70784126804751e-22
"COL1A1_CD93",9.35102430947854e-05,0.000673614995354703
"COL1A1_ITGA1",7.1798533785028e-10,7.73322595305442e-09
"COL1A1_CD44",4.44022596468585e-11,5.38891710759831e-10
"COL1A1_ITGAV",3.65947647740228e-08,3.38622570934412e-07
"COL1A1_ITGB1",9.0127945860983e-23,2.84812549272993e-21
"COL1A1_ITGA11",1.16933015692895e-38,1.56676064783477e-36
"COL1A1_ITGA2",6.99440505513849e-14,1.12640081910026e-12
"COL1A1_DDR1",7.79455795556494e-05,0.000570074382960291
"LAMA4_ITGA6",1.8283021174792e-07,1.60741678821149e-06
"LAMA4_ITGAV",4.62835614278845e-07,3.97527956262286e-06
"LAMA4_ITGB1",2.86546521696245e-28,1.65490344793926e-26
"HBEGF_CD44",1.53402036850991e-07,1.35223770956465e-06
"HBEGF_CD9",1.60011603966836e-09,1.68022061509005e-08
"HBEGF_ERBB2",0.0448345359774788,0.304012362066665
"LTF_LRP1",1.0900054131772e-57,9.12796942534446e-55
"LTF_TFRC",1.76343758213882e-20,4.57905537143121e-19
"CD160_TNFRSF14",8.13428988444707e-18,1.7925924824851e-16
"FGF23_FGFR4",3.37443308073235e-28,1.88388801354747e-26
"FGF23_FGFR1",6.30873626536469e-39,8.80514766970384e-37
"FGF23_FGFR3",1.3005687521699e-34,1.21014198256354e-32
"TGFB3_ENG",6.52314723198933e-56,4.37011323215799e-53
"TGFB3_ITGB1",1.46504425040756e-66,1.6358180687705e-63
"TGFB3_ACVRL1",3.10013590993667e-44,1.03845156944057e-41
"TGFB3_ITGB6",8.84290443468991e-25,3.56880116949774e-23
"TGFB3_ITGB5",2.22428265326082e-39,3.38666942831681e-37
"TNFSF10_RIPK1",2.34352093286816e-10,2.63425665761032e-09
"TNFSF10_TNFRSF10B",0.000304622837378754,0.00213919115028461
"INHBA_ENG",1.64421321002806e-08,1.57360454790367e-07
"INHBA_SMAD3",6.65556498802289e-12,8.81190731608751e-11
"C3_CD46",2.50842913107618e-09,2.57744703144708e-08
"C3_ITGAX",1.38726861109717e-08,1.33917273407234e-07
"C3_ADRA2A",2.98858831981885e-06,2.40645795093345e-05
"C3_ITGB2",1.56426382957875e-09,1.64773890710527e-08
"C3_CD81",3.02849469895339e-05,0.000229514464954058
"LIF_IL6ST",6.14793105547566e-41,1.0296852845883e-38
"APOE_LDLR",6.76088013000237e-18,1.49979465668347e-16
"APOE_LRP5",6.16436861555769e-08,5.58074771245059e-07
"APOE_LSR",5.63014695872478e-24,2.04992238044654e-22
"APOE_SCARB1",2.27997198898322e-09,2.34991235027054e-08
"APOE_LRP8",2.07907769224699e-17,4.35267508269271e-16
"LAMA5_SDC1",1.5562842522527e-77,2.60654027952031e-74
"LAMA5_ITGA6",5.35615497697762e-23,1.70871388609937e-21
"LAMA5_BCAM",3.32067706665384e-11,4.08943445836372e-10
"LAMA5_ITGB1",7.45026262904958e-12,9.82524478205272e-11
"LAMA5_ITGA2",8.32248667748043e-33,6.63757332163321e-31
"JAG1_CD46",8.820996878974e-17,1.79076763848659e-15
"JAG1_NOTCH4",3.32178728967847e-13,5.05771847154098e-12
"JAG1_NOTCH1",1.00359720534016e-11,1.31318221206749e-10
"JAG1_NOTCH2",1.04273689393244e-16,2.09152847726625e-15
"JAG1_NOTCH3",3.73816740381318e-18,8.46062690627253e-17
"LAMC1_ITGA6",2.10286987822883e-09,2.18079775365295e-08
"LAMC1_ITGA1",2.58681964737661e-14,4.24757931036999e-13
"LAMC1_ITGA7",7.87148124459236e-14,1.24962447599755e-12
"LAMC1_ITGAV",4.31780026922679e-05,0.000325750500958185
"LAMC1_ITGB1",5.24118064728072e-25,2.14102032274676e-23
"LAMC1_ITGA2",1.28785870856518e-13,2.01585810438e-12
"IL1RN_IL1R1",1.26381883506169e-17,2.71372439311236e-16
"CCL21_ADRA2A",5.00629097843763e-07,4.27794832841149e-06
"MMP7_CD44",8.69514794579196e-05,0.000633176309820869
"MMP7_SDC1",5.92666336970884e-24,2.13468021583934e-22
"MMP7_CD151",4.47003856152151e-08,4.11353691775485e-07
"THBS1_CD47",9.88613906521829e-05,0.000707597639542862
"THBS1_SDC1",2.43114914825388e-17,5.05814459779265e-16
"THBS1_ITGB1",1.3157517364526e-07,1.16597077588491e-06
"THBS1_LRP5",4.58314815654504e-06,3.6293515938923e-05
"THBS1_SDC4",6.75087088453097e-08,6.09524834966057e-07
"THBS1_SCARB1",2.79809593537461e-05,0.000212534542479127
"THBS1_ITGA6",1.35683725652758e-05,0.000105697524946559
"ADAM10_GPNMB",1.88737914186277e-14,3.16107404471311e-13
"ADAM10_TSPAN15",4.25781176551787e-05,0.000321949863131343
"ADAM10_CD44",9.6460483292593e-05,0.000693376359076852
"ADAM10_CADM1",3.11603911562486e-08,2.89938517040059e-07
"ADAM10_TSPAN14",4.63612102641342e-06,3.66264158041394e-05
"ADAM10_NOTCH1",4.20080803265055e-06,3.33446296411717e-05
"ADAM10_MET",0.000165556603704764,0.00116996718297676
"ADAM10_TSPAN17",0.00036518634670657,0.00255378617757524
"ADAM10_AXL",4.88237094087296e-08,4.48067476159002e-07
"VWF_SIRPA",2.32033947722421e-06,1.87287566005228e-05
"CDH1_LRP5",2.60787384494461e-31,1.85863552634076e-29
"CDH1_IGF1R",3.25045867167616e-26,1.45174018475973e-24
"CDH1_ERBB3",9.35822783287008e-51,3.91840336300967e-48
"CDH1_PTPRM",1.60097505956862e-36,1.57728859366096e-34
"CDH1_PTPRF",1.11862023440657e-26,5.20422048408411e-25
"SEMA7A_ITGB1",4.31876756579186e-13,6.42958328571713e-12
"SEMA7A_ITGA1",4.10782519111308e-15,7.35827239096478e-14
"TIMP2_CD44",4.37191394198067e-11,5.32530423463291e-10
"TIMP2_ITGB1",2.42675657347036e-10,2.71869532048286e-09
"LGALS3BP_ITGB1",2.36011045954706e-25,1.00071578810389e-23
"LAMC2_ITGA6",1.03114551166517e-05,8.07015172806155e-05
"LAMC2_CD151",6.78339364970082e-05,0.000497205969002318
"LAMC2_ITGB1",6.04406285329802e-18,1.34971857968919e-16
"LAMC2_ITGA2",8.13450418135631e-11,9.59440970544696e-10
"LAMC2_COL17A1",3.02425418041707e-10,3.3655597671459e-09
"NID1_ITGB1",1.63356109433543e-24,6.43757006892503e-23
"NID1_PTPRF",2.12052597703405e-14,3.53389021094647e-13
"ICAM1_ITGAX",7.11081007409575e-08,6.38580658718701e-07
"ICAM1_MUC1",5.49299607185262e-33,4.48777365790906e-31
"ICAM1_ITGB2",2.09666728423485e-10,2.36898113865143e-09
"VCAN_CD44",2.01438865587988e-12,2.77678661182642e-11
"VCAN_ITGB1",6.71368913694957e-28,3.56965457016877e-26
"TIMP3_CD44",1.30140342946561e-12,1.83937006463773e-11
"TIMP3_MET",5.79190926441875e-07,4.93667699656408e-06
"LUM_ITGB1",1.0188388958912e-26,4.87543072387854e-25
"CGN_F11R",8.78823680494634e-11,1.03290981460051e-09
"CALM2_INSR",3.78885046125268e-25,1.58643758780556e-23
"CALM2_AQP1",7.89660022242473e-37,8.26600543940869e-35
"APP_LRP10",2.89013257770421e-12,3.93539356919999e-11
"APP_PLD1",1.05337394362692e-08,1.02572193301853e-07
"APP_TSPAN15",5.12285680898117e-06,4.01873949657367e-05
"APP_TNFRSF21",1.48686221093097e-05,0.000115023966775383
"APP_NCSTN",8.77076189453874e-15,1.53818817081821e-13
"CALM3_INSR",3.14338505677236e-21,8.7744893567907e-20
"CALM3_AQP1",6.85401576356924e-38,8.50328720754823e-36
"TFF2_MUC6",6.42341531475099e-43,1.65511495886643e-40
"TFF1_MUC5AC",5.10633024752849e-09,5.10586826222438e-08
"TNFSF12_TNFRSF25",0.000101333851260765,0.000722207848893049
"TNFSF12_TNFRSF12A",5.52441397344782e-20,1.3809785407078e-18
"FGF19_FGFR1",1.26230137453831e-11,1.63888644202367e-10
"FGF19_FGFR3",5.77315972805081e-15,1.02863485810439e-13
"VCAM1_ITGB1",1.93667304415612e-12,2.68068914127251e-11
"VCAM1_ITGB2",6.39633037313736e-07,5.43801221317015e-06
"VCAM1_EZR",4.56878948008255e-27,2.21797971418997e-25
"VCAM1_MSN",0.000208688862354478,0.00147167250205934
"ARPC5_LDLR",5.82200954113432e-13,8.47911626111283e-12
"COL6A3_ITGB1",1.08690834110803e-12,1.54271759211074e-11
"COL6A3_ITGA2",6.46660502923169e-12,8.59570115818675e-11
"LIPH_LPAR4",8.61836135790384e-09,8.44119837870693e-08
"LIPH_LPAR2",2.22044604925031e-15,4.08671498993292e-14
"MELTF_TFRC",4.97827581312082e-17,1.02936513176116e-15
"COL1A2_CD44",1.34878419689255e-24,5.37859317105258e-23
"COL1A2_ITGB1",1.87903903832293e-43,5.72201024575081e-41
"COL1A2_ITGA11",0.00141710306496878,0.00970729195364677
"COL14A1_CD44",1.96882510294927e-11,2.49140349048597e-10
"COL6A2_ITGB1",1.77635683940025e-15,3.28743482063112e-14
"IL16_KCNJ15",2.40610986891892e-24,9.26406759275571e-23
"CD14_ITGB1",1.41738798314899e-16,2.80936103839208e-15
"CD14_ITGB2",5.07426635569797e-05,0.000380251775366794
"COL3A1_ITGB1",1.36241589895551e-33,1.14092008350855e-31
"COL3A1_DDR1",5.21818435246235e-05,0.000390163750640802
"FGB_ITGB1",7.78916273565254e-22,2.30896764496315e-20
"FGB_ITGB2",9.49855288867596e-08,8.50729232904925e-07
"FGA_ITGAX",9.93951048133823e-08,8.87849269294561e-07
"FGA_ITGB1",6.15341111398493e-12,8.21197698280874e-11
"FGA_PLAUR",1.55573044409962e-32,1.18436942490422e-30
"FGA_ITGB2",1.47769685376886e-10,1.6951495180688e-09
"SEMA4C_PLXNB2",0.00106907279049406,0.00735332613656623
"HAS2_CD44",1.91114815728533e-06,1.54632055243139e-05
"EFEMP2_AQP1",2.99675540887059e-24,1.14070708510073e-22
"GNAI2_EDNRA",0.000223558822550873,0.00157322331571031
"GNAI2_ADORA1",7.92390597581516e-11,9.37904007208786e-10
"GNAI2_PTPRU",3.09467475201479e-19,7.30015666940913e-18
"AGTRAP_RACK1",9.89898959988337e-18,2.16722973378647e-16
"PKM_CD44",6.88180135766103e-07,5.83593639979701e-06
"MMP1_CD44",7.99360577730113e-15,1.40927140073897e-13
"FBN1_ITGB1",5.82827446598874e-21,1.57443169354989e-19
"PSEN1_NOTCH4",1.97206634355851e-08,1.86079564724185e-07
"PSEN1_CD44",5.70808156297176e-08,5.18166482480932e-07
"CSF1_SIRPA",9.73976455043157e-12,1.27942193215498e-10
"JAG2_NOTCH4",8.44232417307467e-09,8.29302851618303e-08
"EFNA5_EPHB6",5.32044999255188e-05,0.000396924163203854
"EFNA5_EPHA2",4.83086903813046e-11,5.84185816428048e-10
"FBLN1_ITGB1",1.90699204451688e-23,6.45236905954146e-22
"COL7A1_ITGB1",1.47598573850248e-20,3.89299596474915e-19
"HSP90AA1_FGFR3",3.03587279630677e-22,9.32959058799493e-21
"FGG_ITGB1",5.50753195809125e-21,1.51217727956732e-19
"FGG_ITGB2",3.03090885722668e-12,4.11037491882201e-11
"CXCL14_CXCR4",1.97831999202794e-37,2.20892412489858e-35
"RTN4_GJB2",2.13395128217111e-43,5.95674168933872e-41
"HMGB1_SDC1",1.60804702886708e-12,2.26322276142485e-11
"HMGB1_CXCR4",3.45461992198727e-41,6.09048931372683e-39
"FN1_ITGA6",3.08718299435462e-06,2.47395391220977e-05
"FN1_CD44",4.93750676389126e-06,3.89156498260903e-05
"FN1_ITGB1",3.31319971458299e-10,3.67490558396797e-09
"COL18A1_ITGB1",9.26582105271214e-17,1.86974049383332e-15
"ADAM15_ITGB1",6.33877031885027e-21,1.69863675068821e-19
"CALM1_PTPRA",1.41109585299182e-23,4.92369106865073e-22
"LAMC3_ITGA6",7.08685350403471e-08,6.38140089284242e-07
"LAMC3_ITGB1",4.79115430978907e-38,6.17265954309282e-36
"COL6A1_ITGB1",1.37023725699237e-11,1.77215425209399e-10
