,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,is_svi,label,pattern_membership_0,pattern_membership_1,pattern_membership_2,pattern_membership_3,pattern_membership_4,pattern_correlation_0,pattern_correlation_1,pattern_correlation_2,pattern_correlation_3,pattern_correlation_4
SEMA3F_PLXNA3,378,18.904243,2.990933,50.39370078740157,14405.033,9.575402,378,0,-1,0.0,0.0,0.0,0.0,0.0,0.16846976159342594,-0.16167475375532955,-0.06789405204846498,0.11301438011598328,0.08749891211316438
SEMA3F_PLXNA1,278,14.465491,2.7386112,63.51706036745407,11022.704,9.307803,278,1,4,0.0,0.0,0.0,0.0,1.0,0.11375429867916863,-0.0861430126295225,-0.0813279522955684,0.18154629140262443,0.11453101523004533
SEMA3F_NRP2,185,8.918363,2.2943878,75.7217847769029,6795.792,8.824206,185,1,4,0.0,0.0,0.0,0.0,1.0,0.14179775034638564,-0.2552816403478889,-0.23121276469094962,0.24569108485503935,0.2576630105242633
DCN_MET,133,4.425395,1.6910907,82.54593175853017,3372.151,8.123603,133,0,-1,0.0,0.0,0.0,0.0,0.0,-0.024916955269454553,0.02832272886887133,-0.07036467006192254,0.08924886357511709,0.031014834561463502
GRN_TNFRSF1A,626,57.120388,4.0625167,17.847769028871397,43525.734,10.68113,626,1,2,0.0,0.0,1.0,0.0,0.0,-0.1405974200081305,0.39932053572411624,0.500270170084852,-0.37376340456510304,-0.614019933498743
GRN_SORT1,159,6.793978,2.0533514,79.13385826771653,5177.011,8.552176,159,0,-1,0.0,0.0,0.0,0.0,0.0,-0.1073494966786557,-0.005847998774401169,0.15474817437114782,-0.051542487582987365,-0.11946670217573517
GRN_TNFRSF1B,176,8.947891,2.2973607,76.9028871391076,6818.293,8.827511,176,1,1,0.0,1.0,0.0,0.0,0.0,-0.1080844276723887,0.11089923364999148,0.13174527230023814,-0.0717569561483441,-0.15421506259735823
ICAM3_ITGB2,218,8.041298,2.2018027,71.39107611548556,6127.4688,8.7207,218,1,4,0.0,0.0,0.0,0.0,1.0,0.033663453548702045,0.002916064545677948,-0.19891985639936471,-0.09237191009354911,0.16755159762991587
EFNB1_EPHB6,283,12.374716,2.5933661,62.86089238845145,9429.533,9.151708,283,1,2,0.0,0.0,1.0,0.0,0.0,0.004201717629374008,0.04973318026694613,0.23281403209047902,-0.10319421211476046,-0.21783747061293204
EFNB1_EPHB4,364,20.237661,3.0557761,52.23097112860893,15421.099,9.643557,364,0,-1,0.0,0.0,0.0,0.0,0.0,0.03676379245703502,0.0912982620372798,0.03962173163329309,-0.07135672698976468,-0.13476657397175512
EFNB1_ERBB2,563,37.134476,3.6411188,26.115485564304464,28296.47,10.250527,563,0,-1,0.0,0.0,0.0,0.0,0.0,-0.1595218803358455,0.025383031213778592,0.27531299385154284,-0.14962130708137705,-0.3232384572820207
EFNB1_EPHB3,195,7.2247143,2.1071436,74.40944881889764,5505.2324,8.613636,195,0,-1,0.0,0.0,0.0,0.0,0.0,0.12604902967493947,-0.005133031615590283,-0.07713518378754233,0.07588322877975856,0.07320566189619133
SEMA4G_PLXNB2,551,55.532417,4.0348144,27.69028871391076,42315.703,10.652937,551,1,4,0.0,0.0,0.0,0.0,1.0,0.29565700416175583,-0.5094441531231352,-0.22266070872901264,0.5528454325871842,0.38076549379858793
VCL_ITGB5,401,23.954086,3.2170377,47.3753280839895,18253.014,9.81214,401,1,4,0.0,0.0,0.0,0.0,1.0,-0.00941741469626703,-0.32058225854203404,-0.2388445600702304,0.4290074595236976,0.3292625127154626
EFNA2_EPHA2,338,18.81007,2.9861903,55.643044619422575,14333.273,9.570409,338,1,0,1.0,0.0,0.0,0.0,0.0,0.43701311918826297,-0.24909550010837284,0.03121145619107618,0.19690688967291667,0.07795894993757135
LGALS1_ITGB1,277,11.250144,2.5055377,63.6482939632546,8572.609,9.056444,277,1,4,0.0,0.0,0.0,0.0,1.0,0.017579790560063778,-0.2985854161630914,-0.567295874711436,0.05000460618779397,0.670591368349797
TIMP1_CD63,733,76.63967,4.3520784,3.8057742782152237,58399.43,10.975079,733,1,4,0.0,0.0,0.0,0.0,1.0,-0.14815917347644508,0.010641130602979368,-0.09348185855000267,-0.06350471918627004,0.04136205187095241
MMP2_PECAM1,326,15.145709,2.7816544,57.21784776902887,11541.03,9.35375,326,1,4,0.0,0.0,0.0,0.0,1.0,-0.14218485864911762,-0.05572874139976872,-0.4505383928743325,-0.00965744589685689,0.3766430434842776
MMP2_FGFR1,372,16.536303,2.864273,51.181102362204726,12600.663,9.441584,372,1,4,0.0,0.0,0.0,0.0,1.0,-0.18348078769208445,0.01938402530819627,-0.37955570373231484,-0.08388093073928357,0.278385610176911
PLAT_LRP1,499,24.42472,3.235722,34.51443569553806,18611.637,9.831596,499,1,2,0.0,0.0,1.0,0.0,0.0,0.010734475663897578,-0.17164099476087674,-0.019709803966296343,-0.16969363928749856,0.13413587330753346
PLAT_ITGB2,227,9.882795,2.3871832,70.20997375328083,7530.69,8.926875,227,1,4,0.0,0.0,0.0,0.0,1.0,0.1381304673216083,0.07923521632645293,-0.023805672637981654,-0.10328764137969013,-0.004631636483135759
TGFB1_ENG,505,30.711899,3.456692,33.72703412073491,23402.467,10.060639,505,1,2,0.0,0.0,1.0,0.0,0.0,0.1509901312099569,0.3240087424532217,0.07387554981824226,-0.15076752859450848,-0.1588633833288083
TGFB1_SMAD3,302,12.413835,2.5962865,60.367454068241464,9459.342,9.154863,302,1,2,0.0,0.0,1.0,0.0,0.0,0.038491060383993914,0.07536665397493145,0.22214900243251812,-0.01583131502852654,-0.19024497036318638
TGFB1_ACVRL1,396,23.796644,3.2107084,48.03149606299213,18133.043,9.805547,396,0,-1,0.0,0.0,0.0,0.0,0.0,-0.06253314772859965,0.2078436851399572,0.08337311391595023,-0.19109194095589038,-0.15953616023697073
TGFB1_ITGB6,285,14.191476,2.7207346,62.59842519685039,10813.904,9.28868,285,0,-1,0.0,0.0,0.0,0.0,0.0,0.0942528023495066,-0.07872202525021674,0.1507479593993798,-0.05574367828604996,-0.11194631812471284
TGFB1_ITGAV,301,13.3856535,2.6662314,60.498687664041995,10199.868,9.230228,301,1,1,0.0,1.0,0.0,0.0,0.0,0.047416207263958225,0.5064636141688827,-0.13141826007596386,-0.13327389701003736,0.01207891788066234
TGFB1_ITGB1,225,9.450708,2.3466697,70.4724409448819,7201.44,8.882175,225,1,4,0.0,0.0,0.0,0.0,1.0,0.18981788375350894,-0.16194241599810763,-0.2551243786810542,0.008750628568187577,0.3569502824839842
TGFB1_CXCR4,115,3.9239426,1.5941095,84.90813648293964,2990.0442,8.003378,115,0,-1,0.0,0.0,0.0,0.0,0.0,0.06458005711301584,-0.13039766985395607,-0.06777204207010082,0.1199918991556398,0.14055252029167511
TGFB1_ITGB5,383,23.298908,3.1904314,49.73753280839895,17753.768,9.7844095,383,1,4,0.0,0.0,0.0,0.0,1.0,-0.09520396370319016,0.037456902120391884,0.1636546850886743,0.05721228921856267,-0.15505051946348433
COMP_ITGB1,269,10.568706,2.4483037,64.69816272965879,8053.3535,8.993968,269,1,4,0.0,0.0,0.0,0.0,1.0,0.062248855240056314,-0.325617032129756,-0.47673585959629283,0.14064150640499823,0.6318094479381341
LAMB1_ITGA7,177,6.6022124,2.0284393,76.77165354330708,5030.8857,8.52355,177,1,4,0.0,0.0,0.0,0.0,1.0,-0.14519472089971808,0.06937657057607766,-0.08893722096238363,-0.1477516542348933,0.022817717135612304
LAMB1_ITGAV,325,10.221453,2.4178274,57.34908136482939,7788.747,8.960564,325,1,1,0.0,1.0,0.0,0.0,0.0,-0.0021010135938190643,0.3957866572447771,-0.2892173072093435,-0.0860234103653744,0.19312519163035513
